Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
mask->Glucose,0.00019581844392389306,16,0.0006879551274311437,1,0.0004921366835072507,0.0004921366835072507,-15
Creatinine,0.0006180812557337347,1,0.0005432818813277525,2,-7.47993744059822e-05,7.47993744059822e-05,1
Heart Rate,0.00037930950093027316,4,0.0003195219619390804,7,-5.978753899119277e-05,5.978753899119277e-05,3
Fraction inspired oxygen,0.0004235676342330492,3,0.0003828928717835848,4,-4.067476244946439e-05,4.067476244946439e-05,1
Glascow coma scale motor response->Obeys Commands,0.0005498652646645855,2,0.0005096528734888522,3,-4.021239117573327e-05,4.021239117573327e-05,1
Glascow coma scale verbal response->Oriented,0.0003757736214658972,5,0.00033917115369760053,5,-3.66024677682967e-05,3.66024677682967e-05,0
White blood cell count,0.0002704432081774661,11,0.00023494795889279373,13,-3.549524928467236e-05,3.549524928467236e-05,2
Hemoglobin,0.00016301803418530825,22,0.00012986372116913965,23,-3.3154313016168596e-05,3.3154313016168596e-05,1
Lactate,0.00028058110752203475,9,0.0002481322245910316,11,-3.244888293100313e-05,3.244888293100313e-05,2
Temperature,0.0003137642100567604,8,0.00028255012854181436,9,-3.1214081514946055e-05,3.1214081514946055e-05,1
mask->pH,0.00021584519738360576,15,0.00018689459422752564,16,-2.895060315608012e-05,2.895060315608012e-05,1
Glascow coma scale eye opening->To Speech,0.00019277647042965226,18,0.0001638485290088881,19,-2.892794142076417e-05,2.892794142076417e-05,1
Diastolic blood pressure,0.0002684373803134993,12,0.00024103389847589593,12,-2.7403481837603354e-05,2.7403481837603354e-05,0
mask->Hematocrit,0.0002528700140291021,13,0.00023101438024920827,14,-2.1855633779893814e-05,2.1855633779893814e-05,1
Potassium,0.00019218787209993146,19,0.00017075630196652762,18,-2.1431570133403845e-05,2.1431570133403845e-05,-1
Platelets,0.00010189684587102062,31,8.07742058400957e-05,31,-2.1122640030924925e-05,2.1122640030924925e-05,0
Weight,0.0003397744324384122,6,0.0003203697953343992,6,-1.940463710401304e-05,1.940463710401304e-05,0
Glascow coma scale verbal response->No Response-ETT,0.0002738806216271509,10,0.000254875398277958,10,-1.9005223349192926e-05,1.9005223349192926e-05,0
