Feature,Mean_Abs_SHAP,Rank
Fraction inspired oxygen,0.0008178515340903451,1
Glascow coma scale motor response->Obeys Commands,0.0006207775791282468,2
Creatinine,0.0004830621673990894,3
White blood cell count,0.00048054797433355563,4
Glascow coma scale verbal response->Oriented,0.00042614111159709663,5
Systolic blood pressure,0.000419880919735968,6
Prothrombin time,0.00041921325993043545,7
Diastolic blood pressure,0.0004170373354281759,8
Potassium,0.00040424308840805945,9
mask->pH,0.00039033156143662186,10
Weight,0.0003863348760013004,11
Glascow coma scale verbal response->No Response-ETT,0.000349602279552211,12
mask->Fraction inspired oxygen,0.00031560420180692597,13
Temperature,0.00029860189295168905,14
Lactate,0.000295559969762586,15
mask->Bilirubin,0.0002853293042992864,16
mask->Oxygen saturation,0.00025686479198878086,17
Heart Rate,0.0002515571607961459,18
mask->Glucose,0.00025141866996509664,19
Sodium,0.0002167886163140729,20
Hemoglobin,0.0002064905620929991,21
mask->Mean blood pressure,0.00019811016868509967,22
Glascow coma scale eye opening->Spontaneously,0.0001848481130695597,23
Glascow coma scale eye opening->4 Spontaneously,0.00016849787077404088,24
Glascow coma scale eye opening->To Speech,0.00015194981459481106,25
Glascow coma scale motor response->No response,0.00014373232884974546,26
mask->Glascow coma scale eye opening,0.00013977651338346493,27
Glascow coma scale verbal response->Confused,0.0001231931401482608,28
Platelets,0.00012267420820524715,29
Bilirubin,0.00011757622727127404,30
mask->Hematocrit,0.00010281375746127746,31
mask->Temperature,0.00010193268090043437,32
mask->Prothrombin time,7.966991617406334e-05,33
mask->Weight,7.559119151380758e-05,34
Hematocrit,7.029891428836847e-05,35
mask->Lactate,6.588299618806673e-05,36
mask->Glascow coma scale verbal response,6.115455554284009e-05,37
mask->Diastolic blood pressure,5.269301565797711e-05,38
Height,5.1497710874642515e-05,39
mask->Creatinine,5.003615618659211e-05,40
Glascow coma scale eye opening->To Pain,4.4997092347594296e-05,41
mask->Potassium,3.985648429733512e-05,42
mask->White blood cell count,3.69680391189817e-05,43
mask->Hemoglobin,3.410791715770179e-05,44
mask->Glascow coma scale motor response,2.8608948222496058e-05,45
mask->Platelets,2.5420591273038472e-05,46
Glascow coma scale motor response->Abnormal Flexion,2.4366566764606096e-05,47
mask->Sodium,2.3839510339074633e-05,48
Glascow coma scale motor response->Localizes Pain,1.971920773006023e-05,49
Glascow coma scale motor response->Flex-withdraws,1.7240552095071087e-05,50
Glascow coma scale verbal response->No Response,1.3591435188938494e-05,51
Glascow coma scale verbal response->5 Oriented,1.2951529463809027e-05,52
Glascow coma scale verbal response->Incomprehensible sounds,9.593497909815528e-06,53
Oxygen saturation,8.638004169702982e-06,54
mask->Heart Rate,5.073431113725205e-06,55
Glucose,4.695358348669482e-06,56
mask->Systolic blood pressure,3.841124187462235e-06,57
Glascow coma scale motor response->6 Obeys Commands,2.7183476383011584e-06,58
Mean blood pressure,2.221005891308899e-06,59
Glascow coma scale verbal response->Inappropriate Words,9.397016783219599e-07,60
Glascow coma scale motor response->Abnormal extension,4.4021086675153735e-07,61
mask->Respiratory rate,2.1772354996290563e-07,62
mask->Height,1.8557799593176457e-07,63
Respiratory rate,5.3979952478402015e-09,64
pH,4.111737697677446e-09,65
Glascow coma scale total->14,0.0,66
Glascow coma scale total->12,0.0,67
Glascow coma scale total->13,0.0,68
Glascow coma scale total->10,0.0,69
Glascow coma scale total->11,0.0,70
Glascow coma scale motor response->2 Abnorm extensn,0.0,71
Glascow coma scale motor response->5 Localizes Pain,0.0,72
Glascow coma scale motor response->4 Flex-withdraws,0.0,73
Capillary refill rate->1.0,0.0,74
Capillary refill rate->0.0,0.0,75
Glascow coma scale eye opening->1 No Response,0.0,76
Glascow coma scale eye opening->None,0.0,77
Glascow coma scale eye opening->2 To pain,0.0,78
Glascow coma scale motor response->1 No Response,0.0,79
Glascow coma scale motor response->3 Abnorm flexion,0.0,80
Glascow coma scale eye opening->3 To speech,0.0,81
Glascow coma scale total->15,0.0,82
Glascow coma scale verbal response->2 Incomp sounds,0.0,83
Glascow coma scale total->6,0.0,84
Glascow coma scale verbal response->4 Confused,0.0,85
Glascow coma scale verbal response->3 Inapprop words,0.0,86
Glascow coma scale total->5,0.0,87
Glascow coma scale total->3,0.0,88
Glascow coma scale verbal response->1 No Response,0.0,89
Glascow coma scale total->8,0.0,90
Glascow coma scale total->9,0.0,91
Glascow coma scale verbal response->1.0 ET/Trach,0.0,92
Glascow coma scale total->7,0.0,93
Glascow coma scale total->4,0.0,94
mask->Glascow coma scale total,0.0,95
mask->Capillary refill rate,0.0,96
