Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Creatinine,0.0006248043416416257,3,0.0004830621673990894,3,-0.00014174217424253624,0.00014174217424253624,0
Glascow coma scale verbal response->Oriented,0.0005558566977585547,4,0.00042614111159709663,5,-0.00012971558616145805,0.00012971558616145805,1
Lactate,0.00040835202518159087,9,0.000295559969762586,15,-0.00011279205541900485,0.00011279205541900485,6
Glascow coma scale motor response->Obeys Commands,0.000731826165269562,2,0.0006207775791282468,2,-0.00011104858614131526,0.00011104858614131526,0
Glascow coma scale verbal response->No Response-ETT,0.00041306357664136587,8,0.000349602279552211,12,-6.346129708915488e-05,6.346129708915488e-05,4
mask->Oxygen saturation,0.00031967769400162167,15,0.00025686479198878086,17,-6.281290201284081e-05,6.281290201284081e-05,2
Fraction inspired oxygen,0.0007635092857848269,1,0.0008178515340903451,1,5.434224830551816e-05,5.434224830551816e-05,0
Hemoglobin,0.00025871684487414654,19,0.0002064905620929991,21,-5.222628278114743e-05,5.222628278114743e-05,2
Heart Rate,0.0002993349871548893,18,0.0002515571607961459,18,-4.777782635874341e-05,4.777782635874341e-05,0
White blood cell count,0.0005269604701164081,5,0.00048054797433355563,4,-4.641249578285245e-05,4.641249578285245e-05,-1
Potassium,0.00044312043161717,6,0.00040424308840805945,9,-3.887734320911053e-05,3.887734320911053e-05,3
Sodium,0.00025200995829284295,20,0.0002167886163140729,20,-3.522134197877006e-05,3.522134197877006e-05,0
mask->Glucose,0.00021789438812618486,22,0.00025141866996509664,19,3.352428183891177e-05,3.352428183891177e-05,-3
Prothrombin time,0.00038741601157258075,13,0.00041921325993043545,7,3.17972483578547e-05,3.17972483578547e-05,-6
Height,2.0634534124564137e-05,51,5.1497710874642515e-05,39,3.086317675007838e-05,3.086317675007838e-05,-12
Systolic blood pressure,0.000392892117236718,12,0.000419880919735968,6,2.698880249925003e-05,2.698880249925003e-05,-6
Glascow coma scale verbal response->Confused,0.0001499717106106245,26,0.0001231931401482608,28,-2.6778570462363715e-05,2.6778570462363715e-05,2
Temperature,0.00032525429477087695,14,0.00029860189295168905,14,-2.6652401819187896e-05,2.6652401819187896e-05,0
mask->Glascow coma scale eye opening,0.00011385699798714215,29,0.00013977651338346493,27,2.591951539632278e-05,2.591951539632278e-05,-2
mask->Mean blood pressure,0.00022000392041630947,21,0.00019811016868509967,22,-2.1893751731209794e-05,2.1893751731209794e-05,1
mask->Bilirubin,0.0003055627117981895,17,0.0002853293042992864,16,-2.023340749890309e-05,2.023340749890309e-05,-1
Glascow coma scale eye opening->4 Spontaneously,0.00014902605645113388,27,0.00016849787077404088,24,1.9471814322907002e-05,1.9471814322907002e-05,-3
Glascow coma scale verbal response->No Response,3.28083144032936e-05,44,1.3591435188938494e-05,51,-1.921687921435511e-05,1.921687921435511e-05,7
Glascow coma scale eye opening->To Speech,0.00017003382219554026,24,0.00015194981459481106,25,-1.8084007600729208e-05,1.8084007600729208e-05,1
Glascow coma scale motor response->No response,0.00016023271640273415,25,0.00014373232884974546,26,-1.6500387552988692e-05,1.6500387552988692e-05,1
mask->pH,0.00040668445345458664,10,0.00039033156143662186,10,-1.6352892017964778e-05,1.6352892017964778e-05,0
mask->Creatinine,6.390067698184655e-05,37,5.003615618659211e-05,40,-1.3864520795254444e-05,1.3864520795254444e-05,3
Glascow coma scale eye opening->Spontaneously,0.0001973722282991741,23,0.0001848481130695597,23,-1.2524115229614401e-05,1.2524115229614401e-05,0
mask->Diastolic blood pressure,6.291633136164199e-05,38,5.269301565797711e-05,38,-1.0223315703664878e-05,1.0223315703664878e-05,0
Hematocrit,7.97745272490738e-05,35,7.029891428836847e-05,35,-9.475612960705332e-06,9.475612960705332e-06,0
Weight,0.00039526317789480753,11,0.0003863348760013004,11,-8.928301893507107e-06,8.928301893507107e-06,0
mask->Weight,8.302221539446757e-05,33,7.559119151380758e-05,34,-7.431023880659986e-06,7.431023880659986e-06,1
Glascow coma scale eye opening->To Pain,5.1267572639624726e-05,40,4.4997092347594296e-05,41,-6.27048029203043e-06,6.27048029203043e-06,1
Bilirubin,0.00011188329541368292,30,0.00011757622727127404,30,5.692931857591117e-06,5.692931857591117e-06,0
mask->Glascow coma scale verbal response,5.58947139925708e-05,39,6.115455554284009e-05,37,5.259841550269288e-06,5.259841550269288e-06,-2
Platelets,0.0001265416391870431,28,0.00012267420820524715,29,-3.867430981795942e-06,3.867430981795942e-06,1
Glascow coma scale motor response->Flex-withdraws,2.0999474025512233e-05,49,1.7240552095071087e-05,50,-3.758921930441145e-06,3.758921930441145e-06,1
mask->Potassium,4.351691128603549e-05,41,3.985648429733512e-05,42,-3.660426988700374e-06,3.660426988700374e-06,1
Diastolic blood pressure,0.0004136127561473643,7,0.0004170373354281759,8,3.4245792808116054e-06,3.4245792808116054e-06,1
mask->Hemoglobin,3.6462745510859945e-05,43,3.410791715770179e-05,44,-2.3548283531581526e-06,2.3548283531581526e-06,1
mask->Glascow coma scale motor response,3.084597418432725e-05,45,2.8608948222496058e-05,45,-2.2370259618311913e-06,2.2370259618311913e-06,0
mask->Sodium,2.6039533323700082e-05,46,2.3839510339074633e-05,48,-2.2000229846254496e-06,2.2000229846254496e-06,2
Glascow coma scale verbal response->5 Oriented,1.5143665780984918e-05,52,1.2951529463809027e-05,52,-2.1921363171758907e-06,2.1921363171758907e-06,0
mask->Hematocrit,0.00010482046921273631,31,0.00010281375746127746,31,-2.0067117514588443e-06,2.0067117514588443e-06,0
Oxygen saturation,1.0624388056796134e-05,53,8.638004169702982e-06,54,-1.9863838870931523e-06,1.9863838870931523e-06,1
mask->Lactate,6.427315419539823e-05,36,6.588299618806673e-05,36,1.609841992668504e-06,1.609841992668504e-06,0
mask->Fraction inspired oxygen,0.0003144154568461388,16,0.00031560420180692597,13,1.1887449607871797e-06,1.1887449607871797e-06,-3
mask->White blood cell count,3.7996026891355536e-05,42,3.69680391189817e-05,43,-1.027987772373839e-06,1.027987772373839e-06,1
Glascow coma scale motor response->Localizes Pain,2.070776292891381e-05,50,1.971920773006023e-05,49,-9.88555198853581e-07,9.88555198853581e-07,-1
mask->Systolic blood pressure,4.423082503070635e-06,56,3.841124187462235e-06,57,-5.819583156083994e-07,5.819583156083994e-07,1
mask->Temperature,0.00010245468652059793,32,0.00010193268090043437,32,-5.220056201635611e-07,5.220056201635611e-07,0
mask->Prothrombin time,8.012241171301247e-05,34,7.966991617406334e-05,33,-4.524955389491233e-07,4.524955389491233e-07,-1
mask->Heart Rate,5.516277660927824e-06,55,5.073431113725205e-06,55,-4.4284654720261853e-07,4.4284654720261853e-07,0
Glascow coma scale motor response->Abnormal Flexion,2.4779630957169065e-05,48,2.4366566764606096e-05,47,-4.130641925629686e-07,4.130641925629686e-07,-1
mask->Platelets,2.5781832291120025e-05,47,2.5420591273038472e-05,46,-3.612410180815527e-07,3.612410180815527e-07,-1
Glucose,4.363272295150371e-06,57,4.695358348669482e-06,56,3.320860535191108e-07,3.320860535191108e-07,-1
Glascow coma scale verbal response->Incomprehensible sounds,9.772286214212225e-06,54,9.593497909815528e-06,53,-1.7878830439669667e-07,1.7878830439669667e-07,-1
Mean blood pressure,2.386234436129762e-06,59,2.221005891308899e-06,59,-1.6522854482086335e-07,1.6522854482086335e-07,0
Glascow coma scale verbal response->Inappropriate Words,1.077756840066184e-06,60,9.397016783219599e-07,60,-1.380551617442241e-07,1.380551617442241e-07,0
mask->Height,9.62576196332036e-08,63,1.8557799593176457e-07,63,8.932037629856096e-08,8.932037629856096e-08,0
Glascow coma scale motor response->Abnormal extension,5.127796127150456e-07,61,4.4021086675153735e-07,61,-7.25687459635082e-08,7.25687459635082e-08,0
Glascow coma scale motor response->6 Obeys Commands,2.786427553303668e-06,58,2.7183476383011584e-06,58,-6.807991500250967e-08,6.807991500250967e-08,0
mask->Respiratory rate,2.295875152303559e-07,62,2.1772354996290563e-07,62,-1.1863965267450268e-08,1.1863965267450268e-08,0
Respiratory rate,6.113614379209398e-09,64,5.3979952478402015e-09,64,-7.156191313691966e-10,7.156191313691966e-10,0
pH,4.439179822870157e-09,65,4.111737697677446e-09,65,-3.2744212519271087e-10,3.2744212519271087e-10,0
Glascow coma scale total->14,0.0,66,0.0,66,0.0,0.0,0
Glascow coma scale total->12,0.0,67,0.0,67,0.0,0.0,0
Glascow coma scale total->13,0.0,68,0.0,68,0.0,0.0,0
Glascow coma scale total->10,0.0,69,0.0,69,0.0,0.0,0
Glascow coma scale total->11,0.0,70,0.0,70,0.0,0.0,0
Glascow coma scale motor response->2 Abnorm extensn,0.0,71,0.0,71,0.0,0.0,0
Glascow coma scale motor response->5 Localizes Pain,0.0,72,0.0,72,0.0,0.0,0
Glascow coma scale motor response->4 Flex-withdraws,0.0,73,0.0,73,0.0,0.0,0
Capillary refill rate->1.0,0.0,74,0.0,74,0.0,0.0,0
Capillary refill rate->0.0,0.0,75,0.0,75,0.0,0.0,0
Glascow coma scale eye opening->1 No Response,0.0,76,0.0,76,0.0,0.0,0
Glascow coma scale eye opening->None,0.0,77,0.0,77,0.0,0.0,0
Glascow coma scale eye opening->2 To pain,0.0,78,0.0,78,0.0,0.0,0
Glascow coma scale motor response->1 No Response,0.0,79,0.0,79,0.0,0.0,0
Glascow coma scale motor response->3 Abnorm flexion,0.0,80,0.0,80,0.0,0.0,0
Glascow coma scale eye opening->3 To speech,0.0,81,0.0,81,0.0,0.0,0
Glascow coma scale total->15,0.0,82,0.0,82,0.0,0.0,0
Glascow coma scale verbal response->2 Incomp sounds,0.0,83,0.0,83,0.0,0.0,0
Glascow coma scale total->6,0.0,84,0.0,84,0.0,0.0,0
Glascow coma scale verbal response->4 Confused,0.0,85,0.0,85,0.0,0.0,0
Glascow coma scale verbal response->3 Inapprop words,0.0,86,0.0,86,0.0,0.0,0
Glascow coma scale total->5,0.0,87,0.0,87,0.0,0.0,0
Glascow coma scale total->3,0.0,88,0.0,88,0.0,0.0,0
Glascow coma scale verbal response->1 No Response,0.0,89,0.0,89,0.0,0.0,0
Glascow coma scale total->8,0.0,90,0.0,90,0.0,0.0,0
Glascow coma scale total->9,0.0,91,0.0,91,0.0,0.0,0
Glascow coma scale verbal response->1.0 ET/Trach,0.0,92,0.0,92,0.0,0.0,0
Glascow coma scale total->7,0.0,93,0.0,93,0.0,0.0,0
Glascow coma scale total->4,0.0,94,0.0,94,0.0,0.0,0
mask->Glascow coma scale total,0.0,95,0.0,95,0.0,0.0,0
mask->Capillary refill rate,0.0,96,0.0,96,0.0,0.0,0
