Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Creatinine,0.0005340972804797761,2,0.00046130066225994246,3,-7.279661821983364e-05,7.279661821983364e-05,1
Heart Rate,0.0003649291809147704,9,0.0003018149919149151,13,-6.311418899985534e-05,6.311418899985534e-05,4
Potassium,0.0003581913550973902,10,0.00031141144987613926,12,-4.6779905221250924e-05,4.6779905221250924e-05,2
Temperature,0.0004736851803001111,4,0.00042888979037379355,4,-4.479538992631756e-05,4.479538992631756e-05,0
White blood cell count,0.0004166103359780715,5,0.00037766593293938016,6,-3.8944403038691355e-05,3.8944403038691355e-05,1
Lactate,0.0003302364100822975,14,0.0002919439978826662,14,-3.82924121996313e-05,3.82924121996313e-05,0
Hemoglobin,0.00028022375632510494,19,0.0002422610251126711,19,-3.796273121243384e-05,3.796273121243384e-05,0
Platelets,0.0002417443288323821,20,0.0002050619055595221,23,-3.668242327286e-05,3.668242327286e-05,3
Fraction inspired oxygen,0.0005540416918889305,1,0.0005208366176792425,1,-3.3205074209688e-05,3.3205074209688e-05,0
mask->Hematocrit,0.00030570569190430265,15,0.000281339197012417,15,-2.4366494891885668e-05,2.4366494891885668e-05,0
Weight,0.0003031846046334981,16,0.0002792066539015803,16,-2.397795073191784e-05,2.397795073191784e-05,0
Glascow coma scale verbal response->Oriented,0.00048827024120232803,3,0.0004644724923653717,2,-2.3797748836956354e-05,2.3797748836956354e-05,-1
mask->Prothrombin time,0.00021374227457635514,25,0.0001904459548877151,26,-2.329631968864005e-05,2.329631968864005e-05,1
mask->pH,0.00023417121352175852,22,0.00021125616486140114,22,-2.291504866035738e-05,2.291504866035738e-05,0
Glascow coma scale verbal response->Confused,0.00012816786296068226,32,0.00010786393508493156,34,-2.0303927875750706e-05,2.0303927875750706e-05,2
Glascow coma scale motor response->Obeys Commands,0.000368864955723118,8,0.00034922439863601404,8,-1.9640557087103954e-05,1.9640557087103954e-05,0
mask->Glascow coma scale eye opening,0.00023058555063508836,23,0.0002122467517176744,21,-1.8338798917413954e-05,1.8338798917413954e-05,-2
mask->Fraction inspired oxygen,0.0004149484557490868,6,0.0003967090903773446,5,-1.823936537174222e-05,1.823936537174222e-05,-1
Glascow coma scale verbal response->No Response-ETT,0.00033798890175970375,12,0.0003197865084869341,11,-1.8202393272769642e-05,1.8202393272769642e-05,-1
Glascow coma scale eye opening->Spontaneously,0.00021753872860680358,24,0.00019957218223741745,24,-1.7966546369386132e-05,1.7966546369386132e-05,0
mask->Glucose,0.0002804472801277772,18,0.0002625570301202629,18,-1.7890250007514318e-05,1.7890250007514318e-05,0
mask->Temperature,0.0002121289419616651,26,0.00019425664762909124,25,-1.787229433257385e-05,1.787229433257385e-05,-1
Glascow coma scale eye opening->To Speech,0.00016389833116154203,28,0.00014660775285687064,28,-1.7290578304671395e-05,1.7290578304671395e-05,0
Sodium,0.0002884004424186385,17,0.00027221736491549853,17,-1.618307750313999e-05,1.618307750313999e-05,0
Glascow coma scale motor response->No response,0.0003865713054312357,7,0.0003716130386317165,7,-1.4958266799519192e-05,1.4958266799519192e-05,0
mask->Sodium,0.00012449933260371652,33,0.0001098144325065373,33,-1.4684900097179215e-05,1.4684900097179215e-05,0
Prothrombin time,0.00014404439415373061,29,0.00013217822363166857,29,-1.1866170522062045e-05,1.1866170522062045e-05,0
Diastolic blood pressure,0.00033306430502134,13,0.00034418655211577683,9,1.1122247094436837e-05,1.1122247094436837e-05,-4
mask->Bilirubin,0.00014003967317560207,30,0.00012991830387527528,30,-1.012136930032679e-05,1.012136930032679e-05,0
mask->Weight,9.508567097801057e-05,41,8.519902180669105e-05,41,-9.886649171319517e-06,9.886649171319517e-06,0
mask->Creatinine,0.00011124764462976684,36,0.0001013949340716073,36,-9.852710558159539e-06,9.852710558159539e-06,0
Glascow coma scale eye opening->4 Spontaneously,0.00023426033598436508,21,0.00022470932233212133,20,-9.551013652243755e-06,9.551013652243755e-06,-1
mask->Platelets,0.00010058755210200549,40,9.127566563416836e-05,40,-9.31188646783713e-06,9.31188646783713e-06,0
mask->Lactate,0.00019023295621797996,27,0.0001812541388419607,27,-8.978817376019253e-06,8.978817376019253e-06,0
mask->White blood cell count,0.00011574780720586812,35,0.00010679127237874722,35,-8.956534827120905e-06,8.956534827120905e-06,0
mask->Glascow coma scale motor response,0.00010880376586582586,37,0.0001006551657298833,37,-8.14860013594256e-06,8.14860013594256e-06,0
Hematocrit,0.00013586111119147685,31,0.00012799778148416614,31,-7.863329707310704e-06,7.863329707310704e-06,0
mask->Hemoglobin,0.00010154693986527257,39,9.418874350816038e-05,39,-7.35819635711219e-06,7.35819635711219e-06,0
Oxygen saturation,8.520592797718496e-05,42,7.825690268368028e-05,43,-6.949025293504681e-06,6.949025293504681e-06,1
Bilirubin,7.827616456530896e-05,45,7.1422118575255e-05,45,-6.854045990053968e-06,6.854045990053968e-06,0
