Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Diastolic blood pressure_last10%_min,0.1082572953137164,5,0.1604512704080757,3,0.05219397509435929,0.05219397509435929,-2
Diastolic blood pressure_last25%_min,0.05783596924660658,30,0.08756834528941988,8,0.0297323760428133,0.0297323760428133,-22
Diastolic blood pressure_full_min,0.04131324066659102,41,0.06494560762531029,23,0.023632366958719273,0.023632366958719273,-18
Heart Rate_last10%_max,0.08777622772500068,9,0.08108752939329184,10,-0.006688698331708848,0.006688698331708848,1
Heart Rate_last10%_min,0.0905521374051466,8,0.08626197709917133,9,-0.004290160305975274,0.004290160305975274,1
Systolic blood pressure_full_min,0.021539975055443573,59,0.025584786920424357,57,0.004044811864980784,0.004044811864980784,-2
Systolic blood pressure_full_mean,0.04788108321765567,35,0.04980619048802126,35,0.0019251072703655933,0.0019251072703655933,0
Systolic blood pressure_last10%_max,0.06162849745428252,25,0.06067568324841843,29,-0.0009528142058640859,0.0009528142058640859,4
Diastolic blood pressure_last10%_mean,0.001433916122915012,110,0.0019799298492045743,106,0.0005460137262895623,0.0005460137262895623,-4
Heart Rate_last10%_std,0.007531445499273894,88,0.007121972453195254,89,-0.0004094730460786405,0.0004094730460786405,1
Diastolic blood pressure_last10%_max,0.0025903493160268276,104,0.0028948683530870714,104,0.0003045190370602438,0.0003045190370602438,0
Systolic blood pressure_last25%_max,0.027980971156862888,56,0.02773056094864256,56,-0.0002504102082203259,0.0002504102082203259,0
Systolic blood pressure_last25%_min,0.03726482339148972,44,0.03706240334006484,45,-0.00020242005142488,0.00020242005142488,1
Heart Rate_last25%_max,0.0017833903448943986,108,0.001631877115778125,109,-0.00015151322911627352,0.00015151322911627352,1
Heart Rate_full_min,0.0036497431354814225,101,0.0037502044656036867,100,0.0001004613301222642,0.0001004613301222642,-1
Systolic blood pressure_last10%_min,0.004836339023736565,96,0.004901299397159531,96,6.496037342296635e-05,6.496037342296635e-05,0
Diastolic blood pressure_full_max,0.0005947180686896517,118,0.000532568296678701,118,-6.214977201095067e-05,6.214977201095067e-05,0
Systolic blood pressure_last10%_std,0.07573955390305888,14,0.07569500103502907,15,-4.455286802980407e-05,4.455286802980407e-05,1
Heart Rate_full_max,0.000466933802593182,119,0.00043450584474800534,119,-3.2427957845176675e-05,3.2427957845176675e-05,0
Systolic blood pressure_full_max,0.006219764576470516,92,0.006240968123550961,92,2.1203547080444335e-05,2.1203547080444335e-05,0
Diastolic blood pressure_last25%_max,0.00015565397947900684,122,0.0001693903491288714,122,1.373636964986457e-05,1.373636964986457e-05,0
Systolic blood pressure_last25%_std,0.013003951573058678,75,0.012997032229486753,75,-6.919343571925446e-06,6.919343571925446e-06,0
Respiratory rate_last25%_mean,0.11125312869798545,4,0.11125312869798545,5,0.0,0.0,1
Lactate_last10%_min,0.09275545938506165,7,0.09275545938506165,7,0.0,0.0,0
Glascow coma scale verbal response_full_mean,0.13057302578049843,3,0.13057302578049843,4,0.0,0.0,1
White blood cell count_last10%_min,0.07999369024626644,10,0.07999369024626644,11,0.0,0.0,1
Weight_full_min,0.07955948171756026,11,0.07955948171756026,12,0.0,0.0,1
Glascow coma scale verbal response_last10%_min,0.30837906865909576,1,0.30837906865909576,1,0.0,0.0,0
Glascow coma scale motor response_full_std,0.09901466716002122,6,0.09901466716002122,6,0.0,0.0,0
Oxygen saturation_last10%_min,0.05923166804048439,29,0.05923166804048439,31,0.0,0.0,2
Glascow coma scale eye opening_last10%_max,0.060526454009477024,28,0.060526454009477024,30,0.0,0.0,2
Glascow coma scale verbal response_full_max,0.060738191774249696,27,0.060738191774249696,28,0.0,0.0,1
Temperature_last25%_min,0.0613741153240736,26,0.0613741153240736,27,0.0,0.0,1
Hematocrit_full_max,0.062396032895135636,24,0.062396032895135636,26,0.0,0.0,2
Hemoglobin_full_std,0.06384864168057638,23,0.06384864168057638,25,0.0,0.0,2
Oxygen saturation_full_min,0.06438656258008235,22,0.06438656258008235,24,0.0,0.0,2
Fraction inspired oxygen_last10%_min,0.06504527457809402,21,0.06504527457809402,22,0.0,0.0,1
Temperature_last10%_min,0.07061601644246698,17,0.07061601644246698,18,0.0,0.0,1
Glascow coma scale verbal response_full_std,0.06536761995398598,20,0.06536761995398598,21,0.0,0.0,1
Glascow coma scale motor response_full_max,0.06747998545746506,19,0.06747998545746506,20,0.0,0.0,1
Potassium_last10%_min,0.06903358745232539,18,0.06903358745232539,19,0.0,0.0,1
Glascow coma scale eye opening_last10%_min,0.07404900833790279,15,0.07404900833790279,16,0.0,0.0,1
Prothrombin time_last10%_min,0.07171557405598171,16,0.07171557405598171,17,0.0,0.0,1
Creatinine_last10%_min,0.07851237047772698,12,0.07851237047772698,13,0.0,0.0,1
Glucose_full_min,0.07601262037710832,13,0.07601262037710832,14,0.0,0.0,1
Glascow coma scale motor response_last10%_min,0.16415966223812264,2,0.16415966223812264,2,0.0,0.0,0
Prothrombin time_full_min,0.04012437136799806,43,0.04012437136799806,43,0.0,0.0,0
Sodium_full_mean,0.036827939402712895,46,0.036827939402712895,46,0.0,0.0,0
Lactate_full_min,0.03670473113474023,47,0.03670473113474023,47,0.0,0.0,0
Respiratory rate_full_min,0.034833092678477985,50,0.034833092678477985,50,0.0,0.0,0
Respiratory rate_last10%_mean,0.0339584490422775,51,0.0339584490422775,51,0.0,0.0,0
Fraction inspired oxygen_full_max,0.03529125681491463,48,0.03529125681491463,48,0.0,0.0,0
Prothrombin time_full_max,0.03485708116926785,49,0.03485708116926785,49,0.0,0.0,0
Sodium_full_max,0.03725385923613309,45,0.03725385923613309,44,0.0,0.0,-1
White blood cell count_full_std,0.04548589388414643,37,0.04548589388414643,38,0.0,0.0,1
Prothrombin time_full_mean,0.0423235027706839,39,0.0423235027706839,40,0.0,0.0,1
Glascow coma scale motor response_full_mean,0.04351583899652854,38,0.04351583899652854,39,0.0,0.0,1
White blood cell count_full_min,0.04197726112122948,40,0.04197726112122948,41,0.0,0.0,1
Glascow coma scale motor response_full_min,0.04599879371524466,36,0.04599879371524466,37,0.0,0.0,1
Sodium_full_min,0.05003514738848799,33,0.05003514738848799,34,0.0,0.0,1
Weight_full_mean,0.04819049749300867,34,0.04819049749300867,36,0.0,0.0,2
Glascow coma scale motor response_last10%_std,0.020514585428940767,61,0.020514585428940767,61,0.0,0.0,0
Lactate_full_mean,0.02152232897652497,60,0.02152232897652497,60,0.0,0.0,0
Glascow coma scale verbal response_full_min,0.022043396224615874,58,0.022043396224615874,59,0.0,0.0,1
Platelets_last25%_std,0.01993327746631625,62,0.01993327746631625,62,0.0,0.0,0
Creatinine_full_std,0.018600156495584733,66,0.018600156495584733,66,0.0,0.0,0
Prothrombin time_full_std,0.01760371335278909,67,0.01760371335278909,67,0.0,0.0,0
Glascow coma scale eye opening_full_max,0.019012489557388997,64,0.019012489557388997,64,0.0,0.0,0
Fraction inspired oxygen_last25%_max,0.019814903211632647,63,0.019814903211632647,63,0.0,0.0,0
Glascow coma scale eye opening_full_std,0.016220932541667087,69,0.016220932541667087,69,0.0,0.0,0
Potassium_full_mean,0.016009920133927578,70,0.016009920133927578,70,0.0,0.0,0
White blood cell count_full_max,0.01568526101736337,72,0.01568526101736337,72,0.0,0.0,0
Potassium_full_max,0.01569807190981183,71,0.01569807190981183,71,0.0,0.0,0
Heart Rate_full_mean,0.015056041222731348,73,0.015056041222731348,73,0.0,0.0,0
Glascow coma scale eye opening_last25%_std,0.013564589299477006,74,0.013564589299477006,74,0.0,0.0,0
Hematocrit_last25%_std,0.017011110102457656,68,0.017011110102457656,68,0.0,0.0,0
Fraction inspired oxygen_full_mean,0.018807146679494024,65,0.018807146679494024,65,0.0,0.0,0
Lactate_full_max,0.012533863380310921,77,0.012533863380310921,77,0.0,0.0,0
Glascow coma scale eye opening_full_mean,0.012989525984551128,76,0.012989525984551128,76,0.0,0.0,0
Fraction inspired oxygen_full_min,0.012465634119521106,78,0.012465634119521106,78,0.0,0.0,0
Sodium_full_std,0.011989517808305502,79,0.011989517808305502,79,0.0,0.0,0
Respiratory rate_last25%_min,0.010094828174195443,82,0.010094828174195443,82,0.0,0.0,0
Hemoglobin_last25%_std,0.009704285585855213,83,0.009704285585855213,83,0.0,0.0,0
Lactate_full_std,0.010394178822763844,80,0.010394178822763844,80,0.0,0.0,0
Weight_full_max,0.010165176044996952,81,0.010165176044996952,81,0.0,0.0,0
Potassium_full_min,0.030606444317251177,53,0.030606444317251177,53,0.0,0.0,0
Creatinine_full_min,0.03341170303755694,52,0.03341170303755694,52,0.0,0.0,0
Sodium_last10%_min,0.0286908864971268,55,0.0286908864971268,55,0.0,0.0,0
Bilirubin_full_min,0.02928950041929386,54,0.02928950041929386,54,0.0,0.0,0
Glascow coma scale eye opening_full_min,0.022799084048532713,57,0.022799084048532713,58,0.0,0.0,1
Fraction inspired oxygen_last10%_max,0.04087172302707039,42,0.04087172302707039,42,0.0,0.0,0
Oxygen saturation_last25%_min,0.05567023660321693,32,0.05567023660321693,33,0.0,0.0,1
Platelets_full_min,0.05636933498827822,31,0.05636933498827822,32,0.0,0.0,1
White blood cell count_last25%_std,0.005928550605765538,93,0.005928550605765538,93,0.0,0.0,0
Hematocrit_full_min,0.00666976605396026,91,0.00666976605396026,91,0.0,0.0,0
Respiratory rate_last10%_min,0.006956405613773431,90,0.006956405613773431,90,0.0,0.0,0
Glascow coma scale eye opening_last10%_std,0.0073371048094243475,89,0.0073371048094243475,88,0.0,0.0,-1
Lactate_last25%_std,0.008620519543491635,86,0.008620519543491635,86,0.0,0.0,0
Hematocrit_full_std,0.008602374402961195,87,0.008602374402961195,87,0.0,0.0,0
Glascow coma scale verbal response_last10%_std,0.009237805539656075,84,0.009237805539656075,84,0.0,0.0,0
Platelets_full_std,0.008994217341511828,85,0.008994217341511828,85,0.0,0.0,0
Sodium_last25%_std,0.0037493100679854416,100,0.0037493100679854416,101,0.0,0.0,1
Hematocrit_last10%_std,0.004200072017538752,99,0.004200072017538752,99,0.0,0.0,0
Temperature_full_min,0.003261411789129154,103,0.003261411789129154,103,0.0,0.0,0
Weight_last10%_std,0.0032739817921359406,102,0.0032739817921359406,102,0.0,0.0,0
Glascow coma scale motor response_last25%_std,0.004596085124213502,97,0.004596085124213502,97,0.0,0.0,0
Mean blood pressure_last25%_min,0.004248576642963549,98,0.004248576642963549,98,0.0,0.0,0
Glascow coma scale verbal response_last25%_std,0.005233764323892955,95,0.005233764323892955,95,0.0,0.0,0
Respiratory rate_last10%_max,0.005848008718707137,94,0.005848008718707137,94,0.0,0.0,0
Temperature_last25%_max,0.001626314778047987,109,0.001626314778047987,110,0.0,0.0,1
Potassium_full_std,0.0018022791359612101,107,0.0018022791359612101,108,0.0,0.0,1
Bilirubin_full_std,0.0018913076303753633,106,0.0018913076303753633,107,0.0,0.0,1
Respiratory rate_last25%_max,0.0022110212304623936,105,0.0022110212304623936,105,0.0,0.0,0
White blood cell count_last10%_std,0.0007805183553753935,114,0.0007805183553753935,114,0.0,0.0,0
Mean blood pressure_last10%_min,0.001254184490799546,111,0.001254184490799546,111,0.0,0.0,0
Platelets_last10%_std,0.0009840433819070698,112,0.0009840433819070698,112,0.0,0.0,0
Weight_last25%_std,0.0008552409384123548,113,0.0008552409384123548,113,0.0,0.0,0
Mean blood pressure_last10%_max,0.0006197942084619631,117,0.0006197942084619631,117,0.0,0.0,0
Height_full_min,0.0006949805752032178,116,0.0006949805752032178,116,0.0,0.0,0
Temperature_last10%_max,0.0007518370069376152,115,0.0007518370069376152,115,0.0,0.0,0
Sodium_last10%_std,0.0002677588627594219,120,0.0002677588627594219,120,0.0,0.0,0
Temperature_full_max,0.0002072822314272865,121,0.0002072822314272865,121,0.0,0.0,0
Glucose_last10%_min,0.0001016392830853963,123,0.0001016392830853963,123,0.0,0.0,0
pH_full_mean,8.257332892446954e-05,124,8.257332892446954e-05,124,0.0,0.0,0
Mean blood pressure_full_min,7.880036792513143e-05,125,7.880036792513143e-05,125,0.0,0.0,0
pH_full_max,6.719569649210963e-05,126,6.719569649210963e-05,126,0.0,0.0,0
Glucose_last25%_max,5.862859563492335e-05,127,5.862859563492335e-05,127,0.0,0.0,0
pH_last10%_max,5.80812797595302e-05,128,5.80812797595302e-05,128,0.0,0.0,0
pH_last10%_min,5.680244532003433e-05,129,5.680244532003433e-05,129,0.0,0.0,0
pH_last25%_min,4.8536615721727053e-05,130,4.8536615721727053e-05,130,0.0,0.0,0
Glucose_full_mean,3.77135068478313e-05,131,3.77135068478313e-05,131,0.0,0.0,0
Oxygen saturation_last10%_max,2.488214679143158e-05,132,2.488214679143158e-05,132,0.0,0.0,0
Glucose_last25%_mean,2.312615511730189e-05,133,2.312615511730189e-05,133,0.0,0.0,0
Glucose_last10%_std,2.25651267238778e-05,134,2.25651267238778e-05,134,0.0,0.0,0
Glucose_last10%_max,1.7713747366293297e-05,135,1.7713747366293297e-05,135,0.0,0.0,0
pH_last25%_std,1.7450877512864683e-05,136,1.7450877512864683e-05,136,0.0,0.0,0
Glucose_full_max,1.6731560458434263e-05,137,1.6731560458434263e-05,137,0.0,0.0,0
pH_last10%_std,4.937928174569879e-06,138,4.937928174569879e-06,138,0.0,0.0,0
pH_full_min,4.664190715403423e-06,139,4.664190715403423e-06,139,0.0,0.0,0
Respiratory rate_full_max,1.7330712264871928e-06,140,1.7330712264871928e-06,140,0.0,0.0,0
Oxygen saturation_full_max,5.64284214029415e-07,141,5.64284214029415e-07,141,0.0,0.0,0
Oxygen saturation_last25%_max,3.5824318042870413e-07,142,3.5824318042870413e-07,142,0.0,0.0,0
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.0,143,0.0,143,0.0,0.0,0
ICU_Coronary Care Unit (CCU),0.0,144,0.0,144,0.0,0.0,0
ICU_Intensive Care Unit (ICU),0.0,145,0.0,145,0.0,0.0,0
ICU_Medical Intensive Care Unit (MICU),0.0,146,0.0,146,0.0,0.0,0
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0,147,0.0,147,0.0,0.0,0
ICU_Medicine,0.0,148,0.0,148,0.0,0.0,0
ICU_Neuro Intermediate,0.0,149,0.0,149,0.0,0.0,0
ICU_Neuro Stepdown,0.0,150,0.0,150,0.0,0.0,0
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.0,151,0.0,151,0.0,0.0,0
ICU_Neurology,0.0,152,0.0,152,0.0,0.0,0
ICU_PACU,0.0,153,0.0,153,0.0,0.0,0
ICU_Surgery/Trauma,0.0,154,0.0,154,0.0,0.0,0
ICU_Surgery/Vascular/Intermediate,0.0,155,0.0,155,0.0,0.0,0
ICU_Surgical Intensive Care Unit (SICU),0.0,156,0.0,156,0.0,0.0,0
ICU_Trauma SICU (TSICU),0.0,157,0.0,157,0.0,0.0,0
