Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.03924217374699623,1
Glascow coma scale motor response_last25%_max,0.014024378070970905,2
Creatinine_last10%_min,0.009933759091104376,3
Fraction inspired oxygen_last10%_max,0.008985076540651065,4
Glascow coma scale motor response_last25%_min,0.00870813177706462,5
Respiratory rate_last25%_mean,0.008608042614665771,6
Oxygen saturation_last10%_min,0.008582655387090457,7
White blood cell count_last10%_min,0.007817362561030666,8
Diastolic blood pressure_last10%_min,0.007225379363910589,9
Hemoglobin_full_max,0.007151944801313226,10
White blood cell count_full_min,0.0065707685841772355,11
Platelets_last10%_min,0.006137097210678929,12
Glascow coma scale motor response_full_max,0.006103857745295033,13
Sodium_full_min,0.005733458668821355,14
Potassium_last10%_min,0.005476692984476065,15
Heart Rate_full_mean,0.004359939695103604,16
Glascow coma scale motor response_last10%_max,0.003928661046410374,17
Fraction inspired oxygen_full_mean,0.0038625923454483724,18
Systolic blood pressure_full_mean,0.0031034923654480167,19
Heart Rate_full_min,0.003026072492663131,20
Glascow coma scale motor response_last10%_min,0.002913273165310971,21
Hematocrit_last10%_min,0.002813396507659514,22
Hematocrit_full_min,0.00263455292048232,23
Weight_full_min,0.002630962633175065,24
Oxygen saturation_last25%_min,0.002513563247443703,25
Hemoglobin_full_mean,0.0024814348023446263,26
Temperature_last10%_min,0.002313447362133764,27
Oxygen saturation_full_min,0.002111904256284584,28
Glascow coma scale motor response_full_min,0.0018990027752087701,29
Glascow coma scale eye opening_last10%_min,0.0017958748478056313,30
Glascow coma scale verbal response_full_mean,0.0017519766982186783,31
Sodium_last10%_std,0.0016891563331828017,32
Glascow coma scale motor response_full_mean,0.0016266155811523364,33
Lactate_full_min,0.0015839024193428086,34
Glascow coma scale eye opening_last25%_min,0.0015806806351958403,35
Hemoglobin_full_min,0.0015430990115598026,36
Glascow coma scale verbal response_full_std,0.0014652562235554342,37
Mean blood pressure_last10%_min,0.0014263272706837742,38
Respiratory rate_last10%_mean,0.0013620381131633367,39
Temperature_last25%_min,0.0013340183692423342,40
Sodium_full_std,0.0013006234488627325,41
Glascow coma scale motor response_last25%_std,0.0012995840971686478,42
Heart Rate_last25%_mean,0.0012837283044600978,43
Diastolic blood pressure_last25%_min,0.0012482764289555197,44
Weight_full_mean,0.0011845096997553021,45
Lactate_last25%_min,0.0011186681867010441,46
Potassium_full_min,0.001094198815665564,47
Glascow coma scale verbal response_full_min,0.0010864276002644146,48
