Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.00941876099370475,1
Glascow coma scale motor response_last10%_min,0.009203338327685235,2
Glascow coma scale motor response_last10%_max,0.008909485819971256,3
Glascow coma scale motor response_last25%_min,0.00851360989744327,4
Glascow coma scale motor response_last25%_max,0.008403740731721104,5
Creatinine_last10%_min,0.005807441983672096,6
Glascow coma scale motor response_full_max,0.00488738370354577,7
Creatinine_full_mean,0.004251675196164862,8
Glascow coma scale eye opening_last25%_max,0.004225945498271361,9
Glascow coma scale eye opening_last10%_min,0.00402008724523814,10
Glascow coma scale verbal response_full_mean,0.00398839795972537,11
Glascow coma scale motor response_full_mean,0.003971528737239826,12
Creatinine_full_min,0.003882827493454999,13
Creatinine_full_max,0.003602692983601377,14
Oxygen saturation_last25%_min,0.0035920602087175903,15
Glascow coma scale eye opening_last10%_max,0.003516859006193795,16
Glascow coma scale verbal response_full_max,0.003353665079693707,17
Prothrombin time_full_min,0.003300622862710957,18
Fraction inspired oxygen_last10%_max,0.00304360342838954,19
Prothrombin time_full_mean,0.00296453487893761,20
Prothrombin time_last10%_min,0.0029107811071797398,21
Oxygen saturation_full_min,0.0027795630828622254,22
Fraction inspired oxygen_full_mean,0.0027456664704209664,23
Respiratory rate_last25%_mean,0.0026893997150257225,24
Fraction inspired oxygen_last25%_min,0.002663749990576499,25
Diastolic blood pressure_last25%_mean,0.0026574022200891146,26
Diastolic blood pressure_last10%_mean,0.0026515027137117386,27
Fraction inspired oxygen_last10%_min,0.0025807519839824416,28
Glascow coma scale eye opening_last25%_min,0.00245884280784688,29
Glascow coma scale eye opening_full_max,0.002442745804708283,30
Temperature_last25%_min,0.0024326020413726105,31
Systolic blood pressure_last25%_mean,0.002418086486493789,32
Glascow coma scale eye opening_full_mean,0.0024161886770583093,33
Oxygen saturation_last10%_min,0.0024037838320843303,34
Fraction inspired oxygen_last25%_max,0.0023702822887550824,35
Respiratory rate_last10%_mean,0.00223068306596106,36
White blood cell count_last10%_min,0.0022221434170646127,37
Prothrombin time_full_max,0.002183048820287416,38
Weight_full_max,0.0021715497878471903,39
Heart Rate_last25%_mean,0.002079857559272491,40
Systolic blood pressure_full_mean,0.0020579348474197325,41
Diastolic blood pressure_last10%_max,0.0019899569267497713,42
Temperature_last25%_max,0.0019773525507809212,43
Weight_full_mean,0.0019624144647664384,44
White blood cell count_full_min,0.001927985411165341,45
Systolic blood pressure_last25%_min,0.001914115277811553,46
Fraction inspired oxygen_full_min,0.0018765217445799451,47
Systolic blood pressure_last10%_mean,0.0018709375122282143,48
Diastolic blood pressure_last10%_min,0.0018232978032564962,49
Temperature_last10%_min,0.0018078211242129633,50
Diastolic blood pressure_last25%_max,0.0016940678121830754,51
Heart Rate_last10%_mean,0.001693457868834409,52
