Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Creatinine_last10%_min,0.006750943434962163,6,0.005807441983672096,6,-0.0009435014512900672,0.0009435014512900672,0
Creatinine_full_mean,0.0051044287303688984,7,0.004251675196164862,8,-0.0008527535342040364,0.0008527535342040364,1
Systolic blood pressure_last25%_mean,0.0032380403974262796,19,0.002418086486493789,32,-0.0008199539109324905,0.0008199539109324905,13
Systolic blood pressure_last10%_mean,0.0026131274329357144,31,0.0018709375122282143,48,-0.0007421899207075001,0.0007421899207075001,17
Creatinine_full_min,0.004531412255595918,9,0.003882827493454999,13,-0.0006485847621409192,0.0006485847621409192,4
Creatinine_full_max,0.004231896487396065,12,0.003602692983601377,14,-0.0006292035037946883,0.0006292035037946883,2
Systolic blood pressure_full_mean,0.0026831900828770978,29,0.0020579348474197325,41,-0.0006252552354573653,0.0006252552354573653,12
Systolic blood pressure_last25%_min,0.0024194998480171525,36,0.001914115277811553,46,-0.0005053845702055995,0.0005053845702055995,10
Glascow coma scale verbal response_last10%_min,0.009895925783757694,1,0.00941876099370475,1,-0.0004771647900529436,0.0004771647900529436,0
Systolic blood pressure_last25%_max,0.0015915473652535152,57,0.0012169511798229423,74,-0.00037459618543057285,0.00037459618543057285,17
Systolic blood pressure_last10%_min,0.001941540497410742,47,0.0015942113825728869,53,-0.0003473291148378551,0.0003473291148378551,6
Systolic blood pressure_full_min,0.0015080813001482284,62,0.0011864051179173245,77,-0.0003216761822309039,0.0003216761822309039,15
Systolic blood pressure_last10%_max,0.00160787863293634,55,0.0012871546767611005,70,-0.00032072395617523944,0.00032072395617523944,15
Glascow coma scale motor response_last25%_min,0.008823509943650148,4,0.00851360989744327,4,-0.00030990004620687697,0.00030990004620687697,0
Glascow coma scale eye opening_last25%_min,0.002763633802489216,26,0.00245884280784688,29,-0.00030479099464233604,0.00030479099464233604,3
Prothrombin time_last10%_min,0.003198776974055884,20,0.0029107811071797398,21,-0.0002879958668761443,0.0002879958668761443,1
Diastolic blood pressure_full_mean,0.0016404579957042544,53,0.0013602833562437419,67,-0.00028017463946051254,0.00028017463946051254,14
Glascow coma scale eye opening_last10%_min,0.004296131325601311,11,0.00402008724523814,10,-0.0002760440803631706,0.0002760440803631706,-1
Heart Rate_full_max,0.0012146210540862183,80,0.0009472424562617088,101,-0.0002673785978245095,0.0002673785978245095,21
Diastolic blood pressure_full_min,0.0010627210156006022,94,0.0008132506558893302,114,-0.00024947035971127195,0.00024947035971127195,20
Heart Rate_last10%_max,0.0011810378652212493,83,0.0009354551316701782,103,-0.00024558273355107106,0.00024558273355107106,20
Heart Rate_last25%_mean,0.0023235743097703094,39,0.002079857559272491,40,-0.00024371675049781856,0.00024371675049781856,1
Diastolic blood pressure_last25%_mean,0.002900837210275336,24,0.0026574022200891146,26,-0.00024343499018622148,0.00024343499018622148,2
Heart Rate_last10%_mean,0.0019298473823520109,50,0.001693457868834409,52,-0.00023638951351760197,0.00023638951351760197,2
Heart Rate_last25%_max,0.0012014817086349382,81,0.0009714976772786048,98,-0.00022998403135633335,0.00022998403135633335,17
Diastolic blood pressure_last10%_min,0.0016075025060724494,56,0.0018232978032564962,49,0.00021579529718404687,0.00021579529718404687,-7
pH_full_mean,0.0013424525351395456,72,0.0011331734871206567,81,-0.00020927904801888893,0.00020927904801888893,9
Systolic blood pressure_full_max,0.0014708822932276717,65,0.001265040848445381,73,-0.00020584144478229065,0.00020584144478229065,8
Mean blood pressure_last25%_min,0.001285578461361245,75,0.0014859841662769743,59,0.00020040570491572937,0.00020040570491572937,-16
Glascow coma scale eye opening_last25%_max,0.004416120677559896,10,0.004225945498271361,9,-0.0001901751792885353,0.0001901751792885353,-1
Mean blood pressure_last10%_max,0.0012509020240799279,77,0.001435079975918555,62,0.00018417795183862723,0.00018417795183862723,-15
Diastolic blood pressure_last25%_max,0.001864296397858607,51,0.0016940678121830754,51,-0.00017022858567553164,0.00017022858567553164,0
Respiratory rate_last25%_mean,0.002849548726863653,25,0.0026893997150257225,24,-0.00016014901183793043,0.00016014901183793043,-1
Temperature_last25%_min,0.0025780514060804467,32,0.0024326020413726105,31,-0.00014544936470783617,0.00014544936470783617,-1
Glascow coma scale motor response_full_max,0.004743278440087662,8,0.00488738370354577,7,0.00014410526345810803,0.00014410526345810803,-1
Heart Rate_last10%_min,0.0013438837035539737,71,0.0012026408288945119,76,-0.0001412428746594618,0.0001412428746594618,5
Oxygen saturation_full_min,0.002917587747439929,23,0.0027795630828622254,22,-0.00013802466457770368,0.00013802466457770368,-1
Glascow coma scale eye opening_last10%_max,0.003651493700413634,15,0.003516859006193795,16,-0.00013463469421983896,0.00013463469421983896,1
Temperature_last10%_min,0.0019361359099105792,48,0.0018078211242129633,50,-0.00012831478569761594,0.00012831478569761594,2
Lactate_last10%_min,0.0014279285385531192,67,0.001300984833167232,69,-0.0001269437053858871,0.0001269437053858871,2
Glascow coma scale eye opening_full_mean,0.002542749694637275,34,0.0024161886770583093,33,-0.00012656101757896592,0.00012656101757896592,-1
Mean blood pressure_last10%_min,0.0012797566345471374,76,0.0014038716895157333,65,0.0001241150549685958,0.0001241150549685958,-11
Prothrombin time_full_max,0.002304749383347129,40,0.002183048820287416,38,-0.00012170056305971276,0.00012170056305971276,-2
Glascow coma scale eye opening_full_max,0.0023237756604713323,38,0.002442745804708283,30,0.00011897014423695087,0.00011897014423695087,-8
Glascow coma scale motor response_last10%_min,0.009320851904037664,2,0.009203338327685235,2,-0.00011751357635242897,0.00011751357635242897,0
pH_full_min,0.0008732216925715251,112,0.0007641103248419322,121,-0.00010911136772959282,0.00010911136772959282,9
pH_last25%_min,0.0009769029565918036,100,0.0008724955475477871,109,-0.00010440740904401648,0.00010440740904401648,9
pH_last10%_max,0.0011145920800580847,89,0.0010105539042492937,92,-0.00010403817580879101,0.00010403817580879101,3
Heart Rate_full_mean,0.001105126042926793,90,0.001002732450165413,94,-0.00010239359276138001,0.00010239359276138001,4
pH_full_max,0.0007029868066635159,130,0.0006024240402426448,138,-0.00010056276642087111,0.00010056276642087111,8
Bilirubin_full_min,0.0008044407639592625,120,0.0007078368783478052,128,-9.660388561145733e-05,9.660388561145733e-05,8
Fraction inspired oxygen_full_min,0.0017811349473305794,52,0.0018765217445799451,47,9.538679724936574e-05,9.538679724936574e-05,-5
Temperature_last10%_max,0.001560762878899862,59,0.001473074638306783,60,-8.768824059307893e-05,8.768824059307893e-05,1
pH_last10%_min,0.0008871596118848521,110,0.0008004043056887998,115,-8.675530619605234e-05,8.675530619605234e-05,5
Oxygen saturation_last10%_min,0.0024887290930459285,35,0.0024037838320843303,34,-8.494526096159815e-05,8.494526096159815e-05,-1
Respiratory rate_full_max,0.0015837894180759,58,0.0015002652601365644,56,-8.352415793933562e-05,8.352415793933562e-05,-2
Glascow coma scale verbal response_full_mean,0.004067749263523644,13,0.00398839795972537,11,-7.935130379827394e-05,7.935130379827394e-05,-2
Respiratory rate_last10%_min,0.001496266932016401,64,0.0014216771293787613,63,-7.458980263763963e-05,7.458980263763963e-05,-1
Glucose_full_min,0.0016235348742186877,54,0.001549788701161164,54,-7.374617305752379e-05,7.374617305752379e-05,0
Diastolic blood pressure_full_max,0.0007530578778802134,126,0.0006803173325981727,132,-7.274054528204072e-05,7.274054528204072e-05,6
pH_last10%_mean,0.0009516311907639755,104,0.0008789302319673053,108,-7.270095879667018e-05,7.270095879667018e-05,4
Respiratory rate_last25%_max,0.001336505802809225,73,0.001268245449536247,72,-6.826035327297782e-05,6.826035327297782e-05,-1
Creatinine_full_std,0.0008569971296396113,113,0.0007902156248710071,116,-6.678150476860422e-05,6.678150476860422e-05,3
Prothrombin time_full_min,0.003366226944627028,17,0.003300622862710957,18,-6.560408191607107e-05,6.560408191607107e-05,1
White blood cell count_last10%_min,0.002285107349591551,41,0.0022221434170646127,37,-6.296393252693813e-05,6.296393252693813e-05,-4
Lactate_last25%_max,0.0012167602373678067,79,0.0011569933550734932,78,-5.9766882294313506e-05,5.9766882294313506e-05,-1
Glucose_full_mean,0.0010365532535980308,96,0.0009773029809413446,96,-5.925027265668613e-05,5.925027265668613e-05,0
Glucose_last25%_mean,0.0011420788197360953,86,0.0010840275517361353,86,-5.805126799996005e-05,5.805126799996005e-05,0
Lactate_last25%_min,0.0011911796457229403,82,0.001133560515276755,80,-5.7619130446185393e-05,5.7619130446185393e-05,-2
Glascow coma scale verbal response_full_std,0.0010818059324581935,91,0.0010245255114888984,90,-5.728042096929506e-05,5.728042096929506e-05,-1
Glucose_last25%_max,0.0005992456040730316,140,0.0005467619814922372,147,-5.2483622580794405e-05,5.2483622580794405e-05,7
Weight_full_mean,0.0020137725541076695,46,0.0019624144647664384,44,-5.1358089341231074e-05,5.1358089341231074e-05,-2
White blood cell count_last25%_std,0.0005765688389421383,147,0.0005258193944160238,148,-5.0749444526114484e-05,5.0749444526114484e-05,1
Diastolic blood pressure_last10%_mean,0.0027019307375715754,27,0.0026515027137117386,27,-5.042802385983678e-05,5.042802385983678e-05,0
Glascow coma scale eye opening_full_min,0.0010071228927911763,99,0.0010567172606455162,87,4.95943678543399e-05,4.95943678543399e-05,-12
Temperature_full_min,0.0013777668621987814,69,0.0013285751028867768,68,-4.919175931200463e-05,4.919175931200463e-05,-1
Glascow coma scale motor response_last25%_std,0.0008384721635790814,117,0.0007894820660675538,117,-4.8990097511527665e-05,4.8990097511527665e-05,0
Prothrombin time_full_mean,0.003013452481354276,22,0.00296453487893761,20,-4.8917602416665915e-05,4.8917602416665915e-05,-2
Bilirubin_full_std,0.0008087684948083863,119,0.0007607622074084955,122,-4.800628739989074e-05,4.800628739989074e-05,3
