Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Creatinine_last10%_min,0.20193395,2,0.18366577,3,-0.018268183,0.018268183,1
Systolic blood pressure_last10%_mean,0.05068267,34,0.03553979,48,-0.01514288,0.01514288,14
Systolic blood pressure_last25%_mean,0.034801655,53,0.021264458,86,-0.013537196,0.013537196,33
Systolic blood pressure_last25%_min,0.04299548,42,0.031379208,60,-0.011616271,0.011616271,18
Glascow coma scale verbal response_last10%_min,0.48074958,1,0.47039863,1,-0.010350943,0.010350943,0
Diastolic blood pressure_last25%_max,0.03526252,50,0.026146937,71,-0.009115584,0.009115584,21
Diastolic blood pressure_last10%_min,0.023192855,81,0.032203507,57,0.009010652,0.009010652,-24
Diastolic blood pressure_full_min,0.025508938,73,0.016633976,98,-0.008874962,0.008874962,25
Diastolic blood pressure_last25%_mean,0.07279459,14,0.06634325,21,-0.0064513385,0.0064513385,7
Systolic blood pressure_full_mean,0.042809967,43,0.048924103,36,0.0061141364,0.0061141364,-7
Diastolic blood pressure_last25%_min,0.0068321577,149,0.011379993,124,0.004547835,0.004547835,-25
Prothrombin time_last10%_min,0.09034838,8,0.085835144,9,-0.004513234,0.004513234,1
Heart Rate_last25%_std,0.021229407,89,0.025301466,72,0.004072059,0.004072059,-17
Glascow coma scale motor response_last10%_max,0.18563363,3,0.18931441,2,0.0036807805,0.0036807805,-1
Creatinine_full_min,0.057081528,31,0.053417288,34,-0.0036642402,0.0036642402,3
Glascow coma scale eye opening_last25%_max,0.04624321,38,0.04988093,35,0.00363772,0.00363772,-3
Creatinine_full_mean,0.018598128,97,0.015034081,108,-0.0035640467,0.0035640467,11
Heart Rate_last25%_mean,0.060572788,27,0.057124037,29,-0.0034487508,0.0034487508,2
Fraction inspired oxygen_last25%_min,0.050373815,35,0.053547364,33,0.0031735487,0.0031735487,-2
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.066580065,22,0.06344538,24,-0.0031346828,0.0031346828,2
Diastolic blood pressure_last10%_mean,0.07016415,18,0.07322666,15,0.003062509,0.003062509,-3
Hemoglobin_full_mean,0.030243311,63,0.027235683,69,-0.003007628,0.003007628,6
Temperature_full_min,0.07196057,15,0.074963875,14,0.0030033067,0.0030033067,-1
Heart Rate_last10%_mean,0.071241386,16,0.068374634,18,-0.0028667524,0.0028667524,2
Lactate_last10%_min,0.049524903,36,0.046668135,38,-0.0028567687,0.0028567687,2
Temperature_last25%_min,0.08018598,12,0.07736536,13,-0.0028206185,0.0028206185,1
Systolic blood pressure_last10%_max,0.011064576,126,0.00825807,144,-0.0028065061,0.0028065061,18
Oxygen saturation_full_min,0.057877347,29,0.055315398,30,-0.0025619492,0.0025619492,1
Heart Rate_last25%_min,0.025768928,72,0.023210952,78,-0.0025579762,0.0025579762,6
pH_last10%_min,0.020486204,91,0.017982459,97,-0.0025037453,0.0025037453,6
pH_full_mean,0.009983993,134,0.007532384,145,-0.0024516094,0.0024516094,11
Prothrombin time_full_max,0.030520327,62,0.032929506,55,0.0024091788,0.0024091788,-7
Prothrombin time_full_min,0.065300286,25,0.06293745,25,-0.0023628324,0.0023628324,0
Heart Rate_full_mean,0.03379116,55,0.036133938,47,0.0023427792,0.0023427792,-8
Heart Rate_last10%_min,0.022272667,86,0.0200958,90,-0.0021768678,0.0021768678,4
Glascow coma scale verbal response_full_mean,0.03667438,49,0.03882728,46,0.0021529011,0.0021529011,-3
Glucose_last25%_std,0.066581376,21,0.0644884,22,-0.0020929724,0.0020929724,1
Systolic blood pressure_full_min,0.037040986,48,0.03496131,52,-0.0020796768,0.0020796768,4
Glascow coma scale verbal response_full_std,0.039105278,46,0.04102005,43,0.0019147731,0.0019147731,-3
Weight_full_mean,0.065888464,23,0.06404178,23,-0.001846686,0.001846686,0
Glascow coma scale eye opening_last10%_std,0.023477143,79,0.025232036,73,0.001754893,0.001754893,-6
Fraction inspired oxygen_last10%_min,0.04313819,41,0.044756882,41,0.0016186908,0.0016186908,0
Heart Rate_last10%_max,0.02421954,76,0.022665214,82,-0.0015543271,0.0015543271,6
Respiratory rate_full_max,0.042716086,44,0.04119213,42,-0.0015239567,0.0015239567,-2
Glascow coma scale motor response_full_max,0.022797508,84,0.02430737,76,0.001509862,0.001509862,-8
Sodium_last10%_std,0.017425908,99,0.018879848,94,0.0014539398,0.0014539398,-5
Hematocrit_full_max,0.011211498,125,0.009771279,133,-0.0014402186,0.0014402186,8
Hemoglobin_full_max,0.081116565,11,0.07972368,11,-0.001392886,0.001392886,0
Glascow coma scale eye opening_last10%_max,0.057640627,30,0.059029724,28,0.0013890974,0.0013890974,-2
White blood cell count_last10%_min,0.13173775,5,0.13039444,5,-0.0013433099,0.0013433099,0
Oxygen saturation_last25%_min,0.07843983,13,0.079715386,12,0.0012755543,0.0012755543,-1
Diastolic blood pressure_last10%_max,0.019963093,93,0.01869182,95,-0.0012712739,0.0012712739,2
Respiratory rate_full_min,0.030925175,61,0.032188274,58,0.0012630988,0.0012630988,-3
pH_last10%_max,0.029878147,64,0.028621042,66,-0.0012571048,0.0012571048,2
