Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
mask->Glucose,0.0007161114378603837,1,0.0002909919324878156,3,-0.0004251195053725681,0.0004251195053725681,2
Temperature,0.00013743188612052324,15,0.0002253798145064338,6,8.794792838591055e-05,8.794792838591055e-05,-9
Glascow coma scale verbal response->Oriented,0.00031053031166548774,4,0.00028808446471473114,4,-2.2445846950756604e-05,2.2445846950756604e-05,0
mask->Fraction inspired oxygen,0.00020011094728894377,7,0.00018216861002378384,9,-1.794233726515993e-05,1.794233726515993e-05,2
Creatinine,0.00032887987036303985,3,0.0003465781484615519,2,1.7698278098512066e-05,1.7698278098512066e-05,-1
Glascow coma scale motor response->Obeys Commands,0.0005057520359869652,2,0.0004904418890173543,1,-1.5310146969610893e-05,1.5310146969610893e-05,-1
Weight,0.00018324730478748905,9,0.00016905740743081493,10,-1.4189897356674112e-05,1.4189897356674112e-05,1
Lactate,0.00020471842120907044,6,0.00019093369737949276,7,-1.3784723829577685e-05,1.3784723829577685e-05,1
Hematocrit,6.528062849788953e-05,25,5.241397927521203e-05,30,-1.2866649222677498e-05,1.2866649222677498e-05,5
mask->Temperature,6.551199498470023e-05,24,5.274321956117119e-05,29,-1.2768775423529034e-05,1.2768775423529034e-05,5
Glascow coma scale eye opening->4 Spontaneously,0.00016618306327247106,10,0.00015608095430358172,11,-1.0102108968889338e-05,1.0102108968889338e-05,1
Fraction inspired oxygen,9.700948508609123e-05,17,8.7405312284333e-05,19,-9.604172801758225e-06,9.604172801758225e-06,2
Glascow coma scale eye opening->To Speech,8.089387172415689e-05,22,7.185952292101364e-05,23,-9.034348803143251e-06,9.034348803143251e-06,1
mask->pH,9.245002773703078e-05,20,8.469810516766878e-05,21,-7.751922569361998e-06,7.751922569361998e-06,1
Hemoglobin,2.085880035355438e-05,41,1.4027751086655346e-05,44,-6.831049266899033e-06,6.831049266899033e-06,3
mask->Hematocrit,0.00014690983796673953,11,0.0001535031181620356,12,6.593280195296052e-06,6.593280195296052e-06,1
White blood cell count,0.00013932408765941515,13,0.00013416618503238418,15,-5.1579026270309714e-06,5.1579026270309714e-06,2
mask->Glascow coma scale eye opening,9.113132264071023e-05,21,8.642710513105827e-05,20,-4.70421750965196e-06,4.70421750965196e-06,-1
mask->Oxygen saturation,0.00010326505838010498,16,9.872872193491808e-05,16,-4.536336445186908e-06,4.536336445186908e-06,0
Glucose,7.507676098614145e-06,52,3.4479467715567755e-06,58,-4.05972932705737e-06,4.05972932705737e-06,6
Heart Rate,0.00013889709332362188,14,0.0001424495496894497,13,3.552456365827814e-06,3.552456365827814e-06,-1
Systolic blood pressure,6.167683580630234e-05,27,5.815882418818589e-05,27,-3.5180116181164514e-06,3.5180116181164514e-06,0
Glascow coma scale motor response->6 Obeys Commands,9.116663684562288e-06,51,1.2221536432362789e-05,48,3.1048727478005012e-06,3.1048727478005012e-06,-3
Glascow coma scale motor response->No response,0.00018520843109886789,8,0.0001825787861852669,8,-2.6296449136009885e-06,2.6296449136009885e-06,0
Glascow coma scale motor response->Abnormal extension,2.3751722064934012e-05,39,2.1434087933621097e-05,41,-2.317634131312915e-06,2.317634131312915e-06,2
Glascow coma scale verbal response->No Response,4.241405631723819e-05,32,4.025878898223279e-05,32,-2.155267335005399e-06,2.155267335005399e-06,0
Glascow coma scale eye opening->Spontaneously,9.295821168760274e-05,19,9.081100837332191e-05,18,-2.1472033142808214e-06,2.1472033142808214e-06,-1
mask->Weight,3.6253365658475314e-05,35,3.41454529755146e-05,36,-2.107912682960714e-06,2.107912682960714e-06,1
mask->Lactate,2.0364204542389e-05,44,1.8272475026034466e-05,43,-2.0917295163545355e-06,2.0917295163545355e-06,-1
mask->Creatinine,7.432721011687515e-05,23,7.640263090993765e-05,22,2.0754207930625e-06,2.0754207930625e-06,-1
Glascow coma scale verbal response->Confused,2.0568576660061255e-05,43,2.2571208789101555e-05,39,2.0026321290403002e-06,2.0026321290403002e-06,-4
Glascow coma scale eye opening->To Pain,9.353299116152282e-05,18,9.550623600048095e-05,17,1.973244838958125e-06,1.973244838958125e-06,-1
Sodium,3.8925223806520995e-05,34,3.70982333767463e-05,34,-1.8269904297746925e-06,1.8269904297746925e-06,0
Potassium,6.290562550547278e-05,26,6.111570809555688e-05,26,-1.7899174099159039e-06,1.7899174099159039e-06,0
Glascow coma scale verbal response->Incomprehensible sounds,1.291148803391487e-05,46,1.121194069821719e-05,50,-1.6995473356976797e-06,1.6995473356976797e-06,4
mask->Hemoglobin,4.202365661198555e-06,59,2.7292186727209674e-06,60,-1.4731469884775878e-06,1.4731469884775878e-06,1
Prothrombin time,6.009819735560156e-05,29,6.145458623656497e-05,24,1.3563888809634133e-06,1.3563888809634133e-06,-5
Glascow coma scale motor response->Abnormal Flexion,4.926371468627622e-06,58,3.5925812242372973e-06,57,-1.3337902443903247e-06,1.3337902443903247e-06,-1
Bilirubin,5.1993317808970074e-05,30,5.328663732427269e-05,28,1.2933195153026192e-06,1.2933195153026192e-06,-2
mask->Glascow coma scale verbal response,3.239358423332821e-05,37,3.155962044663752e-05,37,-8.339637866906907e-07,8.339637866906907e-07,0
Platelets,3.603190027593048e-05,36,3.5474001038506466e-05,35,-5.578992374240135e-07,5.578992374240135e-07,-1
