Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
mask->Glucose,0.0005904008333795806,1,0.00047541516154203135,1,-0.0001149856718375492,0.0001149856718375492,0
Temperature,0.00018169100835428327,16,0.0002452373988205446,8,6.354639046626134e-05,6.354639046626134e-05,-8
mask->pH,0.00048534653672872353,3,0.0004242603909187292,3,-6.10861458099943e-05,6.10861458099943e-05,0
Systolic blood pressure,0.0001985892555194955,13,0.00014456930677488007,20,-5.4019948744615435e-05,5.4019948744615435e-05,7
Glascow coma scale verbal response->Oriented,0.0003421846062566635,4,0.0002920614576172566,5,-5.012314863940689e-05,5.012314863940689e-05,1
Glascow coma scale motor response->Obeys Commands,0.0005091363095121459,2,0.00046367415375796244,2,-4.5462155754183496e-05,4.5462155754183496e-05,0
Glascow coma scale verbal response->No Response-ETT,0.0002882548689194057,6,0.0002483249719725789,7,-3.992989694682683e-05,3.992989694682683e-05,1
Fraction inspired oxygen,0.0002225524227906084,11,0.0001829450938534516,14,-3.96073289371568e-05,3.96073289371568e-05,3
Weight,0.0002561225659253565,8,0.00022959621965236738,10,-2.652634627298912e-05,2.652634627298912e-05,2
Heart Rate,0.00012676520425558465,21,0.00010582107181718943,23,-2.094413243839522e-05,2.094413243839522e-05,2
Prothrombin time,0.00016761403049891306,20,0.00014733758404624563,19,-2.027644645266743e-05,2.027644645266743e-05,-1
mask->Fraction inspired oxygen,0.00019223778622552682,14,0.00017286730036664608,16,-1.9370485858880742e-05,1.9370485858880742e-05,2
Glascow coma scale verbal response->Confused,0.00010951977430750576,24,9.279634045065975e-05,26,-1.6723433856846007e-05,1.6723433856846007e-05,2
mask->Mean blood pressure,0.0001989963089674332,12,0.00018473428266892758,13,-1.426202629850563e-05,1.426202629850563e-05,1
Height,2.4627644244969387e-05,46,1.0828197587306004e-05,53,-1.3799446657663383e-05,1.3799446657663383e-05,7
mask->Bilirubin,0.0001876387349470079,15,0.00017469339337443325,15,-1.294534157257466e-05,1.294534157257466e-05,0
Diastolic blood pressure,0.0001775956738045497,18,0.00016486748522758106,18,-1.2728188576968647e-05,1.2728188576968647e-05,0
mask->Weight,6.195989642187379e-05,33,5.090486838805377e-05,34,-1.1055028033820018e-05,1.1055028033820018e-05,1
