Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Temperature,0.00016136559965368742,14,0.00026245845543464944,4,0.00010109285578096202,0.00010109285578096202,-10
pH,0.00016121217617806385,15,6.101401569276151e-05,42,-0.00010019816048530234,0.00010019816048530234,27
Glucose,5.766401864390908e-05,44,2.0966202562384694e-05,61,-3.6697816081524383e-05,3.6697816081524383e-05,17
Lactate,0.00020682891925139825,6,0.00023179500183584427,7,2.4966082584446027e-05,2.4966082584446027e-05,1
Heart Rate,0.0001656109269580843,13,0.00018496581125176332,11,1.9354884293679018e-05,1.9354884293679018e-05,-2
Hemoglobin,9.124532658790731e-05,26,0.0001055796306454906,24,1.4334304057583285e-05,1.4334304057583285e-05,-2
Glascow coma scale motor response->No response,0.00024247670987338364,4,0.00025325849986991664,5,1.0781789996532998e-05,1.0781789996532998e-05,1
Glascow coma scale verbal response->No Response-ETT,0.00024146617041163055,5,0.000251697825830328,6,1.0231655418697455e-05,1.0231655418697455e-05,1
mask->Temperature,0.00010353497816203881,24,0.00011281245613066528,22,9.27747796862647e-06,9.27747796862647e-06,-2
mask->Glucose,0.0003153455795160909,2,0.000306162898305411,2,-9.182681210679927e-06,9.182681210679927e-06,0
Glascow coma scale eye opening->To Pain,9.594529215681281e-05,25,0.0001050329403634156,25,9.08764820660279e-06,9.08764820660279e-06,0
Systolic blood pressure,0.00013663603042946763,19,0.00014538143243355482,17,8.74540200408719e-06,8.74540200408719e-06,-2
Glascow coma scale motor response->Obeys Commands,0.00018611440407070843,11,0.00017814079308673097,13,-7.973610983977455e-06,7.973610983977455e-06,2
Glascow coma scale verbal response->Oriented,0.0003120065543709206,3,0.00030407523229666916,3,-7.931322074251467e-06,7.931322074251467e-06,0
mask->pH,0.00018898410092488532,9,0.0001969026596988451,10,7.918558773959788e-06,7.918558773959788e-06,1
mask->Lactate,0.00010553891286606619,23,0.00011286244168595508,21,7.323528819888891e-06,7.323528819888891e-06,-2
mask->Creatinine,6.997931273408936e-05,37,7.624688752850397e-05,36,6.267574794414606e-06,6.267574794414606e-06,-1
mask->Sodium,8.003104973038374e-05,31,8.588329009103057e-05,27,5.8522403606468294e-06,5.8522403606468294e-06,-4
Glascow coma scale verbal response->5 Oriented,5.136625244712623e-05,46,5.6932012733987384e-05,44,5.565760286861156e-06,5.565760286861156e-06,-2
mask->Prothrombin time,0.0001192766645080764,21,0.000124604979096422,19,5.328314588345595e-06,5.328314588345595e-06,-2
Hematocrit,7.48889209730543e-05,36,7.998244139445586e-05,32,5.0935204214015706e-06,5.0935204214015706e-06,-4
Weight,0.0001690426571564202,12,0.00017412004285090985,14,5.077385694489644e-06,5.077385694489644e-06,2
mask->Bilirubin,2.695177204158712e-05,58,3.118443376992344e-05,56,4.232661728336321e-06,4.232661728336321e-06,-2
Diastolic blood pressure,0.00015915972959340107,16,0.00015509350458035208,15,-4.06622501304899e-06,4.06622501304899e-06,-1
Bilirubin,3.596912247916259e-05,53,3.9732440106743914e-05,52,3.763317627581325e-06,3.763317627581325e-06,-1
Respiratory rate,2.6351470830081834e-05,59,2.997239032355471e-05,57,3.620919493472877e-06,3.620919493472877e-06,-2
