Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.3427490696162297,1
Glascow coma scale motor response_last10%_min,0.19131873247610026,2
Lactate_last10%_min,0.152923958447737,3
Respiratory rate_last25%_mean,0.13606456330581318,4
Glascow coma scale motor response_full_std,0.12927367932563635,5
Glascow coma scale verbal response_full_mean,0.10760246804986434,6
Temperature_last10%_min,0.09552184588498061,7
Heart Rate_last10%_max,0.0937164894262543,8
Fraction inspired oxygen_last10%_min,0.09295871330718862,9
Heart Rate_last10%_min,0.09073164767742613,10
Glascow coma scale verbal response_full_std,0.0892082304794663,11
Temperature_last25%_min,0.08610468570989872,12
Diastolic blood pressure_last10%_min,0.08555338083833292,13
Weight_full_min,0.07571740709967846,14
Oxygen saturation_full_min,0.07324208738287256,15
White blood cell count_last10%_min,0.07298686790039104,16
Hemoglobin_full_std,0.06813248846513134,17
Potassium_last10%_min,0.06691543943472009,18
Glascow coma scale verbal response_full_max,0.06554889312475257,19
Glascow coma scale eye opening_last10%_min,0.06410134189732564,20
Lactate_full_min,0.06315899715528937,21
Glascow coma scale motor response_full_max,0.06264386615901543,22
Fraction inspired oxygen_last10%_max,0.06125265309199342,23
Creatinine_last10%_min,0.056778134324955216,24
Glascow coma scale eye opening_last10%_max,0.05622247639048839,25
Respiratory rate_full_min,0.05092570540118779,26
White blood cell count_full_std,0.049391104554354116,27
Glucose_full_min,0.04826759162471319,28
Glascow coma scale motor response_full_mean,0.047768264840889134,29
Hematocrit_full_max,0.04645754355049107,30
Weight_full_mean,0.04603314993359512,31
Oxygen saturation_last10%_min,0.04556752264622502,32
Oxygen saturation_last25%_min,0.04511993040943513,33
Diastolic blood pressure_last25%_min,0.04453012001952188,34
Glascow coma scale motor response_full_min,0.04404630684969243,35
Respiratory rate_last10%_mean,0.04173092388455421,36
Platelets_full_min,0.041094977963100986,37
Lactate_full_mean,0.04086380173848714,38
Sodium_full_min,0.03696889886824944,39
Fraction inspired oxygen_full_max,0.03686773687530147,40
White blood cell count_full_min,0.0351612635118297,41
Fraction inspired oxygen_last25%_max,0.034290609973850555,42
Prothrombin time_last10%_min,0.03360039576769635,43
Sodium_full_max,0.030058796192455335,44
Sodium_full_mean,0.029615538813364366,45
Diastolic blood pressure_full_min,0.029439897568107574,46
Systolic blood pressure_full_mean,0.028740295849185124,47
Potassium_full_min,0.02838934775246239,48
Hematocrit_last25%_std,0.027251647459313657,49
Systolic blood pressure_last25%_min,0.026948867259116216,50
Sodium_last10%_min,0.025327041540033367,51
Lactate_full_max,0.024939174762097165,52
Systolic blood pressure_last10%_std,0.024152375516841403,53
Creatinine_full_min,0.023367989345571185,54
Lactate_full_std,0.02249149045548836,55
Systolic blood pressure_last10%_max,0.02025860395630611,56
Bilirubin_full_min,0.020107958717545914,57
Fraction inspired oxygen_full_mean,0.019634415477885837,58
Prothrombin time_full_mean,0.019548626263312295,59
Potassium_full_mean,0.019202407791129375,60
Prothrombin time_full_max,0.01868866593602063,61
Systolic blood pressure_full_min,0.018310981782939648,62
Prothrombin time_full_min,0.01807501864223128,63
Glascow coma scale verbal response_last10%_std,0.017812345633212247,64
Glascow coma scale eye opening_full_min,0.01777370315486868,65
Platelets_last25%_std,0.017363416879952975,66
Glascow coma scale motor response_last10%_std,0.01644095796495094,67
Hemoglobin_last25%_std,0.015312711933715162,68
Potassium_full_max,0.015307658038493554,69
Lactate_last25%_std,0.015091085182967142,70
Prothrombin time_full_std,0.014684623734201397,71
White blood cell count_full_max,0.014585309578813089,72
Glascow coma scale eye opening_full_std,0.014581414952362983,73
Heart Rate_full_mean,0.014335365339342317,74
Respiratory rate_last25%_min,0.014306658441801378,75
Fraction inspired oxygen_full_min,0.0139644720519011,76
Sodium_full_std,0.013532271107585921,77
Creatinine_full_std,0.012409663198495138,78
Glascow coma scale eye opening_last25%_std,0.012072015143183372,79
Glascow coma scale verbal response_full_min,0.01147644740595099,80
Weight_full_max,0.010246499467074646,81
Glascow coma scale eye opening_full_mean,0.009655194773785946,82
Respiratory rate_last10%_min,0.009507575912498704,83
Systolic blood pressure_last25%_max,0.009301099389563824,84
White blood cell count_last25%_std,0.008792338155445247,85
Weight_last10%_std,0.00873448346763974,86
Glascow coma scale eye opening_full_max,0.008517156660869461,87
Heart Rate_last10%_std,0.007449998736534803,88
Hematocrit_full_std,0.007401426466738771,89
Glascow coma scale motor response_last25%_std,0.006818907226444419,90
Respiratory rate_last10%_max,0.006658646858040845,91
Hematocrit_last10%_std,0.006273703242746086,92
Glascow coma scale verbal response_last25%_std,0.006240666823604265,93
Platelets_full_std,0.0058688057036780745,94
Hematocrit_full_min,0.0055839363980940545,95
Temperature_full_min,0.005188767246639346,96
Oxygen saturation_full_max,0.005186009001724246,97
Systolic blood pressure_last25%_std,0.004850587916164917,98
Glascow coma scale eye opening_last10%_std,0.004362820810486209,99
Sodium_last25%_std,0.004323110695563906,100
