Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.3427490696162297,1
Glascow coma scale motor response_last10%_min,0.19131873247610026,2
Glascow coma scale motor response_full_std,0.12927367932563635,3
Lactate_last10%_min,0.1243603336166628,4
Respiratory rate_last25%_mean,0.11415947581704453,5
Glascow coma scale verbal response_full_mean,0.10760246804986434,6
Fraction inspired oxygen_last10%_min,0.09295871330718862,7
Glascow coma scale verbal response_full_std,0.0892082304794663,8
Diastolic blood pressure_last10%_min,0.08555338083833292,9
Weight_full_min,0.07571740709967846,10
Heart Rate_last10%_max,0.07450500099417016,11
Hemoglobin_full_std,0.0743499180687489,12
Oxygen saturation_full_min,0.07324208738287256,13
White blood cell count_last10%_min,0.07298686790039104,14
Heart Rate_last10%_min,0.06904094109300511,15
Potassium_last10%_min,0.06691543943472009,16
Glascow coma scale verbal response_full_max,0.06554889312475257,17
Glascow coma scale eye opening_last10%_min,0.06410134189732564,18
Glascow coma scale motor response_full_max,0.06264386615901543,19
Fraction inspired oxygen_last10%_max,0.06125265309199342,20
Creatinine_last10%_min,0.056778134324955216,21
Glascow coma scale eye opening_last10%_max,0.05622247639048839,22
Temperature_last10%_min,0.05609357309181932,23
White blood cell count_full_std,0.049391104554354116,24
Lactate_full_min,0.0484710706004969,25
Glucose_full_min,0.04826759162471319,26
Glascow coma scale motor response_full_mean,0.047768264840889134,27
Temperature_last25%_min,0.04671351100333174,28
Weight_full_mean,0.04603314993359512,29
Oxygen saturation_last10%_min,0.04556752264622502,30
Oxygen saturation_last25%_min,0.04511993040943513,31
Respiratory rate_full_min,0.04459284386012243,32
Diastolic blood pressure_last25%_min,0.04453012001952188,33
Glascow coma scale motor response_full_min,0.04404630684969243,34
Platelets_full_min,0.041094977963100986,35
Hematocrit_full_max,0.03741228292255372,36
Sodium_full_min,0.03696889886824944,37
Fraction inspired oxygen_full_max,0.03686773687530147,38
White blood cell count_full_min,0.0351612635118297,39
Respiratory rate_last10%_mean,0.034866780250363924,40
Fraction inspired oxygen_last25%_max,0.034290609973850555,41
Prothrombin time_last10%_min,0.03360039576769635,42
Sodium_full_max,0.030058796192455335,43
Sodium_full_mean,0.029615538813364366,44
Diastolic blood pressure_full_min,0.029439897568107574,45
Hematocrit_last25%_std,0.029108466454927217,46
Systolic blood pressure_full_mean,0.028740295849185124,47
Potassium_full_min,0.02838934775246239,48
Lactate_full_mean,0.027472786440232055,49
Systolic blood pressure_last25%_min,0.026948867259116216,50
Sodium_last10%_min,0.025327041540033367,51
Systolic blood pressure_last10%_std,0.024152375516841403,52
Creatinine_full_min,0.023367989345571185,53
Systolic blood pressure_last10%_max,0.02025860395630611,54
Bilirubin_full_min,0.020107958717545914,55
Fraction inspired oxygen_full_mean,0.019634415477885837,56
Prothrombin time_full_mean,0.019548626263312295,57
Potassium_full_mean,0.019202407791129375,58
Prothrombin time_full_max,0.01868866593602063,59
Systolic blood pressure_full_min,0.018310981782939648,60
Prothrombin time_full_min,0.01807501864223128,61
Glascow coma scale verbal response_last10%_std,0.017812345633212247,62
Glascow coma scale eye opening_full_min,0.01777370315486868,63
Lactate_full_std,0.017682974031411437,64
Platelets_last25%_std,0.017363416879952975,65
Lactate_full_max,0.01715900543698253,66
Glascow coma scale motor response_last10%_std,0.01644095796495094,67
Hemoglobin_last25%_std,0.01623767183655265,68
Potassium_full_max,0.015307658038493554,69
Prothrombin time_full_std,0.014684623734201397,70
White blood cell count_full_max,0.014585309578813089,71
Glascow coma scale eye opening_full_std,0.014581414952362983,72
Fraction inspired oxygen_full_min,0.0139644720519011,73
Sodium_full_std,0.013532271107585921,74
Lactate_last25%_std,0.013178034945637742,75
Creatinine_full_std,0.012409663198495138,76
Glascow coma scale eye opening_last25%_std,0.012072015143183372,77
Respiratory rate_last25%_min,0.011909825387161696,78
Glascow coma scale verbal response_full_min,0.01147644740595099,79
Heart Rate_full_mean,0.010331934110476438,80
Weight_full_max,0.010246499467074646,81
Glascow coma scale eye opening_full_mean,0.009655194773785946,82
Systolic blood pressure_last25%_max,0.009301099389563824,83
White blood cell count_last25%_std,0.008792338155445247,84
Weight_last10%_std,0.00873448346763974,85
Glascow coma scale eye opening_full_max,0.008517156660869461,86
Hematocrit_full_std,0.00816331270977144,87
Respiratory rate_last10%_min,0.008018904398754651,88
Heart Rate_last10%_std,0.006932743857084021,89
Glascow coma scale motor response_last25%_std,0.006818907226444419,90
Hematocrit_last10%_std,0.0066228185538459204,91
Glascow coma scale verbal response_last25%_std,0.006240666823604265,92
Platelets_full_std,0.0058688057036780745,93
Respiratory rate_last10%_max,0.00578264539593554,94
Oxygen saturation_full_max,0.005186009001724246,95
Systolic blood pressure_last25%_std,0.004850587916164917,96
Hematocrit_full_min,0.004741515821773759,97
Glascow coma scale eye opening_last10%_std,0.004362820810486209,98
Sodium_last25%_std,0.004323110695563906,99
Temperature_full_min,0.004298008566136001,100
