Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.014978645750996706,1
Respiratory rate_last25%_mean,0.005398263470953663,2
Creatinine_last10%_min,0.003847705954293481,3
Glascow coma scale verbal response_full_std,0.0035757379079071287,4
Hemoglobin_full_max,0.0029808175635782862,5
Prothrombin time_last10%_min,0.0025416694412416807,6
Glascow coma scale motor response_full_std,0.002260867979620564,7
White blood cell count_last10%_std,0.002183720194698679,8
Fraction inspired oxygen_last10%_max,0.002111236940103985,9
Potassium_last10%_min,0.002059334127900969,10
Hemoglobin_full_std,0.0018315115464319792,11
Glascow coma scale motor response_last25%_min,0.001814983208897349,12
White blood cell count_last10%_min,0.001810790358424479,13
Glascow coma scale motor response_last25%_max,0.0017743348734504164,14
Glascow coma scale motor response_full_max,0.00169299325237436,15
Sodium_full_std,0.0016137268150989209,16
Lactate_full_mean,0.0014326287147577897,17
Glascow coma scale motor response_full_min,0.0013542279477890256,18
Hematocrit_last10%_std,0.001306530041834908,19
Glascow coma scale motor response_full_mean,0.0012188566242325573,20
White blood cell count_full_min,0.0011756152681201557,21
Respiratory rate_last10%_mean,0.0011412701501079682,22
Weight_full_min,0.0010839458674127287,23
Diastolic blood pressure_last10%_min,0.0010758190601774776,24
Fraction inspired oxygen_full_mean,0.0010633028787479467,25
Platelets_last25%_std,0.001042057667937978,26
Hematocrit_last10%_min,0.0009679224689423254,27
Platelets_last10%_min,0.0009303372489866732,28
White blood cell count_last25%_std,0.000873483434636078,29
Lactate_last10%_min,0.0008642694845991875,30
Lactate_last25%_min,0.0007730656270206303,31
Creatinine_full_max,0.0007598588528682916,32
Systolic blood pressure_full_mean,0.0007184619544558498,33
Weight_full_mean,0.0006862998774110785,34
Hemoglobin_full_mean,0.0006744699341985857,35
Sodium_full_min,0.0006547422966928501,36
Weight_last10%_std,0.0006270898282729406,37
Temperature_last10%_min,0.0006078711324329673,38
Glascow coma scale verbal response_full_min,0.0005786894186075337,39
Glascow coma scale eye opening_full_max,0.0005760187538052815,40
Temperature_last25%_min,0.0005631184029286481,41
Hemoglobin_last25%_std,0.0005283980056108915,42
Fraction inspired oxygen_last25%_min,0.000527989117360842,43
Glascow coma scale eye opening_last25%_min,0.0005104425830733123,44
Heart Rate_full_min,0.0004571847751518751,45
Oxygen saturation_last10%_min,0.00036842365158855865,46
Hematocrit_full_min,0.0003638059456780751,47
Creatinine_full_min,0.0003387912945851327,48
Glucose_full_min,0.00033127780034266036,49
Sodium_last10%_std,0.00031544129302326626,50
Potassium_full_min,0.0003023183423011015,51
Hemoglobin_full_min,0.0002952628307907405,52
Potassium_full_mean,0.0002845706318714409,53
Weight_last25%_std,0.000283122352550729,54
Glascow coma scale eye opening_last10%_min,0.0002634068409454921,55
Systolic blood pressure_last25%_min,0.00023193135720362578,56
Fraction inspired oxygen_last25%_max,0.00021296049612393964,57
Mean blood pressure_last10%_min,0.00020460802760552038,58
Platelets_full_std,0.000196960146604643,59
Temperature_full_min,0.00019649734974455072,60
Respiratory rate_last10%_min,0.0001954397599565988,61
Heart Rate_last10%_std,0.00018942128570525636,62
Glascow coma scale motor response_last10%_std,0.00018629187894393082,63
Sodium_full_mean,0.00018474224508145914,64
Sodium_last10%_min,0.000169820884019476,65
White blood cell count_full_std,0.0001614412171056569,66
Oxygen saturation_last25%_min,0.00016066879280482078,67
Oxygen saturation_full_min,0.00015886881231814458,68
Prothrombin time_full_min,0.00015780269840543967,69
Glascow coma scale motor response_last25%_std,0.00014421228119966165,70
Glascow coma scale verbal response_last25%_std,0.00013996185611197143,71
Respiratory rate_last25%_min,0.00013493792211248255,72
Prothrombin time_full_mean,0.000133513087165551,73
Glascow coma scale eye opening_full_std,0.00013090107753923073,74
Potassium_last25%_min,0.00012758182706252847,75
Glascow coma scale motor response_last10%_max,0.0001240504475001034,76
Bilirubin_full_min,0.00011687839133520818,77
Fraction inspired oxygen_full_min,0.00011055826319264505,78
Fraction inspired oxygen_full_max,0.00010889035494732228,79
Glascow coma scale verbal response_full_mean,0.00010140486449392388,80
