Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.00955995434322389,1
Glascow coma scale motor response_last10%_min,0.008292787980620935,2
Glascow coma scale motor response_last10%_max,0.008057755333126065,3
Glascow coma scale motor response_last25%_min,0.007923110368595616,4
Glascow coma scale motor response_last25%_max,0.006723719089249562,5
Creatinine_last10%_min,0.004606731830917625,6
Glascow coma scale verbal response_full_mean,0.003974220221297364,7
Creatinine_full_mean,0.0037955209955435575,8
Glascow coma scale motor response_full_max,0.0035866964555034365,9
Glascow coma scale eye opening_last10%_min,0.003350537244391035,10
Glascow coma scale eye opening_last25%_max,0.003301704565169763,11
Glascow coma scale eye opening_last10%_max,0.0032984830400184643,12
Glascow coma scale verbal response_full_max,0.003187990829400118,13
Creatinine_full_min,0.002977698325700065,14
Creatinine_full_max,0.002928056434345445,15
Respiratory rate_last25%_mean,0.002913857455628332,16
Glascow coma scale motor response_full_mean,0.00271499171069134,17
Prothrombin time_last10%_min,0.0024127551813932246,18
Prothrombin time_full_min,0.0021561408119843387,19
Respiratory rate_last10%_mean,0.002140122017846897,20
Respiratory rate_last10%_min,0.00206128269414355,21
Glascow coma scale verbal response_full_std,0.001971321791126535,22
Heart Rate_last25%_mean,0.0019651395116982674,23
Lactate_last10%_min,0.0019187058735282434,24
Fraction inspired oxygen_last10%_max,0.0018821446790576388,25
Prothrombin time_full_mean,0.0018329156654918212,26
Glascow coma scale eye opening_full_max,0.0018319829913448294,27
Glascow coma scale eye opening_last25%_min,0.0018299587470411525,28
Oxygen saturation_last25%_min,0.0017542399572242702,29
Hemoglobin_full_max,0.001754012319832795,30
White blood cell count_last10%_min,0.0017264520368221396,31
Fraction inspired oxygen_last25%_min,0.0017201815724102575,32
Fraction inspired oxygen_last10%_min,0.0017092820364009908,33
Prothrombin time_full_max,0.0016896799089857989,34
Diastolic blood pressure_last25%_mean,0.0016814962030641083,35
Oxygen saturation_last10%_min,0.0016804079795149879,36
Diastolic blood pressure_last10%_mean,0.0016492651138373087,37
Lactate_last25%_max,0.0016078750618428559,38
Glascow coma scale motor response_full_std,0.0016060570033108016,39
Lactate_last25%_min,0.0015983824153895175,40
Respiratory rate_last25%_min,0.0015488077657803514,41
Heart Rate_last10%_mean,0.0015385951821374265,42
Fraction inspired oxygen_last25%_max,0.0015308045953065625,43
Diastolic blood pressure_last10%_max,0.001384006290848893,44
Hematocrit_full_max,0.0013741843515902464,45
Systolic blood pressure_last25%_mean,0.0013496743836060993,46
Glascow coma scale eye opening_full_mean,0.0013287815094454925,47
Heart Rate_last25%_max,0.0013272190291953782,48
Fraction inspired oxygen_full_mean,0.0013217025335623875,49
Hemoglobin_full_mean,0.0013173225640034027,50
White blood cell count_full_min,0.0012917030562424583,51
Systolic blood pressure_last25%_min,0.001266655152062431,52
Weight_full_max,0.001263284239789934,53
pH_full_mean,0.0012588489501749703,54
Heart Rate_full_max,0.001250642934649144,55
Systolic blood pressure_full_min,0.0011942087962352771,56
Systolic blood pressure_last10%_mean,0.0011855173311141702,57
Respiratory rate_last25%_max,0.0011776812953485625,58
Systolic blood pressure_full_mean,0.0011613368751066822,59
