Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Temperature_full_min,0.046877284,31,0.07397074,15,0.027093459,0.027093459,-16
Heart Rate_last10%_mean,0.05800427,24,0.07611204,13,0.018107768,0.018107768,-11
Hemoglobin_full_max,0.05311207,25,0.06932794,18,0.016215872,0.016215872,-7
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.70121133,1,0.6905905,1,-0.010620832,0.010620832,0
Lactate_last25%_max,0.021429239,84,0.030972894,59,0.009543655,0.009543655,-25
Temperature_full_max,0.06754145,17,0.058137883,24,-0.009403568,0.009403568,7
Temperature_last10%_max,0.016279997,97,0.023713551,74,0.007433554,0.007433554,-23
Glucose_last25%_std,0.059836783,21,0.06720969,20,0.0073729083,0.0073729083,-1
Glascow coma scale verbal response_last10%_min,0.47964722,2,0.47260556,2,-0.007041663,0.007041663,0
Hematocrit_last10%_min,0.03717018,45,0.04314288,34,0.005972702,0.005972702,-11
Heart Rate_last10%_min,0.018321013,93,0.012652793,115,-0.00566822,0.00566822,22
Respiratory rate_last10%_mean,0.021509744,83,0.026917445,65,0.0054077003,0.0054077003,-18
Glascow coma scale verbal response_full_std,0.09014988,9,0.08474417,10,-0.005405709,0.005405709,1
Hemoglobin_full_mean,0.019854194,89,0.025206456,69,0.0053522624,0.0053522624,-20
White blood cell count_last10%_min,0.083603725,11,0.07835766,11,-0.0052460656,0.0052460656,0
Respiratory rate_last25%_mean,0.09588956,8,0.10082268,7,0.004933119,0.004933119,-1
Heart Rate_last25%_min,0.018410495,92,0.013706428,107,-0.0047040666,0.0047040666,15
Heart Rate_full_min,0.02728377,62,0.022743888,80,-0.004539881,0.004539881,18
Heart Rate_last25%_std,0.018219994,94,0.014113055,104,-0.00410694,0.00410694,10
Oxygen saturation_last25%_min,0.068918094,15,0.065018326,21,-0.003899768,0.003899768,6
Systolic blood pressure_full_min,0.036369454,47,0.032604672,55,-0.003764782,0.003764782,8
Hematocrit_full_max,0.00996361,126,0.013698798,108,0.0037351875,0.0037351875,-18
Lactate_last25%_min,0.03496002,49,0.038694423,44,0.0037344024,0.0037344024,-5
Glascow coma scale eye opening_last25%_max,0.040405285,39,0.036690876,48,-0.0037144087,0.0037144087,9
Hematocrit_full_min,0.010022298,124,0.013691677,109,0.0036693783,0.0036693783,-15
Glascow coma scale eye opening_last10%_max,0.0612002,20,0.057582345,26,-0.0036178567,0.0036178567,6
Temperature_last25%_max,0.022966841,75,0.019370027,91,-0.0035968143,0.0035968143,16
Hemoglobin_full_std,0.047800362,29,0.044299107,32,-0.003501255,0.003501255,3
Glascow coma scale verbal response_full_max,0.019607741,90,0.022935377,78,0.003327636,0.003327636,-12
Oxygen saturation_full_min,0.048638236,28,0.045347467,31,-0.0032907687,0.0032907687,3
White blood cell count_full_std,0.024320502,70,0.027246974,63,0.0029264726,0.0029264726,-7
Temperature_last25%_min,0.067243956,18,0.07013022,17,0.0028862655,0.0028862655,-1
Fraction inspired oxygen_full_max,0.015982201,100,0.018856345,92,0.0028741434,0.0028741434,-8
Glascow coma scale motor response_full_std,0.1586827,5,0.15596569,5,-0.0027170181,0.0027170181,0
Respiratory rate_full_min,0.031173779,58,0.033756685,52,0.0025829058,0.0025829058,-6
Heart Rate_full_max,0.034195535,51,0.036740508,47,0.002544973,0.002544973,-4
White blood cell count_full_min,0.044555128,33,0.042035446,36,-0.002519682,0.002519682,3
Systolic blood pressure_last25%_mean,0.023787102,72,0.026102057,66,0.002314955,0.002314955,-6
Glucose_last10%_max,0.0058871317,152,0.008133719,141,0.002246587,0.002246587,-11
Fraction inspired oxygen_last25%_min,0.041270856,37,0.039029732,43,-0.0022411235,0.0022411235,6
Glascow coma scale motor response_last10%_max,0.16307047,4,0.16520108,4,0.0021306127,0.0021306127,0
Diastolic blood pressure_last25%_mean,0.05859995,23,0.06062525,22,0.0020253025,0.0020253025,-1
Glucose_full_min,0.03037861,59,0.032290667,57,0.0019120574,0.0019120574,-2
Fraction inspired oxygen_last10%_max,0.041315455,36,0.039434724,42,-0.0018807314,0.0018807314,6
pH_last10%_mean,0.025066731,68,0.023193637,76,-0.0018730946,0.0018730946,8
Systolic blood pressure_last10%_min,0.011791389,118,0.009975056,128,-0.0018163333,0.0018163333,10
Heart Rate_last25%_mean,0.04295486,34,0.041153386,37,-0.0018014722,0.0018014722,3
pH_last10%_max,0.01694607,96,0.018740438,93,0.001794368,0.001794368,-3
Hematocrit_full_mean,0.012161799,115,0.013943047,106,0.0017812485,0.0017812485,-9
Systolic blood pressure_full_mean,0.041173946,38,0.04291085,35,0.0017369054,0.0017369054,-3
Weight_full_max,0.09817209,7,0.099898405,8,0.0017263144,0.0017263144,1
Oxygen saturation_last10%_min,0.0612809,19,0.059567053,23,-0.0017138459,0.0017138459,4
Creatinine_full_mean,0.025889985,65,0.024196303,73,-0.0016936827,0.0016936827,8
Glascow coma scale motor response_last10%_min,0.059375476,22,0.057723105,25,-0.0016523711,0.0016523711,3
Glascow coma scale motor response_full_max,0.023134887,74,0.021503981,85,-0.001630906,0.001630906,11
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.022810817,76,0.02443007,71,0.0016192533,0.0016192533,-5
Creatinine_full_min,0.04671198,32,0.048314083,29,0.0016021021,0.0016021021,-3
Creatinine_last10%_min,0.16966268,3,0.17126279,3,0.0016001016,0.0016001016,0
White blood cell count_last25%_std,0.024958681,69,0.023414858,75,-0.0015438236,0.0015438236,6
Glascow coma scale eye opening_last25%_std,0.014591165,106,0.016113156,97,0.0015219916,0.0015219916,-9
Bilirubin_full_std,0.07536618,12,0.07686704,12,0.0015008599,0.0015008599,0
Respiratory rate_last25%_max,0.011032892,121,0.012475915,118,0.0014430229,0.0014430229,-3
Lactate_last10%_min,0.047556434,30,0.046129107,30,-0.0014273264,0.0014273264,0
ICU_Neuro Intermediate,0.01791242,95,0.016527189,96,-0.0013852306,0.0013852306,1
Potassium_last25%_max,0.013398695,111,0.014776093,101,0.0013773981,0.0013773981,-10
Hematocrit_full_std,0.039580062,42,0.040891137,39,0.001311075,0.001311075,-3
Prothrombin time_full_min,0.05094047,27,0.052218832,28,0.0012783632,0.0012783632,1
Lactate_full_max,0.004528708,159,0.005777846,156,0.0012491383,0.0012491383,-3
pH_last10%_min,0.014596537,105,0.013405067,110,-0.0011914698,0.0011914698,5
Hemoglobin_full_min,0.006847095,147,0.008024552,143,0.0011774567,0.0011774567,-4
Respiratory rate_last25%_min,0.016161319,98,0.017337726,95,0.0011764076,0.0011764076,-3
Glascow coma scale verbal response_full_min,0.0014676347,173,0.0026120546,168,0.0011444199,0.0011444199,-5
Diastolic blood pressure_full_mean,0.012226539,114,0.013357723,111,0.0011311844,0.0011311844,-3
Glascow coma scale eye opening_last10%_min,0.06763801,16,0.06874813,19,0.0011101216,0.0011101216,3
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.03148036,57,0.030370584,60,-0.001109777,0.001109777,3
Potassium_last10%_min,0.039740853,41,0.040843338,40,0.0011024848,0.0011024848,-1
