Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Fraction inspired oxygen,0.00023757836450844403,31,0.0005663417289904765,7,0.0003287633644820325,0.0003287633644820325,-24
White blood cell count,0.0005113431983153985,7,0.0006853250852157401,3,0.0001739818869003416,0.0001739818869003416,-4
mask->Lactate,0.0001532923932454796,38,0.00025723714038278776,30,0.00010394474713730815,0.00010394474713730815,-8
mask->Glucose,0.0004392824089523854,12,0.0005429628995120931,11,0.00010368049055970769,0.00010368049055970769,-1
Glascow coma scale verbal response->Oriented,0.0005523615732630923,5,0.0006499096952614036,4,9.754812199831134e-05,9.754812199831134e-05,-1
Glascow coma scale motor response->No response,0.0003894816079471582,16,0.00048604833597464664,12,9.656672802748842e-05,9.656672802748842e-05,-4
mask->Fraction inspired oxygen,0.0006184247502704729,2,0.0007051342090965059,2,8.670945882603297e-05,8.670945882603297e-05,0
mask->Hematocrit,0.0002714436885403701,24,0.0003439134653791868,21,7.246977683881672e-05,7.246977683881672e-05,-3
Systolic blood pressure,0.0005358147378746011,6,0.00046646460895054015,15,-6.935012892406091e-05,6.935012892406091e-05,9
mask->Prothrombin time,0.00015934168051215123,37,0.00022754364115844304,32,6.820196064629181e-05,6.820196064629181e-05,-5
Weight,0.00041756233440067144,15,0.0004844630362052423,13,6.690070180457084e-05,6.690070180457084e-05,-2
mask->Sodium,0.0001838237176057309,35,0.00024959487409516876,31,6.577115648943787e-05,6.577115648943787e-05,-4
Glascow coma scale eye opening->4 Spontaneously,0.00024752453984103987,27,0.0003106746497045402,26,6.315010986350034e-05,6.315010986350034e-05,-1
Platelets,0.00036810122775941296,17,0.00043070568399307304,18,6.260445623366008e-05,6.260445623366008e-05,1
Heart Rate,0.0005040070027633906,11,0.0005570190278965927,9,5.301202513320201e-05,5.301202513320201e-05,-2
mask->Glascow coma scale eye opening,0.0003426912654131107,18,0.00039384550507563435,19,5.115423966252364e-05,5.115423966252364e-05,1
mask->pH,0.00026972711021066296,25,0.00032054225533150035,23,5.081514512083739e-05,5.081514512083739e-05,-2
Temperature,0.0005098588847790874,8,0.0005590881529866343,8,4.922926820754691e-05,4.922926820754691e-05,0
Lactate,0.0005562496777838102,3,0.0006034962220568265,5,4.724654427301633e-05,4.724654427301633e-05,2
mask->Glascow coma scale verbal response,0.00032282494764133735,19,0.00036955700536828764,20,4.6732057726950294e-05,4.6732057726950294e-05,1
Diastolic blood pressure,0.0005050741309164245,10,0.00046074676861764197,16,-4.432736229878254e-05,4.432736229878254e-05,6
Prothrombin time,0.0001737052885718256,36,0.0002121426406751297,35,3.8437352103304085e-05,3.8437352103304085e-05,-1
Glascow coma scale motor response->Obeys Commands,0.0004372209994634781,13,0.0004753878997618166,14,3.81669002983385e-05,3.81669002983385e-05,1
Bilirubin,0.0005073332336748863,9,0.0005450416230253463,10,3.770838935045998e-05,3.770838935045998e-05,1
Glascow coma scale motor response->Localizes Pain,0.0002468913430901328,28,0.0002098352394601665,37,-3.705610362996631e-05,3.705610362996631e-05,9
Glascow coma scale verbal response->No Response-ETT,0.0005560870212086903,4,0.0005927551067672382,6,3.6668085558547885e-05,3.6668085558547885e-05,2
Glascow coma scale eye opening->To Pain,0.00025294780641489146,26,0.00021802460369896128,33,-3.492320271593019e-05,3.492320271593019e-05,7
mask->Diastolic blood pressure,7.991792868554009e-05,52,0.0001136398166994483,48,3.3721888013908214e-05,3.3721888013908214e-05,-4
Glascow coma scale verbal response->Incomprehensible sounds,9.040662331033325e-05,48,5.9233119808823e-05,57,-3.1173503501510255e-05,3.1173503501510255e-05,9
mask->Potassium,0.00010149404627514206,46,0.00013234022896833076,44,3.08461826931887e-05,3.08461826931887e-05,-2
mask->Mean blood pressure,7.279346841123908e-05,53,0.0001014659293085356,50,2.8672460897296524e-05,2.8672460897296524e-05,-3
mask->White blood cell count,0.0001514473451140748,39,0.00017991885037771144,39,2.847150526363664e-05,2.847150526363664e-05,0
mask->Temperature,0.0002857222151896658,23,0.0003131717696666671,24,2.7449554477001288e-05,2.7449554477001288e-05,1
Glascow coma scale motor response->Flex-withdraws,0.00024229356321531939,30,0.00021491625420852297,34,-2.737730900679642e-05,2.737730900679642e-05,4
Oxygen saturation,9.612725316908877e-05,47,0.00012335419315544918,46,2.722693998636041e-05,2.722693998636041e-05,-1
mask->Systolic blood pressure,6.191775299362487e-05,55,8.801003542476618e-05,52,2.6092282431141307e-05,2.6092282431141307e-05,-3
Hematocrit,0.00023453703707159305,32,0.0002592987775979537,29,2.4761740526360625e-05,2.4761740526360625e-05,-3
Glascow coma scale verbal response->No Response,8.510133386132687e-05,51,6.252678685142113e-05,56,-2.2574547009905746e-05,2.2574547009905746e-05,5
mask->Heart Rate,4.807148604372228e-05,58,6.984922663329544e-05,54,2.177774058957316e-05,2.177774058957316e-05,-4
mask->Hemoglobin,0.0001439812482185928,40,0.00016547747982585876,40,2.149623160726597e-05,2.149623160726597e-05,0
mask->Glascow coma scale motor response,0.0002906573651780975,22,0.0003114713049177755,25,2.0813939739678007e-05,2.0813939739678007e-05,3
mask->Respiratory rate,3.0468351818230233e-05,60,4.9637059783238756e-05,59,1.9168707965008524e-05,1.9168707965008524e-05,-1
Sodium,0.00042109179268472614,14,0.0004394282089252052,17,1.8336416240479078e-05,1.8336416240479078e-05,3
mask->Creatinine,0.00013319759188410097,41,0.00015129915890865607,41,1.8101567024555098e-05,1.8101567024555098e-05,0
Creatinine,0.0010286644105359174,1,0.0010454406701793316,1,1.677625964341422e-05,1.677625964341422e-05,0
mask->Weight,0.00012252501955313476,43,0.0001383045477966939,43,1.5779528243559137e-05,1.5779528243559137e-05,0
mask->Platelets,8.827128301364927e-05,50,0.00010314326770671861,49,1.487198469306934e-05,1.487198469306934e-05,-1
Glascow coma scale verbal response->5 Oriented,2.371612704258619e-05,61,3.850469293293884e-05,60,1.4788565890352652e-05,1.4788565890352652e-05,-1
Height,0.00011649611976573123,44,0.000130630458795183,45,1.413433902945178e-05,1.413433902945178e-05,1
Glascow coma scale eye opening->To Speech,0.00024669276182171705,29,0.0002606886993620985,28,1.399593754038142e-05,1.399593754038142e-05,-1
Glascow coma scale motor response->6 Obeys Commands,2.3258625564093564e-05,62,3.704812762649649e-05,61,1.3789502062402926e-05,1.3789502062402926e-05,-1
Glascow coma scale motor response->Abnormal Flexion,3.2047765246487705e-05,59,1.8600118670297762e-05,62,-1.3447646576189943e-05,1.3447646576189943e-05,3
Glascow coma scale eye opening->Spontaneously,0.0001983232494195919,34,0.00021129767817053594,36,1.2974428750944051e-05,1.2974428750944051e-05,2
Glascow coma scale motor response->Abnormal extension,0.0001326564139020634,42,0.00014322159783485211,42,1.056518393278871e-05,1.056518393278871e-05,0
mask->Oxygen saturation,5.701486047686398e-05,56,6.588885961642722e-05,55,8.873999139563241e-06,8.873999139563241e-06,-1
Hemoglobin,0.0002924740506770947,21,0.0002989197361177872,27,6.445685440692483e-06,6.445685440692483e-06,6
Glascow coma scale verbal response->Inappropriate Words,1.1050671762477353e-05,63,4.6280256234735675e-06,63,-6.422646139003785e-06,6.422646139003785e-06,0
Glucose,5.251385096226186e-05,57,5.775695493739898e-05,58,5.243103975137118e-06,5.243103975137118e-06,1
mask->Bilirubin,8.920994729974623e-05,49,9.426967489611114e-05,51,5.059727596364906e-06,5.059727596364906e-06,2
Respiratory rate,7.087075287158101e-05,54,7.426896330092923e-05,53,3.398210429348219e-06,3.398210429348219e-06,-1
mask->Height,9.140671095645795e-07,64,4.192379640427883e-06,64,3.278312530863303e-06,3.278312530863303e-06,0
Glascow coma scale verbal response->Confused,0.00020500244091463892,33,0.00020226482338233986,38,-2.737617532299057e-06,2.737617532299057e-06,5
Mean blood pressure,0.00011588968696001215,45,0.00011762288321925676,47,1.733196259244606e-06,1.733196259244606e-06,2
Potassium,0.0003218306856735964,20,0.00032278089322756407,22,9.50207553967661e-07,9.50207553967661e-07,2
pH,2.823155996696717e-08,65,2.7752349166342406e-08,65,-4.792108006247644e-10,4.792108006247644e-10,0
Glascow coma scale total->14,0.0,66,0.0,66,0.0,0.0,0
Glascow coma scale total->12,0.0,67,0.0,67,0.0,0.0,0
Glascow coma scale total->13,0.0,68,0.0,68,0.0,0.0,0
Glascow coma scale total->10,0.0,69,0.0,69,0.0,0.0,0
Glascow coma scale total->11,0.0,70,0.0,70,0.0,0.0,0
Glascow coma scale motor response->2 Abnorm extensn,0.0,71,0.0,71,0.0,0.0,0
Glascow coma scale motor response->5 Localizes Pain,0.0,72,0.0,72,0.0,0.0,0
Glascow coma scale motor response->4 Flex-withdraws,0.0,73,0.0,73,0.0,0.0,0
Capillary refill rate->1.0,0.0,74,0.0,74,0.0,0.0,0
Capillary refill rate->0.0,0.0,75,0.0,75,0.0,0.0,0
Glascow coma scale eye opening->1 No Response,0.0,76,0.0,76,0.0,0.0,0
Glascow coma scale eye opening->None,0.0,77,0.0,77,0.0,0.0,0
Glascow coma scale eye opening->2 To pain,0.0,78,0.0,78,0.0,0.0,0
Glascow coma scale motor response->1 No Response,0.0,79,0.0,79,0.0,0.0,0
Glascow coma scale motor response->3 Abnorm flexion,0.0,80,0.0,80,0.0,0.0,0
Glascow coma scale eye opening->3 To speech,0.0,81,0.0,81,0.0,0.0,0
Glascow coma scale total->15,0.0,82,0.0,82,0.0,0.0,0
Glascow coma scale verbal response->2 Incomp sounds,0.0,83,0.0,83,0.0,0.0,0
Glascow coma scale total->6,0.0,84,0.0,84,0.0,0.0,0
Glascow coma scale verbal response->4 Confused,0.0,85,0.0,85,0.0,0.0,0
Glascow coma scale verbal response->3 Inapprop words,0.0,86,0.0,86,0.0,0.0,0
Glascow coma scale total->5,0.0,87,0.0,87,0.0,0.0,0
Glascow coma scale total->3,0.0,88,0.0,88,0.0,0.0,0
Glascow coma scale verbal response->1 No Response,0.0,89,0.0,89,0.0,0.0,0
Glascow coma scale total->8,0.0,90,0.0,90,0.0,0.0,0
Glascow coma scale total->9,0.0,91,0.0,91,0.0,0.0,0
Glascow coma scale verbal response->1.0 ET/Trach,0.0,92,0.0,92,0.0,0.0,0
Glascow coma scale total->7,0.0,93,0.0,93,0.0,0.0,0
Glascow coma scale total->4,0.0,94,0.0,94,0.0,0.0,0
mask->Glascow coma scale total,0.0,95,0.0,95,0.0,0.0,0
mask->Capillary refill rate,0.0,96,0.0,96,0.0,0.0,0
