Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Fraction inspired oxygen,0.00031416269173666187,21,0.0006493822902693936,4,0.0003352195985327317,0.0003352195985327317,-17
Bilirubin,0.0006284328681486544,5,0.0005096884134924832,11,-0.00011874445465617116,0.00011874445465617116,6
Glascow coma scale motor response->No response,0.00048436832270726406,11,0.0005763992206026356,10,9.20308978953715e-05,9.20308978953715e-05,-1
mask->Prothrombin time,0.0001901499367032907,32,0.00027714232479225144,24,8.699238808896074e-05,8.699238808896074e-05,-8
mask->Glucose,0.00032528529667743113,20,0.0004030887433357725,18,7.780344665834138e-05,7.780344665834138e-05,-2
mask->Hematocrit,0.00036767574472337176,17,0.0004451378325167965,15,7.746208779342475e-05,7.746208779342475e-05,-2
Creatinine,0.0007854591060424839,1,0.0007117295357585644,2,-7.37295702839195e-05,7.37295702839195e-05,1
Diastolic blood pressure,0.0005382451513537659,10,0.00047455811110827637,12,-6.368704024548955e-05,6.368704024548955e-05,2
Glascow coma scale eye opening->To Pain,0.0002872727362604979,23,0.00022682173202650104,30,-6.045100423399688e-05,6.045100423399688e-05,7
Glascow coma scale verbal response->No Response-ETT,0.0006687690189594646,3,0.0006118901351584727,7,-5.6878883800991925e-05,5.6878883800991925e-05,4
mask->Glascow coma scale eye opening,0.0003683749462094695,16,0.00042510142874418083,16,5.672648253471135e-05,5.672648253471135e-05,0
Glascow coma scale motor response->Obeys Commands,0.0005862582615494623,8,0.0006401885174035669,5,5.3930255854104606e-05,5.3930255854104606e-05,-3
Glascow coma scale eye opening->4 Spontaneously,0.00025327659539919705,26,0.00030215451783871983,21,4.887792243952278e-05,4.887792243952278e-05,-5
Glascow coma scale verbal response->No Response,9.827779770012664e-05,49,5.164850581686882e-05,58,-4.6629291883257815e-05,4.6629291883257815e-05,9
Sodium,0.0003324204769530296,19,0.0002888319402897423,23,-4.358853666328727e-05,4.358853666328727e-05,4
Glascow coma scale verbal response->Incomprehensible sounds,0.00010431042859279038,48,6.491127332521271e-05,54,-3.9399155267577665e-05,3.9399155267577665e-05,6
Weight,0.00040825422847717396,14,0.0004467015337102354,14,3.844730523306142e-05,3.844730523306142e-05,0
White blood cell count,0.0006775191086149382,2,0.0007134367164869992,1,3.591760787206096e-05,3.591760787206096e-05,-1
Platelets,0.000298557739636414,22,0.00026377542452602924,25,-3.4782315110384746e-05,3.4782315110384746e-05,3
mask->Lactate,0.00014439088446562242,39,0.00017534042358410828,34,3.094953911848586e-05,3.094953911848586e-05,-5
Glascow coma scale verbal response->Oriented,0.0005867517626468099,7,0.0006170983118073285,6,3.0346549160518597e-05,3.0346549160518597e-05,-1
mask->Sodium,0.00015358732728817356,36,0.00018378409836284574,33,3.0196771074672178e-05,3.0196771074672178e-05,-3
mask->pH,0.0002242826375923849,27,0.00025446227328273526,26,3.0179635690350345e-05,3.0179635690350345e-05,-1
Temperature,0.000555331235644377,9,0.000585152169803056,9,2.982093415867897e-05,2.982093415867897e-05,0
Height,6.3752569771956e-05,55,9.3306143545677e-05,51,2.9553573773721006e-05,2.9553573773721006e-05,-4
mask->Glascow coma scale motor response,0.00018263678995922368,33,0.00020998892917275562,31,2.7352139213531943e-05,2.7352139213531943e-05,-2
mask->Glascow coma scale verbal response,0.00021465001074901592,29,0.00024173004572823297,28,2.708003497921705e-05,2.708003497921705e-05,-1
Prothrombin time,0.00014925820778631435,37,0.00017533078712467944,35,2.60725793383651e-05,2.60725793383651e-05,-2
Heart Rate,0.0004398743179560523,12,0.0004658732747017915,13,2.599895674573917e-05,2.599895674573917e-05,1
Glascow coma scale motor response->Flex-withdraws,0.0001965566754804364,31,0.00017234274097003844,36,-2.4213934510397946e-05,2.4213934510397946e-05,5
mask->Hemoglobin,0.000127853665520687,44,0.00015014676853780282,40,2.2293103017115832e-05,2.2293103017115832e-05,-4
mask->Mean blood pressure,7.931534140660436e-05,51,9.98444840467384e-05,49,2.0529142640134045e-05,2.0529142640134045e-05,-2
Glascow coma scale eye opening->Spontaneously,0.0003352043657555104,18,0.0003154397093725432,20,-1.9764656382967153e-05,1.9764656382967153e-05,2
Hemoglobin,0.00026934231580914955,25,0.0002499438038740827,27,-1.9398511935066827e-05,1.9398511935066827e-05,2
mask->Diastolic blood pressure,7.610197093935289e-05,52,9.378757346867595e-05,50,1.7685602529323057e-05,1.7685602529323057e-05,-2
Glascow coma scale verbal response->Confused,0.00017450933991688679,34,0.0001583603259205955,37,-1.6149013996291292e-05,1.6149013996291292e-05,3
mask->Systolic blood pressure,5.5008261502769396e-05,56,7.055876333966066e-05,53,1.555050183689126e-05,1.555050183689126e-05,-3
mask->Potassium,0.00012506828079379825,45,0.00014039911725910996,45,1.5330836465311706e-05,1.5330836465311706e-05,0
mask->Temperature,0.00028607127541252237,24,0.00030129891361944624,22,1.5227638206923868e-05,1.5227638206923868e-05,-2
mask->Oxygen saturation,6.957255357878838e-05,53,8.449532817084194e-05,52,1.4922774592053561e-05,1.4922774592053561e-05,-1
Lactate,0.0006026965750727853,6,0.0005883205447424711,8,-1.4376030330314187e-05,1.4376030330314187e-05,2
Hematocrit,0.00016918394628628948,35,0.0001549334070039088,38,-1.4250539282380681e-05,1.4250539282380681e-05,3
mask->Heart Rate,4.7479418515971e-05,57,6.160261458880979e-05,56,1.4123196072838785e-05,1.4123196072838785e-05,-1
mask->Platelets,0.00013040428584319396,43,0.00014358153314225015,43,1.3177247299056192e-05,1.3177247299056192e-05,0
mask->White blood cell count,0.00013434766241902948,42,0.00014738387760253885,41,1.3036215183509373e-05,1.3036215183509373e-05,-1
mask->Respiratory rate,4.690280552355589e-05,58,5.981686676986418e-05,57,1.291406124630829e-05,1.291406124630829e-05,-1
mask->Creatinine,0.00011506055300750574,47,0.00012649029949825437,46,1.1429746490748625e-05,1.1429746490748625e-05,-1
Glascow coma scale verbal response->Inappropriate Words,1.7140059501021452e-05,61,5.9848347454784694e-06,63,-1.1155224755542982e-05,1.1155224755542982e-05,2
Glascow coma scale motor response->Localizes Pain,0.00020190137352900354,30,0.00019109162197634736,32,-1.080975155265618e-05,1.080975155265618e-05,2
Glascow coma scale motor response->Abnormal extension,0.00013489165942961992,41,0.00014545333774197195,42,1.056167831235203e-05,1.056167831235203e-05,1
Glascow coma scale verbal response->5 Oriented,1.3729465193652232e-05,62,2.4048145802278478e-05,61,1.0318680608626246e-05,1.0318680608626246e-05,-1
Glascow coma scale eye opening->To Speech,0.00021677506532320965,28,0.00022700977535579462,29,1.023471003258497e-05,1.023471003258497e-05,1
Glascow coma scale motor response->6 Obeys Commands,1.1873787681321487e-05,63,2.1708093873436425e-05,62,9.834306192114938e-06,9.834306192114938e-06,-1
Oxygen saturation,9.25125353789256e-05,50,0.00010192128262753478,48,9.408747248609183e-06,9.408747248609183e-06,-2
Systolic blood pressure,0.00041540572987144755,13,0.0004068897242110747,17,-8.516005660372857e-06,8.516005660372857e-06,4
mask->Bilirubin,0.0001481478952390645,38,0.00015363713559952115,39,5.4892403604566505e-06,5.4892403604566505e-06,1
mask->Fraction inspired oxygen,0.00065619275419832,4,0.0006605247034615032,3,4.331949263183246e-06,4.331949263183246e-06,-1
Glascow coma scale motor response->Abnormal Flexion,2.7695746775163363e-05,60,2.461240420085627e-05,60,-3.083342574307091e-06,3.083342574307091e-06,0
mask->Height,1.7986263809592155e-06,64,4.6739452125403125e-06,64,2.8753188315810973e-06,2.8753188315810973e-06,0
Mean blood pressure,0.00012451685696967935,46,0.00012164733878272149,47,-2.8695181869578637e-06,2.8695181869578637e-06,1
Respiratory rate,6.666474911465973e-05,54,6.462500180999711e-05,55,-2.039747304662622e-06,2.039747304662622e-06,1
Glucose,3.4344118107266136e-05,59,3.613849573754482e-05,59,1.7943776302786811e-06,1.7943776302786811e-06,0
mask->Weight,0.00014161334435707312,40,0.00014059592371833935,44,-1.0174206387337723e-06,1.0174206387337723e-06,4
Potassium,0.00039158620541438556,15,0.00039210620136199785,19,5.199959476122904e-07,5.199959476122904e-07,4
pH,1.9004374578978627e-08,65,1.617017615621211e-08,65,-2.8341984227665163e-09,2.8341984227665163e-09,0
Glascow coma scale total->14,0.0,66,0.0,66,0.0,0.0,0
Glascow coma scale total->12,0.0,67,0.0,67,0.0,0.0,0
Glascow coma scale total->13,0.0,68,0.0,68,0.0,0.0,0
Glascow coma scale total->10,0.0,69,0.0,69,0.0,0.0,0
Glascow coma scale total->11,0.0,70,0.0,70,0.0,0.0,0
Glascow coma scale motor response->2 Abnorm extensn,0.0,71,0.0,71,0.0,0.0,0
Glascow coma scale motor response->5 Localizes Pain,0.0,72,0.0,72,0.0,0.0,0
Glascow coma scale motor response->4 Flex-withdraws,0.0,73,0.0,73,0.0,0.0,0
Capillary refill rate->1.0,0.0,74,0.0,74,0.0,0.0,0
Capillary refill rate->0.0,0.0,75,0.0,75,0.0,0.0,0
Glascow coma scale eye opening->1 No Response,0.0,76,0.0,76,0.0,0.0,0
Glascow coma scale eye opening->None,0.0,77,0.0,77,0.0,0.0,0
Glascow coma scale eye opening->2 To pain,0.0,78,0.0,78,0.0,0.0,0
Glascow coma scale motor response->1 No Response,0.0,79,0.0,79,0.0,0.0,0
Glascow coma scale motor response->3 Abnorm flexion,0.0,80,0.0,80,0.0,0.0,0
Glascow coma scale eye opening->3 To speech,0.0,81,0.0,81,0.0,0.0,0
Glascow coma scale total->15,0.0,82,0.0,82,0.0,0.0,0
Glascow coma scale verbal response->2 Incomp sounds,0.0,83,0.0,83,0.0,0.0,0
Glascow coma scale total->6,0.0,84,0.0,84,0.0,0.0,0
Glascow coma scale verbal response->4 Confused,0.0,85,0.0,85,0.0,0.0,0
Glascow coma scale verbal response->3 Inapprop words,0.0,86,0.0,86,0.0,0.0,0
Glascow coma scale total->5,0.0,87,0.0,87,0.0,0.0,0
Glascow coma scale total->3,0.0,88,0.0,88,0.0,0.0,0
Glascow coma scale verbal response->1 No Response,0.0,89,0.0,89,0.0,0.0,0
Glascow coma scale total->8,0.0,90,0.0,90,0.0,0.0,0
Glascow coma scale total->9,0.0,91,0.0,91,0.0,0.0,0
Glascow coma scale verbal response->1.0 ET/Trach,0.0,92,0.0,92,0.0,0.0,0
Glascow coma scale total->7,0.0,93,0.0,93,0.0,0.0,0
Glascow coma scale total->4,0.0,94,0.0,94,0.0,0.0,0
mask->Glascow coma scale total,0.0,95,0.0,95,0.0,0.0,0
mask->Capillary refill rate,0.0,96,0.0,96,0.0,0.0,0
