Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.029684653503275406,1
White blood cell count_last10%_min,0.01233828693137892,2
Fraction inspired oxygen_full_mean,0.010135526914421511,3
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.010080112220487767,4
White blood cell count_full_min,0.010052547172424011,5
Glascow coma scale motor response_last25%_max,0.008140553428238396,6
Fraction inspired oxygen_last10%_max,0.007186954097802079,7
Creatinine_last10%_min,0.006744249364953503,8
Systolic blood pressure_full_mean,0.006463738251137019,9
Respiratory rate_last25%_mean,0.006335724954085092,10
Potassium_last10%_min,0.0059595379934311975,11
Diastolic blood pressure_last10%_min,0.005881184304612304,12
Platelets_last10%_min,0.005850658722459161,13
Hemoglobin_full_max,0.005651005261448761,14
Sodium_full_min,0.0047469793570252584,15
Glascow coma scale motor response_full_max,0.004253727787221013,16
Fraction inspired oxygen_full_max,0.003559505903348394,17
Hemoglobin_full_std,0.003454473017715098,18
Glascow coma scale motor response_full_std,0.0029995564278283626,19
Glascow coma scale motor response_last25%_min,0.002734266151602872,20
Fraction inspired oxygen_last25%_min,0.002710161377827426,21
Glascow coma scale motor response_last25%_std,0.0025170233207476938,22
Glascow coma scale verbal response_full_std,0.002446139631559331,23
Heart Rate_full_mean,0.0024428142147542653,24
Lactate_last25%_min,0.0023532405881898782,25
Sodium_full_max,0.002325711205628799,26
Weight_full_min,0.0022919072972051946,27
Hematocrit_last10%_min,0.002259780440469603,28
Potassium_full_min,0.002220536980903634,29
Platelets_full_mean,0.0020814900189833003,30
Sodium_full_std,0.002046297196088915,31
Glascow coma scale motor response_last10%_max,0.002007967202357107,32
Temperature_last10%_min,0.0019905625859943385,33
Glascow coma scale eye opening_full_mean,0.0019333960432776603,34
Prothrombin time_last10%_min,0.001902934194791655,35
Lactate_full_mean,0.0018526667228829922,36
Diastolic blood pressure_last25%_min,0.0018505182944967532,37
Oxygen saturation_last10%_min,0.001820529826005359,38
Temperature_last25%_min,0.0017655930003519246,39
Creatinine_full_max,0.001576479809045988,40
Hematocrit_full_min,0.0015234888342937959,41
Glascow coma scale eye opening_full_max,0.0015108649743633365,42
Glascow coma scale motor response_last10%_min,0.0014963126705781057,43
Lactate_last10%_min,0.001490441246031634,44
White blood cell count_full_std,0.0014831434593704073,45
Bilirubin_full_std,0.001432267403360691,46
Heart Rate_last10%_std,0.0014219877988615453,47
White blood cell count_full_max,0.0014133051226239337,48
Mean blood pressure_last10%_min,0.0013570817812396567,49
Diastolic blood pressure_last10%_mean,0.0013182058191719562,50
Weight_full_mean,0.0012584010455090305,51
Hematocrit_last10%_std,0.0012151936792216722,52
Glascow coma scale eye opening_last10%_min,0.0012142308292347778,53
Glucose_full_min,0.0011705309134360828,54
Temperature_full_min,0.0011231552173676424,55
Fraction inspired oxygen_last25%_max,0.0010790426985935041,56
Systolic blood pressure_last10%_std,0.001003444787578463,57
White blood cell count_last25%_std,0.0010014545457664292,58
Glascow coma scale motor response_full_min,0.0009984387661477814,59
Glascow coma scale verbal response_last25%_std,0.0009878562926822424,60
Systolic blood pressure_full_min,0.0009457857791595429,61
Glascow coma scale motor response_full_mean,0.0009396999581470268,62
Hemoglobin_last25%_std,0.0009137046734451734,63
Glascow coma scale verbal response_last10%_std,0.0008997835487559953,64
Platelets_last25%_std,0.0008487008959410096,65
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0008439336054527233,66
Glascow coma scale eye opening_full_std,0.0007773550309960171,67
Prothrombin time_full_std,0.0007754397124572893,68
Potassium_full_std,0.0007652583010414455,69
Heart Rate_last25%_mean,0.0007637919863184467,70
Diastolic blood pressure_full_min,0.0007506465970862322,71
Hemoglobin_full_min,0.0007269188663869022,72
Sodium_last10%_min,0.0007238566355584168,73
Oxygen saturation_last25%_min,0.0007090119119089735,74
Hemoglobin_full_mean,0.0006759091021122381,75
Glascow coma scale eye opening_last25%_min,0.0006754538003072356,76
Lactate_last25%_std,0.0006738742409307151,77
Sodium_last10%_std,0.000667986209988535,78
Respiratory rate_last25%_min,0.0006444362171679832,79
White blood cell count_last10%_std,0.0006417216033196913,80
Sodium_last25%_std,0.0006251956108033019,81
Glascow coma scale verbal response_full_mean,0.0005828173090224309,82
Glascow coma scale motor response_last10%_std,0.0005376813856903757,83
Prothrombin time_full_mean,0.000522854651418507,84
Fraction inspired oxygen_last10%_min,0.0004659271678590917,85
Creatinine_full_std,0.00044406691848940293,86
Glascow coma scale eye opening_last10%_std,0.0003888673866976644,87
Bilirubin_full_min,0.00034509855756869934,88
Heart Rate_full_min,0.00032396036128937476,89
Potassium_last25%_min,0.0003143957004439197,90
Systolic blood pressure_last10%_min,0.0003019184788668095,91
Glascow coma scale eye opening_last25%_max,0.00029991154515769143,92
Glascow coma scale eye opening_last25%_std,0.0002705063030489266,93
Heart Rate_last10%_mean,0.0002625494771167032,94
Systolic blood pressure_last10%_max,0.0002443259695733154,95
Systolic blood pressure_last25%_min,0.00023428163677184944,96
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.0002260362871296109,97
Potassium_full_mean,0.00021729897940589188,98
ICU_Medical Intensive Care Unit (MICU),0.00021085463631791924,99
ICU_Neuro Intermediate,0.0002005416973693099,100
Sodium_full_mean,0.0001589615891161233,101
Hematocrit_last25%_std,0.00015264498240330528,102
Creatinine_full_min,0.0001484681142407167,103
Systolic blood pressure_last10%_mean,0.00013329739673929316,104
ICU_Surgical Intensive Care Unit (SICU),0.00013207536647293967,105
Heart Rate_last25%_min,0.0001128484328874901,106
Potassium_full_max,0.00010689213541016906,107
Lactate_full_min,8.105955997902998e-05,108
Heart Rate_last10%_min,8.036419352056659e-05,109
Respiratory rate_last10%_mean,7.32101584869299e-05,110
Prothrombin time_full_min,6.206237950497254e-05,111
Hematocrit_full_std,6.172081270166843e-05,112
Height_full_min,6.119889168851662e-05,113
Lactate_full_max,6.111389387151584e-05,114
Glascow coma scale verbal response_full_min,5.797255562867997e-05,115
Respiratory rate_full_min,4.748955693682208e-05,116
Glascow coma scale verbal response_full_max,3.9310472725268694e-05,117
Mean blood pressure_last25%_min,2.7564114451980237e-05,118
Respiratory rate_last10%_min,1.9711474558059412e-05,119
Diastolic blood pressure_last10%_max,0.0,120
Creatinine_full_mean,0.0,121
Diastolic blood pressure_last25%_mean,0.0,122
Diastolic blood pressure_last25%_max,0.0,123
Glascow coma scale eye opening_full_min,0.0,124
Glascow coma scale eye opening_last10%_max,0.0,125
Glucose_last25%_std,0.0,126
Glucose_last25%_mean,0.0,127
Glucose_last25%_max,0.0,128
Glucose_last10%_std,0.0,129
Glucose_last10%_max,0.0,130
Glucose_last10%_mean,0.0,131
Glucose_last10%_min,0.0,132
Glucose_full_mean,0.0,133
Glucose_full_max,0.0,134
Diastolic blood pressure_full_mean,0.0,135
Diastolic blood pressure_full_max,0.0,136
Fraction inspired oxygen_full_min,0.0,137
Platelets_full_max,0.0,138
Platelets_full_min,0.0,139
Prothrombin time_full_max,0.0,140
Potassium_last25%_max,0.0,141
Hematocrit_full_max,0.0,142
Hematocrit_full_mean,0.0,143
Heart Rate_last25%_std,0.0,144
Heart Rate_last25%_max,0.0,145
Heart Rate_last10%_max,0.0,146
Heart Rate_full_max,0.0,147
Platelets_full_std,0.0,148
Oxygen saturation_full_min,0.0,149
Oxygen saturation_last10%_max,0.0,150
Oxygen saturation_full_max,0.0,151
Mean blood pressure_last10%_max,0.0,152
Oxygen saturation_last25%_max,0.0,153
Platelets_last10%_std,0.0,154
Lactate_full_std,0.0,155
Lactate_last25%_max,0.0,156
Mean blood pressure_full_min,0.0,157
Respiratory rate_last10%_max,0.0,158
Respiratory rate_full_max,0.0,159
Weight_last10%_std,0.0,160
Weight_full_max,0.0,161
Systolic blood pressure_last25%_max,0.0,162
Systolic blood pressure_last25%_mean,0.0,163
Systolic blood pressure_last25%_std,0.0,164
Temperature_full_max,0.0,165
Respiratory rate_last25%_max,0.0,166
Systolic blood pressure_full_max,0.0,167
Temperature_last10%_max,0.0,168
Temperature_last25%_max,0.0,169
pH_full_max,0.0,170
pH_full_mean,0.0,171
Weight_last25%_std,0.0,172
pH_full_min,0.0,173
pH_last25%_min,0.0,174
pH_last10%_std,0.0,175
pH_last10%_mean,0.0,176
pH_last10%_max,0.0,177
pH_last10%_min,0.0,178
pH_full_std,0.0,179
ICU_Intensive Care Unit (ICU),0.0,180
ICU_Coronary Care Unit (CCU),0.0,181
ICU_Medicine,0.0,182
pH_last25%_std,0.0,183
ICU_Neurology,0.0,184
ICU_Neuro Stepdown,0.0,185
ICU_PACU,0.0,186
ICU_Surgery/Trauma,0.0,187
ICU_Surgery/Vascular/Intermediate,0.0,188
ICU_Trauma SICU (TSICU),0.0,189
