Feature,Mean_Abs_SHAP,Rank
Glascow coma scale motor response_last10%_min,0.012151103100712808,1
Glascow coma scale verbal response_last10%_min,0.011923779562079111,2
Glascow coma scale motor response_last10%_max,0.011813343267158088,3
Glascow coma scale motor response_last25%_max,0.010892624211560733,4
Glascow coma scale motor response_last25%_min,0.01008353098439593,5
Glascow coma scale motor response_full_max,0.0073408873648950984,6
Glascow coma scale eye opening_last25%_max,0.005734267613498757,7
Glascow coma scale eye opening_last10%_min,0.005721379375530206,8
Glascow coma scale eye opening_last10%_max,0.005663190150718163,9
Creatinine_last10%_min,0.0053902022312702505,10
Glascow coma scale verbal response_full_mean,0.00529605656537679,11
Glascow coma scale verbal response_full_max,0.004537422384244529,12
Creatinine_full_mean,0.004130652215809207,13
Glascow coma scale motor response_full_mean,0.0039221176145220775,14
Glascow coma scale eye opening_full_max,0.0038816833876318436,15
Creatinine_full_min,0.003390743841992747,16
Creatinine_full_max,0.003035304042570531,17
White blood cell count_last10%_min,0.00296250189085195,18
Glascow coma scale eye opening_last25%_min,0.002839033810457879,19
Respiratory rate_last25%_mean,0.002716009575425033,20
Diastolic blood pressure_last25%_mean,0.0026693992791748207,21
Prothrombin time_last10%_min,0.0026545426550556453,22
Diastolic blood pressure_last10%_mean,0.0026083384072664332,23
Prothrombin time_full_min,0.0025344091039907752,24
Prothrombin time_full_mean,0.002519261655884912,25
Temperature_last25%_min,0.0023703140476063777,26
Heart Rate_last25%_mean,0.0023388308178447694,27
Systolic blood pressure_last25%_mean,0.0023065980252677523,28
Glascow coma scale eye opening_full_mean,0.0022985840748590155,29
Diastolic blood pressure_last10%_max,0.0022928510565730278,30
White blood cell count_full_min,0.002283631759210751,31
Respiratory rate_last10%_mean,0.00225479495468298,32
Systolic blood pressure_last25%_min,0.0022415085291020613,33
Weight_full_max,0.0021850373194316677,34
Heart Rate_last10%_mean,0.0021824496197172757,35
Systolic blood pressure_full_mean,0.0021655867941766742,36
Glascow coma scale eye opening_full_min,0.002043103793011168,37
Weight_full_mean,0.0020197210511646324,38
Glucose_full_min,0.00199722174567653,39
Glascow coma scale eye opening_last10%_std,0.0019465694631275831,40
Prothrombin time_full_max,0.0019237044152734396,41
Systolic blood pressure_last10%_mean,0.0018941024787402245,42
Temperature_last10%_min,0.0018276984029905927,43
