Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Fraction inspired oxygen_full_mean,0.0005899834188057534,149,0.0020754980192456344,42,0.001485514600439881,0.001485514600439881,-107
Fraction inspired oxygen_last25%_min,0.0008235273785226046,129,0.002207826822539073,35,0.0013842994440164682,0.0013842994440164682,-94
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.0008433625644881506,125,0.002201039248488384,36,0.0013576766840002336,0.0013576766840002336,-89
Fraction inspired oxygen_last10%_min,0.0008905588315345956,117,0.0020786309197929212,41,0.0011880720882583256,0.0011880720882583256,-76
Fraction inspired oxygen_last10%_max,0.0010165110202056508,106,0.002165437829842794,39,0.0011489268096371431,0.0011489268096371431,-67
Fraction inspired oxygen_last25%_max,0.000974662876019675,109,0.00197422599092702,45,0.0009995631149073451,0.0009995631149073451,-64
Fraction inspired oxygen_full_min,0.00028405910301822896,166,0.0012585517111949837,96,0.0009744926081767547,0.0009744926081767547,-70
Prothrombin time_full_min,0.0025344091039907752,24,0.003209523659754785,19,0.0006751145557640096,0.0006751145557640096,-5
Glascow coma scale motor response_last10%_max,0.011813343267158088,3,0.01248482200645739,2,0.000671478739299302,0.000671478739299302,-1
Glascow coma scale motor response_last25%_max,0.010892624211560733,4,0.011550949484991664,4,0.0006583252734309319,0.0006583252734309319,0
Glascow coma scale motor response_last25%_min,0.01008353098439593,5,0.010730643067005965,5,0.0006471120826100352,0.0006471120826100352,0
Prothrombin time_last10%_min,0.0026545426550556453,22,0.0032208081016933776,18,0.0005662654466377323,0.0005662654466377323,-4
Glascow coma scale motor response_last10%_min,0.012151103100712808,1,0.012711054248570072,1,0.0005599511478572641,0.0005599511478572641,0
Glascow coma scale verbal response_last10%_min,0.011923779562079111,2,0.012399178728113604,3,0.00047539916603449306,0.00047539916603449306,1
Prothrombin time_full_max,0.0019237044152734396,41,0.0023759059396380082,30,0.00045220152436456864,0.00045220152436456864,-11
Lactate_last10%_min,0.0015244727492837466,66,0.0019654151027027815,47,0.00044094235341903486,0.00044094235341903486,-19
Prothrombin time_full_mean,0.002519261655884912,25,0.002954081292023504,22,0.0004348196361385918,0.0004348196361385918,-3
Creatinine_last10%_min,0.0053902022312702505,10,0.005824319174875004,8,0.0004341169436047534,0.0004341169436047534,-2
Lactate_last25%_min,0.0013365403571093727,81,0.0017647224794579937,58,0.0004281821223486211,0.0004281821223486211,-23
Creatinine_full_mean,0.004130652215809207,13,0.004533236469672788,12,0.0004025842538635813,0.0004025842538635813,-1
Glascow coma scale verbal response_full_std,0.0012958102737947322,83,0.0016733504237570606,61,0.00037754014996232836,0.00037754014996232836,-22
Glascow coma scale motor response_full_std,0.0015657390914725245,63,0.0019367248239152573,48,0.0003709857324427329,0.0003709857324427329,-15
Lactate_last25%_max,0.001153852598137804,96,0.0015064695414611152,77,0.0003526169433233112,0.0003526169433233112,-19
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.0015874534509723323,59,0.0012366703927960809,101,-0.0003507830581762515,0.0003507830581762515,42
Respiratory rate_last25%_mean,0.002716009575425033,20,0.0030360839473936928,20,0.0003200743719686599,0.0003200743719686599,0
Temperature_full_min,0.0012534266723587362,87,0.0015659150999496327,70,0.0003124884275908966,0.0003124884275908966,-17
Diastolic blood pressure_full_min,0.0010655188434316005,103,0.0013572939405465006,90,0.0002917750971149001,0.0002917750971149001,-13
Bilirubin_full_min,0.0015591966676308637,64,0.0018459874720077054,50,0.0002867908043768417,0.0002867908043768417,-14
Creatinine_full_min,0.003390743841992747,16,0.00366886415474329,16,0.0002781203127505431,0.0002781203127505431,0
Fraction inspired oxygen_full_max,0.00043048005599880885,157,0.0007055902828865028,145,0.000275110226887694,0.000275110226887694,-12
Glascow coma scale motor response_full_min,0.001398300545775963,72,0.0011330728210376896,108,-0.00026522772473827334,0.00026522772473827334,36
Oxygen saturation_last25%_min,0.0017865614067184652,45,0.0020416241097332205,43,0.00025506270301475526,0.00025506270301475526,-2
Glascow coma scale verbal response_full_mean,0.00529605656537679,11,0.005046601538871164,11,-0.0002494550265056258,0.0002494550265056258,0
Respiratory rate_last10%_min,0.0015918631807498682,57,0.0018403444467289228,52,0.0002484812659790546,0.0002484812659790546,-5
Oxygen saturation_last10%_min,0.0013911044211056707,73,0.0016311075558286142,65,0.00024000313472294344,0.00024000313472294344,-8
Systolic blood pressure_last10%_min,0.0018173850929069485,44,0.001579735682019728,69,-0.00023764941088722045,0.00023764941088722045,25
Creatinine_full_max,0.003035304042570531,17,0.00326523028082214,17,0.00022992623825160907,0.00022992623825160907,0
Respiratory rate_last25%_min,0.0012425387864737198,90,0.001468914963813997,78,0.00022637617734027715,0.00022637617734027715,-12
Glascow coma scale eye opening_full_min,0.002043103793011168,37,0.0018179694130945698,54,-0.00022513437991659828,0.00022513437991659828,17
Weight_full_max,0.0021850373194316677,34,0.0024088249015818005,28,0.00022378758215013282,0.00022378758215013282,-6
White blood cell count_full_min,0.002283631759210751,31,0.0024882875129604654,27,0.00020465575374971432,0.00020465575374971432,-4
Heart Rate_full_max,0.0012420875654221336,91,0.001433576994610262,84,0.00019148942918812838,0.00019148942918812838,-7
Glascow coma scale eye opening_full_max,0.0038816833876318436,15,0.0036956557343841797,15,-0.00018602765324766393,0.00018602765324766393,0
Temperature_last25%_min,0.0023703140476063777,26,0.0025560029982656654,26,0.00018568895065928766,0.00018568895065928766,0
Temperature_last10%_max,0.0013606388237075095,77,0.0015260623887037698,76,0.00016542356499626033,0.00016542356499626033,-1
Hemoglobin_full_std,0.0012579366014962266,86,0.0014220044830215816,85,0.00016406788152535504,0.00016406788152535504,-1
Weight_full_mean,0.0020197210511646324,38,0.0021796429913902467,38,0.00015992194022561431,0.00015992194022561431,0
Glascow coma scale eye opening_last25%_std,0.0011306459061906067,99,0.0009793690621743023,118,-0.00015127684401630443,0.00015127684401630443,19
Systolic blood pressure_full_min,0.0016327518502033654,53,0.0017825956786237935,57,0.00014984382842042816,0.00014984382842042816,4
Glascow coma scale motor response_full_max,0.0073408873648950984,6,0.007194236995722633,6,-0.00014665036917246507,0.00014665036917246507,0
Glascow coma scale eye opening_full_mean,0.0022985840748590155,29,0.00215541441191019,40,-0.00014316966294882546,0.00014316966294882546,11
Temperature_last10%_min,0.0018276984029905927,43,0.001970362382944458,46,0.00014266397995386535,0.00014266397995386535,3
Mean blood pressure_full_min,0.001097899049525671,102,0.0012372549680050007,100,0.00013935591847932978,0.00013935591847932978,-2
Bilirubin_full_std,0.0009216256443568595,113,0.0010596183585552734,112,0.00013799271419841393,0.00013799271419841393,-1
Systolic blood pressure_full_mean,0.0021655867941766742,36,0.0020303960070875444,44,-0.00013519078708912986,0.00013519078708912986,8
Hematocrit_full_std,0.0014026822161679622,70,0.001537642795350964,75,0.00013496057918300185,0.00013496057918300185,5
Platelets_full_min,0.0015662278100200162,62,0.0014370660927674104,82,-0.00012916171725260587,0.00012916171725260587,20
pH_last25%_min,0.0008317301171914127,127,0.0009605432105966075,120,0.0001288130934051948,0.0001288130934051948,-7
Heart Rate_last10%_min,0.0011347368428772048,98,0.0012625102053944338,95,0.000127773362517229,0.000127773362517229,-3
Platelets_full_max,0.0015734634746939803,61,0.0014468252756536062,81,-0.00012663819904037412,0.00012663819904037412,20
White blood cell count_last25%_std,0.000635109825844118,147,0.0007602677294148993,140,0.00012515790357078122,0.00012515790357078122,-7
Oxygen saturation_last25%_max,0.0004386787700647779,156,0.0005629867423987278,154,0.0001243079723339499,0.0001243079723339499,-2
Respiratory rate_last10%_mean,0.00225479495468298,32,0.0023777435157267936,29,0.00012294856104381373,0.00012294856104381373,-3
Glascow coma scale motor response_full_mean,0.0039221176145220775,14,0.004043166882498318,14,0.00012104926797624083,0.00012104926797624083,0
Weight_full_min,0.0016192600262199411,56,0.0017361392111150532,59,0.0001168791848951121,0.0001168791848951121,3
Potassium_last25%_max,0.0009110743953746362,116,0.0010258925697829953,116,0.0001148181744083591,0.0001148181744083591,0
Glascow coma scale eye opening_last25%_max,0.005734267613498757,7,0.005846694514920102,7,0.00011242690142134436,0.00011242690142134436,0
Potassium_last25%_min,0.0007750598363891262,135,0.0008871219623782506,124,0.00011206212598912442,0.00011206212598912442,-11
Systolic blood pressure_last10%_mean,0.0018941024787402245,42,0.0017856876314036232,56,-0.00010841484733660131,0.00010841484733660131,14
Glascow coma scale verbal response_full_min,0.0004495053230537997,155,0.0005540979108789818,155,0.00010459258782518206,0.00010459258782518206,0
Glascow coma scale eye opening_last10%_std,0.0019465694631275831,40,0.001842062734439719,51,-0.00010450672868786404,0.00010450672868786404,11
Respiratory rate_last10%_max,0.0012773821530491464,84,0.0011737702120861245,105,-0.00010361194096302189,0.00010361194096302189,21
White blood cell count_full_max,0.0011486272298519193,97,0.0012500743328512124,98,0.00010144710299929307,0.00010144710299929307,1
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0007147676927198586,138,0.0008111935898906991,136,9.642589717084047e-05,9.642589717084047e-05,-2
