Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.10044937,8,0.24844828,2,0.14799891,0.14799891,-6
Glascow coma scale motor response_full_std,0.08321653,10,0.10752882,8,0.024312288,0.024312288,-2
Glascow coma scale verbal response_full_std,0.050208606,33,0.06663276,18,0.016424157,0.016424157,-15
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.058013417,26,0.042170856,43,-0.01584256,0.01584256,17
White blood cell count_last10%_min,0.1230483,5,0.11146933,6,-0.01157897,0.01157897,1
Fraction inspired oxygen_full_min,0.014603032,107,0.025762213,73,0.011159182,0.011159182,-34
Fraction inspired oxygen_last10%_max,0.043799836,40,0.0543481,31,0.010548264,0.010548264,-9
ICU_Neuro Intermediate,0.033720724,55,0.023199458,81,-0.010521267,0.010521267,26
Fraction inspired oxygen_last10%_min,0.033163004,58,0.042944998,42,0.009781994,0.009781994,-16
Fraction inspired oxygen_last25%_min,0.047829717,36,0.05703923,30,0.009209514,0.009209514,-6
Temperature_full_min,0.07909692,11,0.071418226,14,-0.007678695,0.007678695,3
Weight_full_max,0.089336425,9,0.096291654,10,0.0069552287,0.0069552287,1
Fraction inspired oxygen_full_max,0.022209737,85,0.015432847,106,-0.0067768907,0.0067768907,21
Glascow coma scale verbal response_full_mean,0.035216745,53,0.028790794,64,-0.0064259507,0.0064259507,11
Prothrombin time_last10%_min,0.07756304,13,0.08387517,11,0.006312132,0.006312132,-2
Fraction inspired oxygen_last25%_max,0.0137426285,112,0.02004431,91,0.0063016815,0.0063016815,-21
Glucose_last10%_std,0.014363433,109,0.020498557,88,0.006135124,0.006135124,-21
Hemoglobin_full_max,0.07156552,15,0.065592185,21,-0.0059733316,0.0059733316,6
Glascow coma scale eye opening_last25%_max,0.05374179,30,0.048067536,36,-0.005674254,0.005674254,6
Oxygen saturation_last10%_min,0.05597511,28,0.061633505,25,0.0056583956,0.0056583956,-3
Hemoglobin_full_std,0.0374024,50,0.043055534,40,0.0056531355,0.0056531355,-10
pH_last10%_std,0.016052052,100,0.010539312,126,-0.0055127405,0.0055127405,26
Bilirubin_full_std,0.06168643,24,0.066774756,17,0.0050883256,0.0050883256,-7
Oxygen saturation_last10%_max,0.03339202,57,0.038305886,48,0.0049138665,0.0049138665,-9
Oxygen saturation_last25%_min,0.058290657,25,0.06304024,22,0.004749585,0.004749585,-3
Prothrombin time_full_max,0.02431312,78,0.029015047,62,0.0047019273,0.0047019273,-16
Glascow coma scale eye opening_full_mean,0.03808796,48,0.033484485,57,-0.0046034753,0.0046034753,9
pH_last10%_max,0.024652865,77,0.020096038,90,-0.0045568272,0.0045568272,13
Prothrombin time_full_min,0.047470838,37,0.051847704,32,0.004376866,0.004376866,-5
Glascow coma scale eye opening_last10%_max,0.06617376,20,0.061851613,24,-0.004322149,0.004322149,4
Heart Rate_full_mean,0.029424582,64,0.033692118,56,0.004267536,0.004267536,-8
Glascow coma scale eye opening_full_std,0.022743577,83,0.018563738,94,-0.004179839,0.004179839,11
Lactate_last25%_min,0.03770147,49,0.041808512,44,0.004107043,0.004107043,-5
Weight_full_mean,0.06527916,21,0.06934365,15,0.0040644854,0.0040644854,-6
Glucose_last10%_min,0.05016376,34,0.046125825,37,-0.0040379353,0.0040379353,3
Lactate_last10%_min,0.05549953,29,0.059427682,29,0.003928151,0.003928151,0
Diastolic blood pressure_last10%_mean,0.06379878,23,0.05999326,28,-0.0038055182,0.0038055182,5
Respiratory rate_last25%_mean,0.108252056,7,0.10452893,9,-0.0037231296,0.0037231296,2
Glascow coma scale motor response_last10%_min,0.056584008,27,0.06024041,27,0.0036564022,0.0036564022,0
Lactate_last25%_max,0.02009988,90,0.02374972,77,0.0036498401,0.0036498401,-13
Heart Rate_last10%_mean,0.066256836,19,0.062788785,23,-0.0034680516,0.0034680516,4
Temperature_last25%_min,0.07485252,14,0.078303605,13,0.0034510866,0.0034510866,-1
Bilirubin_full_min,0.038302153,47,0.0416396,45,0.0033374466,0.0033374466,-2
Respiratory rate_full_max,0.0411715,42,0.0378554,50,-0.003316097,0.003316097,8
White blood cell count_last25%_std,0.013127465,113,0.016433418,100,0.003305953,0.003305953,-13
Heart Rate_full_max,0.028030291,66,0.03125761,60,0.0032273196,0.0032273196,-6
Hemoglobin_full_mean,0.027666252,68,0.024576163,74,-0.0030900892,0.0030900892,6
Heart Rate_last25%_max,0.032092065,60,0.0290058,63,-0.0030862652,0.0030862652,3
Oxygen saturation_full_min,0.052348457,31,0.049273238,34,-0.0030752197,0.0030752197,3
Sodium_last10%_std,0.019241735,91,0.01625874,103,-0.0029829945,0.0029829945,12
Creatinine_full_mean,0.017277546,95,0.020109333,89,0.0028317869,0.0028317869,-6
Glucose_full_mean,0.010125769,130,0.012913602,116,0.002787833,0.002787833,-14
Temperature_last25%_max,0.018490616,93,0.021186816,87,0.0026961993,0.0026961993,-6
Glascow coma scale eye opening_last10%_std,0.030687232,63,0.02806348,65,-0.0026237518,0.0026237518,2
Diastolic blood pressure_last25%_mean,0.06910726,17,0.06649187,19,-0.0026153848,0.0026153848,2
Respiratory rate_last25%_min,0.013911446,111,0.016522922,99,0.002611476,0.002611476,-12
Platelets_full_max,0.040836908,43,0.03827947,49,-0.0025574379,0.0025574379,6
White blood cell count_full_min,0.06407064,22,0.06161368,26,-0.002456963,0.002456963,4
Diastolic blood pressure_last10%_max,0.020369265,89,0.017950626,95,-0.0024186391,0.0024186391,6
Glascow coma scale verbal response_full_max,0.026041558,72,0.023644706,79,-0.0023968518,0.0023968518,7
Weight_full_min,0.03680869,51,0.039134145,46,0.0023254566,0.0023254566,-5
Platelets_full_min,0.015402745,104,0.013094702,115,-0.0023080437,0.0023080437,11
Temperature_last10%_max,0.022062754,86,0.024349133,75,0.0022863783,0.0022863783,-11
Diastolic blood pressure_last10%_min,0.028226625,65,0.025963102,72,-0.0022635236,0.0022635236,7
Glascow coma scale motor response_full_min,0.004320214,163,0.0065100193,151,0.0021898053,0.0021898053,-12
pH_full_min,0.018517278,92,0.01633405,101,-0.0021832287,0.0021832287,9
pH_full_std,0.009470416,137,0.0073003666,148,-0.0021700496,0.0021700496,11
Diastolic blood pressure_full_min,0.025358375,73,0.027476856,67,0.0021184813,0.0021184813,-6
Heart Rate_last25%_min,0.023281017,80,0.02124779,86,-0.002033228,0.002033228,6
Prothrombin time_full_std,0.006429032,152,0.008416795,144,0.0019877632,0.0019877632,-8
Glucose_full_max,0.015353967,105,0.013406189,112,-0.0019477783,0.0019477783,7
Diastolic blood pressure_last25%_min,0.0077086342,146,0.0057682493,158,-0.001940385,0.001940385,12
Heart Rate_last10%_min,0.021045288,87,0.019145783,92,-0.001899505,0.001899505,5
Respiratory rate_last10%_min,0.0046197316,160,0.00647124,154,0.0018515084,0.0018515084,-6
Glascow coma scale eye opening_last10%_min,0.0701347,16,0.06828839,16,-0.001846306,0.001846306,0
White blood cell count_full_std,0.024663858,76,0.022861913,82,-0.0018019453,0.0018019453,6
Hematocrit_last10%_min,0.033950593,54,0.035721514,54,0.001770921,0.001770921,0
Systolic blood pressure_last10%_mean,0.039327286,45,0.037583183,51,-0.0017441027,0.0017441027,6
Sodium_last10%_min,0.011586789,122,0.013320041,113,0.0017332518,0.0017332518,-9
Glucose_last25%_std,0.06737015,18,0.065660745,20,-0.0017094016,0.0017094016,2
Mean blood pressure_last10%_min,0.012190102,117,0.013828907,111,0.0016388055,0.0016388055,-6
Respiratory rate_full_min,0.026340721,71,0.027978467,66,0.0016377456,0.0016377456,-5
Heart Rate_last25%_mean,0.051483475,32,0.049854845,33,-0.0016286299,0.0016286299,1
Diastolic blood pressure_last25%_max,0.03364283,56,0.035244267,55,0.001601439,0.001601439,-1
Sodium_full_max,0.04581989,39,0.044248313,39,-0.001571577,0.001571577,0
Creatinine_last10%_min,0.18634419,3,0.18479265,4,-0.0015515387,0.0015515387,1
Systolic blood pressure_last25%_min,0.040506393,44,0.03896098,47,-0.0015454143,0.0015454143,3
Systolic blood pressure_full_mean,0.045870163,38,0.044354126,38,-0.0015160367,0.0015160367,0
Diastolic blood pressure_full_max,0.0067460057,150,0.008261043,145,0.0015150369,0.0015150369,-5
Respiratory rate_last10%_max,0.00545085,155,0.0069448985,150,0.0014940486,0.0014940486,-5
Hemoglobin_last25%_std,0.0007394915,174,0.0021853514,171,0.0014458599,0.0014458599,-3
Systolic blood pressure_full_min,0.03898121,46,0.037536245,52,-0.0014449656,0.0014449656,6
Fraction inspired oxygen_full_mean,0.017158354,97,0.018599818,93,0.0014414638,0.0014414638,-4
Sodium_last25%_std,0.007922318,145,0.0064839143,153,-0.0014384035,0.0014384035,8
Respiratory rate_last25%_max,0.012017047,119,0.010598213,125,-0.0014188336,0.0014188336,6
Glucose_last10%_mean,0.012141247,118,0.010763762,124,-0.0013774857,0.0013774857,6
Creatinine_full_min,0.04164855,41,0.043011677,41,0.0013631247,0.0013631247,0
Glascow coma scale motor response_full_mean,0.020597305,88,0.021936776,85,0.001339471,0.001339471,-3
Creatinine_full_max,0.015921837,101,0.017234558,98,0.0013127215,0.0013127215,-3
Respiratory rate_last10%_mean,0.024940787,75,0.023652576,78,-0.001288211,0.001288211,3
Glascow coma scale motor response_last25%_min,0.140828,4,0.13960506,5,-0.0012229383,0.0012229383,1
Lactate_full_std,0.008564337,141,0.009783028,133,0.0012186905,0.0012186905,-8
Glascow coma scale motor response_last25%_max,0.11013965,6,0.11129125,7,0.001151599,0.001151599,1
Temperature_full_max,0.07757083,12,0.078707114,12,0.0011362806,0.0011362806,0
Glucose_last25%_max,0.0052451678,156,0.0063567245,155,0.0011115568,0.0011115568,-1
Creatinine_full_std,0.027848661,67,0.026741354,68,-0.0011073072,0.0011073072,1
Systolic blood pressure_last10%_max,0.00823686,143,0.009314305,140,0.0010774452,0.0010774452,-3
Lactate_last25%_std,0.008002334,144,0.009036887,141,0.0010345532,0.0010345532,-3
pH_full_max,0.0112842545,124,0.010289099,128,-0.0009951554,0.0009951554,4
Sodium_full_std,0.011667371,121,0.012654435,118,0.0009870641,0.0009870641,-3
pH_last10%_mean,0.022577384,84,0.023541542,80,0.0009641573,0.0009641573,-4
Heart Rate_full_min,0.02510237,74,0.026048085,71,0.00094571523,0.00094571523,-3
Glascow coma scale verbal response_last10%_min,0.4274864,1,0.42658985,1,-0.00089654326,0.00089654326,0
Glascow coma scale eye opening_last25%_std,0.017193513,96,0.016330546,102,-0.0008629672,0.0008629672,6
Potassium_last25%_max,0.016677862,98,0.017537443,97,0.00085958093,0.00085958093,-1
Systolic blood pressure_last25%_max,0.0105590625,127,0.009746734,135,-0.0008123284,0.0008123284,8
pH_last10%_min,0.01659999,99,0.015793053,105,-0.000806937,0.000806937,6
Platelets_last10%_min,0.026876513,69,0.026070295,70,-0.000806218,0.000806218,1
Lactate_full_min,0.0032871875,166,0.00407037,163,0.00078318245,0.00078318245,-3
Glascow coma scale verbal response_last10%_std,0.009303779,138,0.008530108,142,-0.0007736711,0.0007736711,4
Platelets_last25%_std,0.015244086,106,0.016017165,104,0.00077307876,0.00077307876,-2
Mean blood pressure_full_min,0.010947827,126,0.011677228,121,0.00072940066,0.00072940066,-5
ICU_Medical Intensive Care Unit (MICU),0.004602161,161,0.0038759643,164,-0.00072619645,0.00072619645,3
Systolic blood pressure_last25%_std,0.009794979,135,0.010518307,127,0.0007233275,0.0007233275,-8
Platelets_full_std,0.011207998,125,0.011924183,120,0.0007161852,0.0007161852,-5
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.030710198,62,0.030008554,61,-0.0007016435,0.0007016435,-1
Potassium_last10%_min,0.048354525,35,0.04904079,35,0.0006862655,0.0006862655,0
Lactate_full_max,0.004587736,162,0.0052419296,160,0.0006541936,0.0006541936,-2
Hematocrit_full_std,0.03636735,52,0.037020404,53,0.00065305457,0.00065305457,1
Heart Rate_last25%_std,0.018352592,94,0.017704358,96,-0.00064823404,0.00064823404,2
Heart Rate_last10%_std,0.01038857,128,0.009773825,134,-0.0006147446,0.0006147446,6
Diastolic blood pressure_full_mean,0.015485601,103,0.014888318,108,-0.0005972823,0.0005972823,5
Potassium_full_mean,0.004769751,158,0.00535391,159,0.00058415905,0.00058415905,1
Potassium_last25%_min,0.01267644,115,0.013236978,114,0.0005605379,0.0005605379,-1
pH_last25%_std,0.0028750456,168,0.002339293,170,-0.0005357526,0.0005357526,2
Sodium_full_min,0.005974466,154,0.0065038283,152,0.00052936235,0.00052936235,-2
Hematocrit_full_mean,0.015625335,102,0.015096694,107,-0.00052864105,0.00052864105,5
ICU_Surgical Intensive Care Unit (SICU),0.011332475,123,0.010806011,123,-0.0005264636,0.0005264636,0
Mean blood pressure_last25%_min,0.008859764,140,0.009364551,139,0.0005047871,0.0005047871,-1
Glascow coma scale verbal response_last25%_std,0.0042247567,164,0.003725252,165,-0.0004995046,0.0004995046,1
pH_last25%_min,0.009087423,139,0.0095765535,136,0.0004891306,0.0004891306,-3
Systolic blood pressure_last10%_std,0.004792996,157,0.0043086885,162,-0.00048430776,0.00048430776,5
Potassium_full_std,0.009889162,134,0.009421847,138,-0.00046731532,0.00046731532,4
Systolic blood pressure_last10%_min,0.011917445,120,0.011463885,122,-0.00045355968,0.00045355968,2
Systolic blood pressure_last25%_mean,0.022987213,81,0.022536233,84,-0.00045097992,0.00045097992,3
ICU_Coronary Care Unit (CCU),0.001924041,170,0.0023675247,168,0.0004434837,0.0004434837,-2
Glucose_last25%_mean,0.009966718,133,0.009543674,137,-0.00042304397,0.00042304397,4
Hematocrit_full_min,0.009607184,136,0.01001483,131,0.0004076464,0.0004076464,-5
Glascow coma scale eye opening_full_max,0.0027440412,169,0.0023410972,169,-0.00040294393,0.00040294393,0
Hematocrit_last25%_std,0.001461806,171,0.0018404468,172,0.00037864083,0.00037864083,1
Glascow coma scale eye opening_last25%_min,0.012796462,114,0.012435504,119,-0.00036095735,0.00036095735,5
ICU_Trauma SICU (TSICU),0.0064871875,151,0.006147346,156,-0.00033984147,0.00033984147,5
Sodium_full_mean,0.014383372,108,0.0140864365,109,-0.00029693544,0.00029693544,1
pH_full_mean,0.0074449624,147,0.0077370047,146,0.00029204227,0.00029204227,-1
Potassium_full_min,0.010260428,129,0.009994318,132,-0.00026611052,0.00026611052,3
Heart Rate_last10%_max,0.022792332,82,0.022543982,83,-0.0002483502,0.0002483502,1
Oxygen saturation_last25%_max,0.0013433936,172,0.0015896547,173,0.00024626113,0.00024626113,1
Glascow coma scale verbal response_full_min,0.0010527062,173,0.0012782353,174,0.00022552919,0.00022552919,1
Hematocrit_full_max,0.00997511,132,0.010199388,129,0.00022427738,0.00022427738,-3
Lactate_full_mean,0.004744797,159,0.0045399624,161,-0.00020483462,0.00020483462,2
Glucose_full_min,0.031712167,61,0.031511955,59,-0.000200212,0.000200212,-2
Temperature_last10%_min,0.024046784,79,0.023866953,76,-0.00017983094,0.00017983094,-3
Systolic blood pressure_full_max,0.007360498,148,0.007528488,147,0.0001679901,0.0001679901,-1
Hemoglobin_full_min,0.00833415,142,0.008496917,143,0.00016276725,0.00016276725,1
Glascow coma scale motor response_last25%_std,0.0033683612,165,0.0035275244,166,0.00015916326,0.00015916326,1
Platelets_full_mean,0.03229024,59,0.032133542,58,-0.00015669689,0.00015669689,-1
Glucose_last10%_max,0.0071640876,149,0.0070091896,149,-0.00015489804,0.00015489804,0
Prothrombin time_full_mean,0.009975241,131,0.0101123275,130,0.00013708696,0.00013708696,-1
Potassium_full_max,0.0029697956,167,0.00283538,167,-0.00013441569,0.00013441569,0
Glascow coma scale eye opening_full_min,0.012599628,116,0.012726675,117,0.00012704637,0.00012704637,1
Hematocrit_last10%_std,0.00038481405,175,0.00050016097,175,0.00011534692,0.00011534692,0
Glascow coma scale motor response_full_max,0.026524898,70,0.026452066,69,-7.283129e-05,7.283129e-05,-1
Glascow coma scale motor response_last10%_max,0.20226201,2,0.2022731,3,1.1086464e-05,1.1086464e-05,1
Mean blood pressure_last10%_max,0.014057461,110,0.014053203,110,-4.258007e-06,4.258007e-06,0
White blood cell count_full_max,0.0060978713,153,0.006101495,157,3.6237761e-06,3.6237761e-06,4
Glascow coma scale motor response_last10%_std,0.0,176,0.0,176,0.0,0.0,0
Height_full_min,0.0,177,0.0,177,0.0,0.0,0
Oxygen saturation_full_max,0.0,178,0.0,178,0.0,0.0,0
Platelets_last10%_std,0.0,179,0.0,179,0.0,0.0,0
Weight_last10%_std,0.0,180,0.0,180,0.0,0.0,0
White blood cell count_last10%_std,0.0,181,0.0,181,0.0,0.0,0
Weight_last25%_std,0.0,182,0.0,182,0.0,0.0,0
ICU_Intensive Care Unit (ICU),0.0,183,0.0,183,0.0,0.0,0
ICU_Medicine,0.0,184,0.0,184,0.0,0.0,0
ICU_Neuro Stepdown,0.0,185,0.0,185,0.0,0.0,0
ICU_PACU,0.0,186,0.0,186,0.0,0.0,0
ICU_Neurology,0.0,187,0.0,187,0.0,0.0,0
ICU_Surgery/Vascular/Intermediate,0.0,188,0.0,188,0.0,0.0,0
ICU_Surgery/Trauma,0.0,189,0.0,189,0.0,0.0,0
