Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Potassium,0.0002793039821011363,13,0.0006688576937562915,3,0.00038955371165515516,0.00038955371165515516,-10
Systolic blood pressure,0.00026102803898659727,16,0.00045849196831780506,10,0.0001974639293312078,0.0001974639293312078,-6
Heart Rate,0.0004448691449892968,6,0.000630963011715624,4,0.00018609386672632723,0.00018609386672632723,-2
Lactate,0.0003881093396005422,7,0.0005723673062586167,6,0.0001842579666580745,0.0001842579666580745,-1
Creatinine,0.0005675763908323455,1,0.0007511138693105926,1,0.00018353747847824704,0.00018353747847824704,0
Glascow coma scale verbal response->Oriented,0.000545847941700787,2,0.0006998531953910537,2,0.00015400525369026663,0.00015400525369026663,0
Temperature,0.00037453105553272045,8,0.00048707782193929,8,0.00011254676640656954,0.00011254676640656954,0
mask->Hematocrit,0.000285688455012635,11,0.0003880735126278704,12,0.00010238505761523537,0.00010238505761523537,1
Weight,0.0003314442693127552,10,0.00043096824982794213,11,9.952398051518691e-05,9.952398051518691e-05,1
mask->pH,0.00022247008097157775,17,0.00031203038361306214,16,8.956030264148439e-05,8.956030264148439e-05,-1
Bilirubin,0.00017220339022976295,22,0.00025674510036572713,18,8.454171013596418e-05,8.454171013596418e-05,-4
Glascow coma scale verbal response->No Response-ETT,0.00028256481674999724,12,0.00036514488972058185,14,8.258007297058461e-05,8.258007297058461e-05,2
Prothrombin time,0.00019276347805884098,19,0.00027389972431147,17,8.113624625262901e-05,8.113624625262901e-05,-2
mask->Glucose,0.0002626665493786877,15,0.0001849056910932481,26,-7.776085828543961e-05,7.776085828543961e-05,11
Platelets,0.0001494254433243072,26,0.00022104939929638436,21,7.162395597207715e-05,7.162395597207715e-05,-5
Diastolic blood pressure,0.00026963389137419475,14,0.00033293916960635314,15,6.330527823215839e-05,6.330527823215839e-05,1
mask->Temperature,0.0001613284825756601,24,0.00022132685267088227,20,5.999837009522217e-05,5.999837009522217e-05,-4
Hematocrit,0.00015966198051219313,25,0.00021613249641335837,22,5.6470515901165246e-05,5.6470515901165246e-05,-3
Hemoglobin,0.00010335868888786126,28,0.0001592174350926969,27,5.5858746204835626e-05,5.5858746204835626e-05,-1
mask->Fraction inspired oxygen,0.0005038262284060519,4,0.0005507314252029442,7,4.690519679689234e-05,4.690519679689234e-05,3
Sodium,0.00010703481261740873,27,0.0001525473079919053,28,4.5512495374496584e-05,4.5512495374496584e-05,1
Fraction inspired oxygen,0.0005340291525001727,3,0.0005793327655253082,5,4.530361302513544e-05,4.530361302513544e-05,2
Glascow coma scale eye opening->To Speech,0.0002017911649767963,18,0.00024170174837346903,19,3.991058339667273e-05,3.991058339667273e-05,1
White blood cell count,0.0003368036740831009,9,0.00037585879142047854,13,3.905511733737763e-05,3.905511733737763e-05,4
mask->Creatinine,8.986002375613944e-05,31,0.00012464918036389052,29,3.478915660775108e-05,3.478915660775108e-05,-2
mask->Bilirubin,6.652375893693725e-05,36,9.373108286579017e-05,32,2.7207323928852924e-05,2.7207323928852924e-05,-4
mask->Oxygen saturation,0.00018183270454716872,21,0.00020781935233293866,23,2.5986647785769936e-05,2.5986647785769936e-05,2
Glascow coma scale eye opening->Spontaneously,0.00016398280399555442,23,0.00018923931620839934,25,2.5256512212844923e-05,2.5256512212844923e-05,2
mask->Glascow coma scale verbal response,6.761635762173978e-05,35,9.044211400339341e-05,34,2.2825756381653626e-05,2.2825756381653626e-05,-1
Glascow coma scale motor response->Obeys Commands,0.0004581803021788409,5,0.00048026371896299074,9,2.2083416784149834e-05,2.2083416784149834e-05,4
Glascow coma scale verbal response->Confused,6.232500636365443e-05,38,7.958296158224076e-05,37,1.7257955218586332e-05,1.7257955218586332e-05,-1
mask->Sodium,2.2546428646634935e-05,45,3.9360623846033184e-05,43,1.681419519939825e-05,1.681419519939825e-05,-2
