Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Potassium,0.0006041217098633256,3,0.0012002803479659841,1,0.0005961586381026586,0.0005961586381026586,-2
Systolic blood pressure,0.0004093978065017671,13,0.0006711694538441626,6,0.00026177164734239545,0.00026177164734239545,-7
Creatinine,0.0005198629886398638,6,0.0007749333586471763,3,0.0002550703700073125,0.0002550703700073125,-3
Fraction inspired oxygen,0.00092083400337077,2,0.0011612283480065052,2,0.0002403943446357352,0.0002403943446357352,0
Glascow coma scale motor response->Obeys Commands,0.0009493541072042154,1,0.0007367621960469607,4,-0.0002125919111572546,0.0002125919111572546,3
Glascow coma scale verbal response->Oriented,0.0005705251351704484,4,0.0007300522892431442,5,0.0001595271540726958,0.0001595271540726958,1
Temperature,0.0004645475665959705,8,0.0005966750991710734,9,0.00013212753257510295,0.00013212753257510295,1
Diastolic blood pressure,0.0003604859555056942,16,0.0004692439490481693,14,0.00010875799354247509,0.00010875799354247509,-2
Lactate,0.00044976054977451536,11,0.0005530710373275601,10,0.00010331048755304477,0.00010331048755304477,-1
mask->Oxygen saturation,0.000312318689621127,18,0.0004150538152872252,17,0.0001027351256660982,0.0001027351256660982,-1
White blood cell count,0.0005048389648587159,7,0.0006072036257476838,8,0.00010236466088896787,0.00010236466088896787,1
Glascow coma scale verbal response->No Response-ETT,0.0004151702748375663,12,0.0005090927364412427,12,9.392246160367637e-05,9.392246160367637e-05,0
Glascow coma scale verbal response->Confused,0.00023849195231177844,20,0.00032650227564172315,19,8.80103233299447e-05,8.80103233299447e-05,-1
Prothrombin time,0.0005676390883487932,5,0.0006387857597872452,7,7.114667143845194e-05,7.114667143845194e-05,2
Heart Rate,0.0003607935445833136,15,0.00042564782926858075,16,6.485428468526715e-05,6.485428468526715e-05,1
Hemoglobin,0.00023280293255734108,21,0.00029576393733026304,21,6.296100477292196e-05,6.296100477292196e-05,0
mask->Fraction inspired oxygen,0.00046254848485278294,9,0.0005245402764242435,11,6.199179157146057e-05,6.199179157146057e-05,2
mask->Mean blood pressure,0.0003272626615211089,17,0.00038643894971259444,18,5.917628819148552e-05,5.917628819148552e-05,1
mask->Temperature,0.0001500330291260534,30,0.00020522163751063028,24,5.518860838457689e-05,5.518860838457689e-05,-6
Glascow coma scale motor response->No response,9.914349723342366e-05,34,4.563644857567479e-05,44,-5.350704865774887e-05,5.350704865774887e-05,10
Weight,0.0003993613779605937,14,0.00045155442602692766,15,5.2193048066333974e-05,5.2193048066333974e-05,1
Sodium,0.000261304897962928,19,0.0003131271612893645,20,5.1822263326436536e-05,5.1822263326436536e-05,1
Glascow coma scale eye opening->To Speech,0.00017156395505201556,28,0.00022174488677319693,23,5.0180931721181365e-05,5.0180931721181365e-05,-5
