Feature,Mean_Abs_SHAP,Rank
Fraction inspired oxygen,0.0006919924686458567,1
Temperature,0.0006359275251749956,2
White blood cell count,0.0005433638669176211,3
Glascow coma scale verbal response->Oriented,0.0004967355860190192,4
mask->Fraction inspired oxygen,0.0004860209533707574,5
Lactate,0.0004813155660162462,6
Creatinine,0.00042187958433455346,7
Heart Rate,0.00041634597316916546,8
Diastolic blood pressure,0.0004084118261764528,9
Glascow coma scale verbal response->No Response-ETT,0.0003995081760395787,10
Potassium,0.00039698608000091653,11
Glascow coma scale motor response->Obeys Commands,0.0003626503614535907,12
Systolic blood pressure,0.0003165859476306802,13
mask->Hematocrit,0.00031008780019675257,14
Platelets,0.00029799604626671824,15
Glascow coma scale motor response->Flex-withdraws,0.00028917740617589777,16
Weight,0.0002638812485769539,17
Sodium,0.0002547294122050155,18
Glascow coma scale motor response->No response,0.0002487531486035062,19
mask->Glascow coma scale eye opening,0.00024353487183216828,20
Hemoglobin,0.0002413947841897161,21
Glascow coma scale eye opening->Spontaneously,0.00024003312617909184,22
Prothrombin time,0.00022772040455457796,23
Glascow coma scale eye opening->To Pain,0.0002229186401059981,24
mask->Glucose,0.0002204140344752181,25
mask->Temperature,0.00020062966362630608,26
Bilirubin,0.00020060426548236329,27
Glascow coma scale verbal response->Confused,0.00019845723064973453,28
mask->pH,0.00019390005829113746,29
Glascow coma scale eye opening->To Speech,0.00017521766385421948,30
Glascow coma scale verbal response->Incomprehensible sounds,0.00017353132506543468,31
mask->Prothrombin time,0.00015099932105720504,32
mask->Glascow coma scale motor response,0.00012752398983129225,33
mask->Bilirubin,0.00012646173172682588,34
mask->White blood cell count,0.00012063392419473873,35
mask->Glascow coma scale verbal response,0.00011367498258728329,36
Glascow coma scale eye opening->4 Spontaneously,0.00011362134791621125,37
Hematocrit,0.00011257600915710505,38
mask->Hemoglobin,0.00011107488053714911,39
Glascow coma scale motor response->Localizes Pain,0.0001105132358279555,40
mask->Potassium,0.00010978739817869019,41
mask->Sodium,0.0001080827908593865,42
mask->Platelets,0.00010687363072549481,43
mask->Creatinine,0.00010248899077707712,44
Glascow coma scale verbal response->No Response,9.334792119266457e-05,45
Mean blood pressure,9.256881297550451e-05,46
mask->Diastolic blood pressure,8.993114156464334e-05,47
mask->Lactate,8.874581303117699e-05,48
mask->Mean blood pressure,8.416810063470754e-05,49
Oxygen saturation,8.120275510376131e-05,50
mask->Systolic blood pressure,6.46455695959604e-05,51
mask->Weight,6.1408515130083e-05,52
mask->Oxygen saturation,5.5156469480896716e-05,53
Respiratory rate,5.19101153459819e-05,54
mask->Heart Rate,4.166067371594138e-05,55
mask->Respiratory rate,3.9494955283967413e-05,56
Glascow coma scale verbal response->5 Oriented,2.6360119113775228e-05,57
Glucose,2.5228569917725246e-05,58
Glascow coma scale motor response->Abnormal Flexion,2.4176018636688686e-05,59
Glascow coma scale motor response->6 Obeys Commands,2.2390195611894508e-05,60
Glascow coma scale verbal response->Inappropriate Words,1.2971099187509456e-05,61
Height,6.432055797631619e-06,62
mask->Height,2.3922775289975106e-06,63
pH,1.788098762350714e-08,64
Glascow coma scale total->14,0.0,65
Glascow coma scale total->15,0.0,66
Glascow coma scale total->12,0.0,67
Glascow coma scale total->13,0.0,68
Glascow coma scale total->10,0.0,69
Glascow coma scale total->11,0.0,70
Glascow coma scale motor response->2 Abnorm extensn,0.0,71
Glascow coma scale motor response->5 Localizes Pain,0.0,72
Glascow coma scale motor response->Abnormal extension,0.0,73
Glascow coma scale motor response->4 Flex-withdraws,0.0,74
Capillary refill rate->0.0,0.0,75
Glascow coma scale eye opening->1 No Response,0.0,76
Glascow coma scale eye opening->None,0.0,77
Glascow coma scale eye opening->2 To pain,0.0,78
Glascow coma scale motor response->1 No Response,0.0,79
Glascow coma scale motor response->3 Abnorm flexion,0.0,80
Capillary refill rate->1.0,0.0,81
Glascow coma scale eye opening->3 To speech,0.0,82
Glascow coma scale verbal response->2 Incomp sounds,0.0,83
Glascow coma scale total->6,0.0,84
Glascow coma scale verbal response->4 Confused,0.0,85
Glascow coma scale verbal response->3 Inapprop words,0.0,86
Glascow coma scale total->5,0.0,87
Glascow coma scale total->3,0.0,88
Glascow coma scale verbal response->1 No Response,0.0,89
Glascow coma scale total->8,0.0,90
Glascow coma scale total->9,0.0,91
Glascow coma scale verbal response->1.0 ET/Trach,0.0,92
Glascow coma scale total->7,0.0,93
Glascow coma scale total->4,0.0,94
mask->Glascow coma scale total,0.0,95
mask->Capillary refill rate,0.0,96
