Feature,Mean_Abs_SHAP,Rank
Temperature_last10%_min,1.090114795146417,1
Glascow coma scale verbal response_last10%_min,0.35886536537301506,2
Respiratory rate_last25%_mean,0.19244183810540896,3
Glascow coma scale motor response_last10%_min,0.18518944952921382,4
Potassium_last10%_min,0.13962626361501013,5
Glascow coma scale verbal response_full_mean,0.12990255348316734,6
White blood cell count_last10%_min,0.12979410911829736,7
Diastolic blood pressure_last10%_min,0.1226415848271027,8
Lactate_last10%_min,0.1118439066044549,9
Heart Rate_last10%_min,0.10369357337211911,10
Glascow coma scale motor response_full_std,0.10171267564270109,11
Heart Rate_last10%_max,0.09597159494287828,12
Creatinine_last10%_min,0.09541501086559541,13
Glascow coma scale eye opening_last10%_min,0.09271144335745188,14
Glucose_full_min,0.0831310786977575,15
White blood cell count_full_std,0.07676477798316181,16
Fraction inspired oxygen_last10%_min,0.07637953720848359,17
Weight_full_min,0.07471433139869824,18
Sodium_full_min,0.0747009094424122,19
Glascow coma scale eye opening_last10%_max,0.07361094024250452,20
Hemoglobin_full_std,0.07052495163984474,21
Glascow coma scale verbal response_full_std,0.06994866639152583,22
White blood cell count_full_min,0.0694632396115726,23
Platelets_full_min,0.06870454974885341,24
Respiratory rate_full_min,0.06450101222820533,25
Diastolic blood pressure_last25%_min,0.06438747787898157,26
Sodium_full_mean,0.06327079560784862,27
Sodium_full_max,0.06318507724045584,28
Prothrombin time_last10%_min,0.06171316604973335,29
Temperature_last25%_min,0.06074465538548288,30
Potassium_full_min,0.058285870003288325,31
Glascow coma scale verbal response_full_max,0.055721391670831504,32
Respiratory rate_last10%_mean,0.055643397499454246,33
Systolic blood pressure_full_mean,0.05483376951389668,34
Hematocrit_full_max,0.054333481735658586,35
Bilirubin_full_min,0.05235583476680956,36
Oxygen saturation_full_min,0.049104092603254476,37
Fraction inspired oxygen_last10%_max,0.048397213012167276,38
Lactate_full_min,0.047960846385043755,39
Weight_full_mean,0.04597206456168119,40
Glascow coma scale motor response_full_max,0.044918957913119256,41
Sodium_last10%_min,0.04383225848132689,42
Diastolic blood pressure_full_min,0.04352330649503631,43
Creatinine_full_min,0.0431046756669768,44
Glascow coma scale motor response_full_min,0.04303371033805224,45
Systolic blood pressure_last25%_min,0.04195981942613982,46
Fraction inspired oxygen_full_max,0.04077466376749861,47
Potassium_full_mean,0.038547608265782726,48
Glascow coma scale motor response_full_mean,0.037808369073919414,49
Oxygen saturation_last10%_min,0.03725005773887225,50
Prothrombin time_full_mean,0.0364824235167544,51
Prothrombin time_full_min,0.03177909650654414,52
White blood cell count_full_max,0.03148699436344842,53
Potassium_full_max,0.031232853463290505,54
Lactate_full_mean,0.02884650064639243,55
Oxygen saturation_last25%_min,0.02877883988118321,56
Prothrombin time_full_max,0.027859810197434536,57
Systolic blood pressure_last10%_max,0.027771527729378884,58
Fraction inspired oxygen_last25%_max,0.027105827558042334,59
Glascow coma scale verbal response_last10%_std,0.026734895700781136,60
Glascow coma scale motor response_last10%_std,0.02621720665762408,61
Systolic blood pressure_full_min,0.024981502662616947,62
Systolic blood pressure_last10%_std,0.02479471188794497,63
Temperature_last25%_max,0.022624391966074596,64
Glascow coma scale eye opening_full_min,0.022273765572623883,65
Glascow coma scale verbal response_full_min,0.022140341057882953,66
Glascow coma scale eye opening_last25%_std,0.021025911190310026,67
Fraction inspired oxygen_full_mean,0.019633338523619853,68
Respiratory rate_last25%_min,0.01904973678642789,69
Creatinine_full_std,0.018298529480343943,70
Heart Rate_full_mean,0.01820061213884654,71
Platelets_last25%_std,0.017365612839026292,72
Glascow coma scale eye opening_full_std,0.01673134351287061,73
Lactate_full_max,0.01668951379226797,74
Hematocrit_last25%_std,0.016520040350621372,75
Prothrombin time_full_std,0.016303766175290658,76
Lactate_full_std,0.01611979858539042,77
Hemoglobin_last25%_std,0.014411786963805141,78
Glascow coma scale eye opening_full_max,0.01385241303395452,79
Diastolic blood pressure_last10%_max,0.013529652377391264,80
Systolic blood pressure_last25%_max,0.012954299299988235,81
White blood cell count_last25%_std,0.012939576361739672,82
Glascow coma scale eye opening_full_mean,0.012917009574966058,83
Respiratory rate_last10%_min,0.01266229273992272,84
Glascow coma scale eye opening_last10%_std,0.012363943744907688,85
Sodium_full_std,0.012060098756132643,86
Temperature_last10%_max,0.01100065102761043,87
Fraction inspired oxygen_full_min,0.010550103270712171,88
Weight_full_max,0.009961003313899671,89
Platelets_full_std,0.009182973439278881,90
Hematocrit_full_std,0.008673979588566897,91
Respiratory rate_last10%_max,0.008072974000643275,92
Glascow coma scale verbal response_last25%_std,0.0074995824671600835,93
Lactate_last25%_std,0.007380631020166641,94
Heart Rate_last10%_std,0.006814460911311509,95
Hematocrit_full_min,0.006326041290131637,96
Systolic blood pressure_last10%_min,0.0055195729410908,97
Systolic blood pressure_last25%_std,0.005440981273859041,98
Mean blood pressure_last25%_min,0.005061666997709806,99
Glascow coma scale motor response_last25%_std,0.0046918301125173515,100
Heart Rate_full_min,0.004413024612385342,101
Temperature_full_max,0.004322668891864516,102
Respiratory rate_last25%_max,0.00317562668740444,103
Hematocrit_last10%_std,0.0030562594878605813,104
Systolic blood pressure_full_max,0.0028689640548886625,105
Bilirubin_full_std,0.002806855785866557,106
Sodium_last25%_std,0.002744578259447625,107
Temperature_full_min,0.0026866756326361613,108
Diastolic blood pressure_last10%_mean,0.0024422695373476073,109
Platelets_last10%_std,0.0022567557543198397,110
Weight_last10%_std,0.0021389133458541223,111
Heart Rate_last25%_max,0.0018671456558467065,112
Potassium_full_std,0.0017582472214565242,113
Diastolic blood pressure_full_max,0.0016938227868832413,114
