Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.042197547964626575,1
Respiratory rate_last25%_mean,0.03531083804561263,2
Potassium_last10%_min,0.024391098593884185,3
Sodium_full_min,0.01513701629200747,4
White blood cell count_last10%_min,0.015098844891864081,5
Platelets_last10%_min,0.013469546497242284,6
Potassium_full_min,0.013211006620685757,7
Hemoglobin_full_max,0.01181352981915932,8
White blood cell count_full_min,0.010618603253491008,9
Fraction inspired oxygen_last10%_max,0.008745674055703237,10
Creatinine_last10%_min,0.008570957702852716,11
Lactate_full_min,0.008551408905752036,12
Diastolic blood pressure_last10%_min,0.007881347838162767,13
Fraction inspired oxygen_full_mean,0.006458190387531578,14
Heart Rate_full_mean,0.006164260439956243,15
Oxygen saturation_last10%_min,0.005858310908276243,16
White blood cell count_full_max,0.00410451398503875,17
Glascow coma scale motor response_last25%_max,0.004015395303609865,18
Temperature_last10%_min,0.0038178871262156276,19
Lactate_last25%_min,0.0037998051596714,20
Hemoglobin_full_mean,0.003469992724913134,21
Glascow coma scale verbal response_last10%_std,0.00317736319440684,22
Oxygen saturation_full_min,0.0031745151614517575,23
Creatinine_full_max,0.00311881412865236,24
Bilirubin_full_min,0.003072346555966189,25
Oxygen saturation_last25%_min,0.0028462919213153243,26
Glascow coma scale eye opening_last25%_min,0.0028311571140541324,27
Heart Rate_last25%_mean,0.0027074164332596927,28
Hematocrit_last10%_std,0.002647665614067987,29
Systolic blood pressure_last25%_mean,0.0026385947971924355,30
Glascow coma scale motor response_last25%_min,0.002605733945342051,31
Respiratory rate_last10%_mean,0.0023882892273919838,32
Heart Rate_last10%_std,0.0023691511777454806,33
Systolic blood pressure_last25%_min,0.002355580740290898,34
Glascow coma scale eye opening_last10%_min,0.0023158195245835045,35
Temperature_last25%_min,0.0023088739781463603,36
Weight_full_min,0.0022827016010148688,37
Prothrombin time_last10%_min,0.00223401571599284,38
Sodium_last10%_min,0.0019317830694880397,39
Glascow coma scale motor response_full_min,0.001840230248798292,40
White blood cell count_full_std,0.0017654483380753231,41
Hemoglobin_last25%_std,0.0017391172767607641,42
Diastolic blood pressure_last25%_mean,0.0016292829703723497,43
Potassium_full_max,0.001601762076289414,44
Creatinine_full_std,0.0015237374897642086,45
Systolic blood pressure_last10%_max,0.0015172748548879264,46
Glascow coma scale motor response_full_mean,0.0015154208867877168,47
Hemoglobin_full_min,0.0014500225716046718,48
Lactate_last10%_min,0.0013680083173714275,49
Fraction inspired oxygen_last25%_max,0.0013576343589902914,50
Heart Rate_full_min,0.0013574194228382819,51
Weight_full_mean,0.001352063563144365,52
Hematocrit_last10%_min,0.001282388706113223,53
Mean blood pressure_last10%_min,0.0012605037489266432,54
Systolic blood pressure_last10%_mean,0.0011800482197249047,55
Fraction inspired oxygen_last25%_min,0.0010805582554947349,56
Glascow coma scale verbal response_full_min,0.0009838880576329154,57
Sodium_full_max,0.0009546955819308703,58
Hemoglobin_full_std,0.0009523332498559589,59
Glascow coma scale verbal response_full_mean,0.0009124155124444815,60
Glascow coma scale motor response_last10%_max,0.0008920590885765164,61
Sodium_full_std,0.0008854297734885737,62
Lactate_full_mean,0.0008516646903652257,63
Lactate_last25%_max,0.0008318229138913757,64
Glascow coma scale eye opening_full_max,0.000814815246209313,65
Hematocrit_full_min,0.000795338796718263,66
Prothrombin time_full_mean,0.0007919846928829127,67
Systolic blood pressure_full_min,0.0007745408502821186,68
Respiratory rate_full_min,0.0007563934700159056,69
Systolic blood pressure_last10%_std,0.0007190272562207931,70
Sodium_last10%_std,0.0007058075681882352,71
Systolic blood pressure_full_mean,0.000657466936359494,72
White blood cell count_last10%_std,0.000654711370791379,73
Diastolic blood pressure_last25%_min,0.0006242918401080581,74
Diastolic blood pressure_last25%_max,0.0006112151937704021,75
Potassium_full_mean,0.0006100017002177026,76
Diastolic blood pressure_last10%_mean,0.0005982012054249853,77
Glascow coma scale motor response_last10%_min,0.0005715618087738282,78
Bilirubin_full_std,0.0005385147200272385,79
Systolic blood pressure_last25%_std,0.0005286367312806723,80
Fraction inspired oxygen_full_max,0.0005208430656848959,81
Heart Rate_last10%_max,0.0004930448065837873,82
White blood cell count_last25%_std,0.0004796402053990362,83
Glascow coma scale eye opening_full_min,0.00047653611691485313,84
Prothrombin time_full_max,0.00044161553571603324,85
Diastolic blood pressure_full_max,0.00043798965399574315,86
Glascow coma scale motor response_last10%_std,0.0003661209479407285,87
Prothrombin time_full_min,0.00035687435463922773,88
Glascow coma scale verbal response_last25%_std,0.00035683970207027726,89
Glascow coma scale eye opening_last10%_max,0.00034766431504632033,90
Sodium_full_mean,0.0003466545353997521,91
Glucose_full_min,0.00034635931617868216,92
Fraction inspired oxygen_last10%_min,0.00031021349545838,93
Glascow coma scale motor response_full_std,0.00030482312308871274,94
Potassium_last25%_min,0.00030379699108129505,95
Glascow coma scale motor response_last25%_std,0.0003018321833776862,96
Glascow coma scale eye opening_last10%_std,0.0002812250616877557,97
Respiratory rate_last25%_min,0.0002780978140167187,98
Mean blood pressure_last25%_min,0.0002593659270489513,99
Glascow coma scale eye opening_last25%_std,0.00023727489922519815,100
Creatinine_full_mean,0.00023571952769070242,101
Systolic blood pressure_last10%_min,0.00020117418597028863,102
Glascow coma scale verbal response_full_std,0.00017814438632673382,103
Potassium_last25%_max,0.00016661617427331078,104
Hematocrit_full_std,0.000161906647318497,105
Creatinine_full_min,0.00015529286246703387,106
Glascow coma scale motor response_full_max,0.00014839697109705427,107
Platelets_full_mean,0.00013771534179456856,108
Platelets_last25%_std,0.00012672530666517468,109
Sodium_last25%_std,0.00012470279112573897,110
