Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Respiratory rate_last25%_mean,0.014660641025233423,2,0.03531083804561263,2,0.020650197020379207,0.020650197020379207,0
Potassium_last10%_min,0.008400873723105945,7,0.024391098593884185,3,0.01599022487077824,0.01599022487077824,-4
Sodium_full_min,0.004422475950141503,15,0.01513701629200747,4,0.010714540341865968,0.010714540341865968,-11
Potassium_full_min,0.003924392082301829,17,0.013211006620685757,7,0.009286614538383928,0.009286614538383928,-10
Glascow coma scale verbal response_last10%_min,0.035012684539337834,1,0.042197547964626575,1,0.007184863425288741,0.007184863425288741,0
Lactate_full_min,0.0046905628047975165,12,0.008551408905752036,12,0.0038608461009545193,0.0038608461009545193,0
Hemoglobin_full_max,0.008369099109446368,8,0.01181352981915932,8,0.0034444307097129517,0.0034444307097129517,0
Platelets_last10%_min,0.010865972953446974,5,0.013469546497242284,6,0.0026035735437953105,0.0026035735437953105,1
Creatinine_full_max,0.0009361759246446713,48,0.00311881412865236,24,0.002182638204007689,0.002182638204007689,-24
Diastolic blood pressure_last10%_min,0.0057579048722290185,11,0.007881347838162767,13,0.0021234429659337485,0.0021234429659337485,2
Creatinine_last10%_min,0.006560919447885134,10,0.008570957702852716,11,0.0020100382549675822,0.0020100382549675822,1
Temperature_last10%_min,0.001955510334494924,30,0.0038178871262156276,19,0.0018623767917207035,0.0018623767917207035,-11
Respiratory rate_last10%_mean,0.0007312332623679055,56,0.0023882892273919838,32,0.0016570559650240782,0.0016570559650240782,-24
Heart Rate_full_mean,0.004543190282281742,13,0.006164260439956243,15,0.0016210701576745007,0.0016210701576745007,2
Sodium_last10%_min,0.00035592199098542895,86,0.0019317830694880397,39,0.0015758610785026107,0.0015758610785026107,-47
Glascow coma scale eye opening_last10%_min,0.000824292514586869,52,0.0023158195245835045,35,0.0014915270099966353,0.0014915270099966353,-17
Lactate_last25%_min,0.0023405841936079393,23,0.0037998051596714,20,0.0014592209660634608,0.0014592209660634608,-3
Oxygen saturation_last10%_min,0.004427532912874532,14,0.005858310908276243,16,0.001430777995401711,0.001430777995401711,2
Glascow coma scale verbal response_last10%_std,0.0017703598031642875,33,0.00317736319440684,22,0.0014070033912425524,0.0014070033912425524,-11
Oxygen saturation_last25%_min,0.001536054779933005,41,0.0028462919213153243,26,0.0013102371413823194,0.0013102371413823194,-15
Potassium_full_max,0.0003055298454883265,91,0.001601762076289414,44,0.0012962322308010875,0.0012962322308010875,-47
Glascow coma scale eye opening_last25%_min,0.001646908601994069,37,0.0028311571140541324,27,0.0011842485120600633,0.0011842485120600633,-10
Glascow coma scale motor response_last25%_std,0.0014746679271252835,42,0.0003018321833776862,96,-0.0011728357437475973,0.0011728357437475973,54
White blood cell count_last10%_min,0.014003919892668944,3,0.015098844891864081,5,0.001094924999195137,0.001094924999195137,2
Oxygen saturation_full_min,0.002091305963301771,26,0.0031745151614517575,23,0.0010832091981499863,0.0010832091981499863,-3
Creatinine_full_std,0.00046497317740580596,77,0.0015237374897642086,45,0.0010587643123584026,0.0010587643123584026,-32
Systolic blood pressure_last10%_max,0.00046195289125892117,78,0.0015172748548879264,46,0.0010553219636290053,0.0010553219636290053,-32
Diastolic blood pressure_last25%_mean,0.0006409841939696623,62,0.0016292829703723497,43,0.0009882987764026872,0.0009882987764026872,-19
White blood cell count_full_min,0.011543704703167089,4,0.010618603253491008,9,-0.0009251014496760804,0.0009251014496760804,5
Systolic blood pressure_full_mean,0.0015504408855697952,40,0.000657466936359494,72,-0.0008929739492103012,0.0008929739492103012,32
Diastolic blood pressure_last10%_mean,0.0014560592353466655,43,0.0005982012054249853,77,-0.0008578580299216802,0.0008578580299216802,34
Hemoglobin_full_mean,0.0026884138303762597,20,0.003469992724913134,21,0.0007815788945368745,0.0007815788945368745,1
Systolic blood pressure_last25%_min,0.0015890512827806905,38,0.002355580740290898,34,0.0007665294575102074,0.0007665294575102074,-4
Glascow coma scale motor response_full_mean,0.0007551102544614069,55,0.0015154208867877168,47,0.0007603106323263098,0.0007603106323263098,-8
Hemoglobin_full_min,0.0007130888576602632,58,0.0014500225716046718,48,0.0007369337139444086,0.0007369337139444086,-10
Heart Rate_full_min,0.002076513662130486,29,0.0013574194228382819,51,-0.0007190942392922043,0.0007190942392922043,22
Weight_full_min,0.0015760236811998979,39,0.0022827016010148688,37,0.0007066779198149709,0.0007066779198149709,-2
Sodium_full_max,0.0002620827684353128,95,0.0009546955819308703,58,0.0006926128134955576,0.0006926128134955576,-37
Prothrombin time_full_mean,0.00013482372057975456,109,0.0007919846928829127,67,0.0006571609723031582,0.0006571609723031582,-42
Systolic blood pressure_last10%_mean,0.0005256573530316578,70,0.0011800482197249047,55,0.0006543908666932468,0.0006543908666932468,-15
Weight_full_mean,0.0007168311083329807,57,0.001352063563144365,52,0.0006352324548113843,0.0006352324548113843,-5
Glascow coma scale motor response_full_std,0.0009348200715523496,49,0.00030482312308871274,94,-0.0006299969484636369,0.0006299969484636369,45
Temperature_last25%_min,0.0016897054153851615,36,0.0023088739781463603,36,0.0006191685627611988,0.0006191685627611988,0
Potassium_full_mean,0.0,131,0.0006100017002177026,76,0.0006100017002177026,0.0006100017002177026,-55
Lactate_last10%_min,0.0007593368591006554,54,0.0013680083173714275,49,0.0006086714582707721,0.0006086714582707721,-5
Heart Rate_last10%_mean,0.0006086400738378834,64,0.0,146,-0.0006086400738378834,0.0006086400738378834,82
Glascow coma scale verbal response_full_max,0.0005618806814434133,67,0.0,135,-0.0005618806814434133,0.0005618806814434133,68
Heart Rate_last10%_std,0.0018078345785007047,32,0.0023691511777454806,33,0.0005613165992447758,0.0005613165992447758,1
White blood cell count_full_max,0.003546756520792716,18,0.00410451398503875,17,0.0005577574642460338,0.0005577574642460338,-1
Respiratory rate_full_min,0.00021724911245872238,97,0.0007563934700159056,69,0.0005391443575571832,0.0005391443575571832,-28
Glascow coma scale motor response_last25%_min,0.0020801904693018188,28,0.002605733945342051,31,0.0005255434760402323,0.0005255434760402323,3
Prothrombin time_last10%_min,0.0017094701887457326,34,0.00223401571599284,38,0.0005245455272471073,0.0005245455272471073,4
Diastolic blood pressure_full_min,0.0005198454151675565,72,0.0,119,-0.0005198454151675565,0.0005198454151675565,47
Glascow coma scale verbal response_full_min,0.0004656094535938149,76,0.0009838880576329154,57,0.0005182786040391005,0.0005182786040391005,-19
Fraction inspired oxygen_last25%_max,0.0018673704170298197,31,0.0013576343589902914,50,-0.0005097360580395283,0.0005097360580395283,19
Hematocrit_full_std,0.000671253516157201,60,0.000161906647318497,105,-0.000509346868838704,0.000509346868838704,45
Lactate_full_mean,0.00038713413273889336,84,0.0008516646903652257,63,0.00046453055762633237,0.00046453055762633237,-21
Platelets_full_std,0.0005051325044895927,73,4.925965850992401e-05,116,-0.0004558728459796687,0.0004558728459796687,43
Fraction inspired oxygen_full_max,7.065663817569153e-05,114,0.0005208430656848959,81,0.00045018642750920435,0.00045018642750920435,-33
Hematocrit_last10%_std,0.0022519854661746334,24,0.002647665614067987,29,0.00039568014789335363,0.00039568014789335363,5
White blood cell count_full_std,0.002146916909020675,25,0.0017654483380753231,41,-0.000381468570945352,0.000381468570945352,16
Systolic blood pressure_full_min,0.0004267799876029006,81,0.0007745408502821186,68,0.00034776086267921796,0.00034776086267921796,-13
Sodium_full_mean,0.0,157,0.0003466545353997521,91,0.0003466545353997521,0.0003466545353997521,-66
Glascow coma scale eye opening_full_min,0.00013920870276668836,107,0.00047653611691485313,84,0.00033732741414816477,0.00033732741414816477,-23
Hematocrit_last25%_std,0.0004582111209378287,79,0.00012446557768445746,111,-0.0003337455432533712,0.0003337455432533712,32
Hemoglobin_full_std,0.0012746202658907777,44,0.0009523332498559589,59,-0.00032228701603481875,0.00032228701603481875,15
Potassium_last25%_min,0.0,133,0.00030379699108129505,95,0.00030379699108129505,0.00030379699108129505,-38
Diastolic blood pressure_last25%_min,0.0003232249431381637,88,0.0006242918401080581,74,0.0003010668969698944,0.0003010668969698944,-14
Sodium_last10%_std,0.00040674809349287703,83,0.0007058075681882352,71,0.0002990594746953582,0.0002990594746953582,-12
Glascow coma scale motor response_last10%_max,0.0005963053606109819,65,0.0008920590885765164,61,0.0002957537279655345,0.0002957537279655345,-4
Fraction inspired oxygen_last25%_min,0.0007886664877438348,53,0.0010805582554947349,56,0.00029189176775090003,0.00029189176775090003,3
Hematocrit_full_max,0.00031557673471600844,90,3.376226436839532e-05,117,-0.0002818144703476131,0.0002818144703476131,27
Heart Rate_last25%_mean,0.0024370127646006962,22,0.0027074164332596927,28,0.00027040366865899645,0.00027040366865899645,6
Fraction inspired oxygen_full_min,0.0002656768854209086,94,0.0,123,-0.0002656768854209086,0.0002656768854209086,29
Hematocrit_full_min,0.0005312503366171059,69,0.000795338796718263,66,0.00026408846010115715,0.00026408846010115715,-3
Lactate_last25%_max,0.0005719257051127822,66,0.0008318229138913757,64,0.0002598972087785935,0.0002598972087785935,-2
Prothrombin time_full_max,0.00018947629951726995,100,0.00044161553571603324,85,0.0002521392361987633,0.0002521392361987633,-15
Glascow coma scale motor response_full_min,0.002084888797380903,27,0.001840230248798292,40,-0.000244658548582611,0.000244658548582611,13
Glascow coma scale verbal response_full_mean,0.0011551373243895923,46,0.0009124155124444815,60,-0.00024272181194511086,0.00024272181194511086,14
Glascow coma scale eye opening_last25%_std,0.0,119,0.00023727489922519815,100,0.00023727489922519815,0.00023727489922519815,-19
Systolic blood pressure_last10%_std,0.0009272567940682687,51,0.0007190272562207931,70,-0.00020822953784747564,0.00020822953784747564,19
Mean blood pressure_last25%_min,5.36625741877967e-05,116,0.0002593659270489513,99,0.00020570335286115458,0.00020570335286115458,-17
Systolic blood pressure_last10%_min,0.0,154,0.00020117418597028863,102,0.00020117418597028863,0.00020117418597028863,-52
Glascow coma scale eye opening_full_max,0.0006217604480837211,63,0.000814815246209313,65,0.0001930547981255919,0.0001930547981255919,2
Respiratory rate_last25%_min,9.949919842545761e-05,113,0.0002780978140167187,98,0.0001785986155912611,0.0001785986155912611,-15
Potassium_full_std,0.00017832121780978415,101,0.0,137,-0.00017832121780978415,0.00017832121780978415,36
Glascow coma scale eye opening_last10%_max,0.00016993098127791054,104,0.00034766431504632033,90,0.0001777333337684098,0.0001777333337684098,-14
Bilirubin_full_std,0.0007090554130822102,59,0.0005385147200272385,79,-0.00017054069305497176,0.00017054069305497176,20
White blood cell count_last10%_std,0.0004926439022925889,74,0.000654711370791379,73,0.00016206746849879012,0.00016206746849879012,-1
Creatinine_full_min,0.0,120,0.00015529286246703387,106,0.00015529286246703387,0.00015529286246703387,-14
Mean blood pressure_last10%_min,0.001109291070976416,47,0.0012605037489266432,54,0.00015121267795022717,0.00015121267795022717,7
Glascow coma scale eye opening_full_mean,0.00013978476985149107,106,0.0,125,-0.00013978476985149107,0.00013978476985149107,19
Glascow coma scale eye opening_last25%_max,0.00013528802714462486,108,0.0,120,-0.00013528802714462486,0.00013528802714462486,12
Systolic blood pressure_last25%_std,0.0006631999788887005,61,0.0005286367312806723,80,-0.00013456324760802824,0.00013456324760802824,19
Prothrombin time_full_min,0.0002255315873229834,96,0.00035687435463922773,88,0.00013134276731624432,0.00013134276731624432,-8
Systolic blood pressure_last25%_mean,0.002510607052117239,21,0.0026385947971924355,30,0.0001279877450751964,0.0001279877450751964,9
Sodium_last25%_std,0.0,163,0.00012470279112573897,110,0.00012470279112573897,0.00012470279112573897,-53
Glascow coma scale eye opening_full_std,0.00011628987925337288,112,0.0,124,-0.00011628987925337288,0.00011628987925337288,12
Fraction inspired oxygen_full_mean,0.006571062764700425,9,0.006458190387531578,14,-0.00011287237716884734,0.00011287237716884734,5
Lactate_full_std,0.0,138,0.00011142427181001823,112,0.00011142427181001823,0.00011142427181001823,-26
Respiratory rate_last10%_min,0.0,135,0.00011124215550766155,113,0.00011124215550766155,0.00011124215550766155,-22
Bilirubin_full_min,0.0029624399203763644,19,0.003072346555966189,25,0.00010990663558982459,0.00010990663558982459,6
Glascow coma scale eye opening_last10%_std,0.0001740673795632288,102,0.0002812250616877557,97,0.00010715768212452692,0.00010715768212452692,-5
Temperature_last10%_max,0.0001326826623889286,110,2.7647797631380986e-05,118,-0.00010503486475754762,0.00010503486475754762,8
Fraction inspired oxygen_last10%_min,0.0004149347647989348,82,0.00031021349545838,93,-0.0001047212693405548,0.0001047212693405548,11
Weight_last10%_std,0.0,158,0.0001021178107774391,114,0.0001021178107774391,0.0001021178107774391,-44
Platelets_full_max,0.0,132,0.00010101309937138137,115,0.00010101309937138137,0.00010101309937138137,-17
Platelets_last25%_std,0.00021297919675947085,98,0.00012672530666517468,109,-8.625389009429618e-05,8.625389009429618e-05,11
Glascow coma scale motor response_last25%_max,0.003933182329465575,16,0.004015395303609865,18,8.221297414429032e-05,8.221297414429032e-05,2
Glascow coma scale motor response_last10%_min,0.0004912559216568549,75,0.0005715618087738282,78,8.030588711697333e-05,8.030588711697333e-05,3
Glucose_full_min,0.00027847833560760006,93,0.00034635931617868216,92,6.78809805710821e-05,6.78809805710821e-05,-1
Diastolic blood pressure_full_max,0.00037097728327240806,85,0.00043798965399574315,86,6.701237072333509e-05,6.701237072333509e-05,1
Creatinine_full_mean,0.0003011590873598859,92,0.00023571952769070242,101,-6.543955966918346e-05,6.543955966918346e-05,9
Systolic blood pressure_last25%_max,6.535561429780095e-05,115,0.0,162,-6.535561429780095e-05,6.535561429780095e-05,47
Diastolic blood pressure_last25%_max,0.0005551514049315743,68,0.0006112151937704021,75,5.606378883882778e-05,5.606378883882778e-05,7
Glascow coma scale motor response_last10%_std,0.0003158988242767483,89,0.0003661209479407285,87,5.02221236639802e-05,5.02221236639802e-05,-2
Platelets_full_min,4.89602158240402e-05,117,0.0,147,-4.89602158240402e-05,4.89602158240402e-05,30
Sodium_full_std,0.0009316076683060236,50,0.0008854297734885737,62,-4.617789481744985e-05,4.617789481744985e-05,12
White blood cell count_last25%_std,0.0005239280982948109,71,0.0004796402053990362,83,-4.4287892895774684e-05,4.4287892895774684e-05,12
Heart Rate_last10%_max,0.0004493796046109752,80,0.0004930448065837873,82,4.366520197281209e-05,4.366520197281209e-05,2
Hemoglobin_last25%_std,0.0016991259492916916,35,0.0017391172767607641,42,3.9991327469072547e-05,3.9991327469072547e-05,7
Fraction inspired oxygen_last10%_max,0.008706078178706502,6,0.008745674055703237,10,3.959587699673556e-05,3.959587699673556e-05,4
Glascow coma scale verbal response_last25%_std,0.0003283859897253518,87,0.00035683970207027726,89,2.8453712344925458e-05,2.8453712344925458e-05,2
Hematocrit_last10%_min,0.0012578661147931408,45,0.001282388706113223,53,2.452259132008222e-05,2.452259132008222e-05,8
Potassium_last25%_max,0.00014422622712343308,105,0.00016661617427331078,104,2.23899471498777e-05,2.23899471498777e-05,-1
Glascow coma scale motor response_full_max,0.00017022363387240677,103,0.00014839697109705427,107,-2.1826662775352494e-05,2.1826662775352494e-05,4
Platelets_full_mean,0.00011845691781909562,111,0.00013771534179456856,108,1.9258423975472945e-05,1.9258423975472945e-05,-3
Glascow coma scale verbal response_full_std,0.0001929315860164496,99,0.00017814438632673382,103,-1.4787199689715792e-05,1.4787199689715792e-05,4
Glucose_last10%_min,0.0,124,0.0,132,0.0,0.0,8
Diastolic blood pressure_full_mean,0.0,121,0.0,121,0.0,0.0,0
Glucose_full_max,0.0,118,0.0,134,0.0,0.0,16
Glucose_last10%_mean,0.0,123,0.0,131,0.0,0.0,8
Diastolic blood pressure_last10%_max,0.0,122,0.0,122,0.0,0.0,0
Glucose_full_mean,0.0,125,0.0,133,0.0,0.0,8
Glucose_last25%_mean,0.0,127,0.0,127,0.0,0.0,0
Glucose_last10%_max,0.0,130,0.0,130,0.0,0.0,0
Respiratory rate_last10%_max,0.0,134,0.0,136,0.0,0.0,2
Prothrombin time_full_std,0.0,137,0.0,140,0.0,0.0,3
Lactate_full_max,0.0,139,0.0,155,0.0,0.0,16
