Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Potassium_last10%_min,0.056312677,30,0.102859475,7,0.0465468,0.0465468,-23
Sodium_full_max,0.047805313,38,0.088428125,15,0.04062281,0.04062281,-23
Systolic blood pressure_last10%_mean,0.044263825,42,0.07520795,19,0.030944124,0.030944124,-23
Respiratory rate_last25%_mean,0.116163746,6,0.14672086,4,0.03055711,0.03055711,-2
Glascow coma scale verbal response_last10%_min,0.43552092,1,0.40508378,1,-0.030437142,0.030437142,0
Systolic blood pressure_last25%_mean,0.023505269,82,0.04524492,45,0.021739652,0.021739652,-37
Heart Rate_last10%_mean,0.07665205,15,0.09738625,9,0.020734198,0.020734198,-6
Systolic blood pressure_last25%_min,0.04264188,44,0.061635822,30,0.01899394,0.01899394,-14
Sodium_last10%_min,0.0152019765,107,0.034108125,60,0.018906148,0.018906148,-47
Creatinine_full_min,0.038148236,52,0.052040104,37,0.013891868,0.013891868,-15
Sodium_full_mean,0.017891053,99,0.030226424,68,0.012335371,0.012335371,-31
Respiratory rate_full_min,0.034106113,58,0.04596346,43,0.011857346,0.011857346,-15
Sodium_full_min,0.0070358245,150,0.017986022,98,0.0109501975,0.0109501975,-52
Creatinine_last10%_min,0.18115549,3,0.19053023,2,0.009374738,0.009374738,-1
Respiratory rate_last10%_mean,0.02420747,77,0.03292897,63,0.008721501,0.008721501,-14
Creatinine_full_max,0.015778169,104,0.023606129,85,0.00782796,0.00782796,-19
Heart Rate_full_mean,0.03329228,60,0.040898908,50,0.0076066293,0.0076066293,-10
Glascow coma scale eye opening_last25%_max,0.045700017,40,0.03823765,54,-0.0074623674,0.0074623674,14
Temperature_last10%_max,0.025635598,73,0.032529015,64,0.006893417,0.006893417,-9
Potassium_last25%_max,0.01966016,93,0.02648475,78,0.0068245903,0.0068245903,-15
Temperature_full_min,0.07667561,14,0.0834616,16,0.006785989,0.006785989,2
Glascow coma scale eye opening_full_mean,0.041504618,46,0.035223935,59,-0.006280683,0.006280683,13
Glascow coma scale eye opening_last10%_max,0.054998178,32,0.048924465,40,-0.0060737133,0.0060737133,8
Weight_full_max,0.08909122,10,0.09500458,10,0.005913362,0.005913362,0
Heart Rate_last25%_min,0.02543197,74,0.031300496,65,0.005868526,0.005868526,-9
