Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
mask->Glucose,0.0001466790136421453,28,0.00037066811131206335,15,0.00022398909766991804,0.00022398909766991804,-13
Prothrombin time,0.0002857104864221584,18,0.00023569210157162147,21,-5.0018384850536945e-05,5.0018384850536945e-05,3
Glascow coma scale verbal response->Incomprehensible sounds,9.366092978057253e-05,34,7.016955177632774e-05,38,-2.349137800424479e-05,2.349137800424479e-05,4
mask->Fraction inspired oxygen,0.000464878984508576,9,0.00048822787278647253,9,2.3348888277896517e-05,2.3348888277896517e-05,0
mask->pH,0.0002810371113033487,19,0.00025797825956387166,19,-2.3058851739477025e-05,2.3058851739477025e-05,0
Heart Rate,0.0005296125599557195,5,0.0005457911008008511,5,1.617854084513153e-05,1.617854084513153e-05,0
Weight,0.00042314649991484986,13,0.00043880329278117786,12,1.5656792866328e-05,1.5656792866328e-05,-1
Glascow coma scale eye opening->4 Spontaneously,0.0001400567642558345,30,0.00012480587659053133,30,-1.5250887665303178e-05,1.5250887665303178e-05,0
Temperature,0.00045878714996388923,10,0.00047275060031588324,10,1.3963450351994007e-05,1.3963450351994007e-05,0
Glascow coma scale eye opening->To Pain,0.00023310665198704705,20,0.0002459502546582497,20,1.2843602671202669e-05,1.2843602671202669e-05,0
Glascow coma scale motor response->No response,0.0001935324119058225,25,0.00020536221393171246,25,1.1829802025889967e-05,1.1829802025889967e-05,0
Glascow coma scale verbal response->Oriented,0.0006052368026474327,3,0.0005946963718993444,3,-1.0540430748088312e-05,1.0540430748088312e-05,0
Bilirubin,0.0005445120942134404,4,0.0005549919121996698,4,1.0479817986229403e-05,1.0479817986229403e-05,0
Systolic blood pressure,0.00030289217606601325,17,0.0003122157173914718,18,9.323541325458571e-06,9.323541325458571e-06,1
Oxygen saturation,4.218108231967655e-05,44,3.2952512223765653e-05,47,-9.228570095910896e-06,9.228570095910896e-06,3
Glascow coma scale verbal response->Inappropriate Words,5.937789100163807e-05,41,5.014957688812318e-05,42,-9.22831411351489e-06,9.22831411351489e-06,1
Fraction inspired oxygen,0.00044038632074330656,11,0.0004488036369550452,11,8.417316211738635e-06,8.417316211738635e-06,0
Platelets,0.00015492913994370197,26,0.00014690107467628732,29,-8.02806526741464e-06,8.02806526741464e-06,3
White blood cell count,0.0005104680766785982,7,0.0005033323026270042,8,-7.135774051593999e-06,7.135774051593999e-06,1
mask->Glascow coma scale verbal response,9.226104636906208e-05,36,8.563962031909807e-05,36,-6.621426049964002e-06,6.621426049964002e-06,0
mask->Oxygen saturation,0.0003171485348454715,15,0.0003236796402624771,16,6.531105417005578e-06,6.531105417005578e-06,1
Potassium,0.000308068528496252,16,0.0003138155596326514,17,5.747031136399405e-06,5.747031136399405e-06,1
mask->Hematocrit,0.0003739349762475658,14,0.00037965631980502754,14,5.7213435574617576e-06,5.7213435574617576e-06,0
Hematocrit,0.00021987345591263806,21,0.00021456505640471516,23,-5.308399507922902e-06,5.308399507922902e-06,2
Creatinine,0.0010423476549818822,1,0.0010377909790867485,1,-4.5566758951336595e-06,4.5566758951336595e-06,0
Hemoglobin,0.00014422342531409237,29,0.00014819219312187104,28,3.968767807778674e-06,3.968767807778674e-06,-1
Glascow coma scale verbal response->No Response-ETT,0.0005122549532407264,6,0.0005161665821177459,6,3.911628877019467e-06,3.911628877019467e-06,0
mask->Prothrombin time,7.022696247167423e-05,39,6.647525912558972e-05,40,-3.751703346084511e-06,3.751703346084511e-06,1
Glascow coma scale eye opening->To Speech,0.00021644653207368437,22,0.0002199505588608014,22,3.504026787117025e-06,3.504026787117025e-06,0
mask->Diastolic blood pressure,9.267801958446974e-05,35,8.989173060270764e-05,34,-2.7862889817621006e-06,2.7862889817621006e-06,-1
mask->Glascow coma scale eye opening,0.00015473877871338687,27,0.0001519939425183377,27,-2.7448361950491835e-06,2.7448361950491835e-06,0
Glucose,4.347297838183063e-06,60,7.006071044957273e-06,59,2.6587732067742096e-06,2.6587732067742096e-06,-1
