Feature,Mean_Abs_SHAP,Rank
Glascow coma scale motor response->Obeys Commands,0.0010736179177703795,1
Creatinine,0.0009804355115201582,2
Fraction inspired oxygen,0.000849871433449463,3
White blood cell count,0.0007717969329275961,4
mask->Oxygen saturation,0.0007267208019210452,5
Glascow coma scale verbal response->Oriented,0.0006766145531954241,6
Prothrombin time,0.0006758100026322793,7
Glascow coma scale verbal response->No Response-ETT,0.0006262906091258546,8
Potassium,0.0005906298902598828,9
Diastolic blood pressure,0.000590430082662532,10
mask->pH,0.0005825180776661413,11
Temperature,0.0005646150590316464,12
Systolic blood pressure,0.0005234246979467727,13
Bilirubin,0.0005189446342747001,14
mask->Fraction inspired oxygen,0.0004842077134640758,15
Lactate,0.00045035539886199014,16
Heart Rate,0.0004396651342932932,17
Weight,0.0004391070446085051,18
Glascow coma scale verbal response->Confused,0.0002948759979033433,19
Hemoglobin,0.00028334796269342545,20
Glascow coma scale eye opening->Spontaneously,0.0002776456589827873,21
Glascow coma scale eye opening->To Pain,0.00027018674207176775,22
mask->Mean blood pressure,0.0002405004412568831,23
mask->Glucose,0.00023293545653938744,24
Glascow coma scale eye opening->To Speech,0.0002311093736621017,25
Sodium,0.000229228654207357,26
mask->Bilirubin,0.0001860987376049387,27
Platelets,0.00018256005241339783,28
mask->Glascow coma scale eye opening,0.00017174511332454493,29
mask->Hematocrit,0.00017053083549204177,30
Glascow coma scale motor response->Flex-withdraws,0.00015573065335450732,31
mask->Temperature,0.0001556267935475289,32
Glascow coma scale motor response->No response,0.00015469572805232258,33
Glascow coma scale eye opening->4 Spontaneously,0.0001371949308652982,34
mask->Prothrombin time,0.00012474744629919793,35
Oxygen saturation,0.00011819909088387958,36
Glascow coma scale verbal response->Incomprehensible sounds,0.00011279227203470401,37
mask->Creatinine,9.137785199584765e-05,38
mask->Diastolic blood pressure,8.846521956375912e-05,39
Hematocrit,7.812818367788984e-05,40
mask->Glascow coma scale verbal response,7.187887253802728e-05,41
mask->Weight,6.927954980108751e-05,42
Glascow coma scale motor response->Localizes Pain,6.552137175864147e-05,43
mask->Lactate,6.508771598382202e-05,44
mask->Glascow coma scale motor response,5.682211923659787e-05,45
Glascow coma scale verbal response->No Response,5.389848563816393e-05,46
mask->Hemoglobin,5.348255165511635e-05,47
mask->Potassium,5.136167160750783e-05,48
mask->White blood cell count,4.8993833013745375e-05,49
Height,4.8887173672178596e-05,50
mask->Platelets,3.310963038900804e-05,51
Glascow coma scale motor response->Abnormal extension,2.7241262976796798e-05,52
mask->Sodium,2.0294599469315607e-05,53
Glascow coma scale verbal response->5 Oriented,1.5710712906398232e-05,54
Glascow coma scale verbal response->Inappropriate Words,1.553711301696125e-05,55
mask->Heart Rate,1.3984288470601022e-05,56
mask->Systolic blood pressure,9.162048779129158e-06,57
Glascow coma scale motor response->6 Obeys Commands,8.181540852306978e-06,58
Glucose,3.1358895320637965e-06,59
Mean blood pressure,2.8289985450338293e-06,60
Glascow coma scale motor response->Abnormal Flexion,2.266607940718248e-06,61
mask->Height,4.413845402787923e-07,62
mask->Respiratory rate,2.515137415100005e-07,63
Respiratory rate,8.911130906538628e-09,64
pH,6.855007034917635e-09,65
Glascow coma scale total->14,0.0,66
Glascow coma scale total->12,0.0,67
Glascow coma scale total->13,0.0,68
Glascow coma scale total->10,0.0,69
Glascow coma scale total->11,0.0,70
Glascow coma scale motor response->2 Abnorm extensn,0.0,71
Glascow coma scale motor response->5 Localizes Pain,0.0,72
Glascow coma scale motor response->4 Flex-withdraws,0.0,73
Capillary refill rate->1.0,0.0,74
Capillary refill rate->0.0,0.0,75
Glascow coma scale eye opening->1 No Response,0.0,76
Glascow coma scale eye opening->None,0.0,77
Glascow coma scale eye opening->2 To pain,0.0,78
Glascow coma scale motor response->1 No Response,0.0,79
Glascow coma scale motor response->3 Abnorm flexion,0.0,80
Glascow coma scale eye opening->3 To speech,0.0,81
Glascow coma scale total->15,0.0,82
Glascow coma scale verbal response->2 Incomp sounds,0.0,83
Glascow coma scale total->6,0.0,84
Glascow coma scale verbal response->4 Confused,0.0,85
Glascow coma scale verbal response->3 Inapprop words,0.0,86
Glascow coma scale total->5,0.0,87
Glascow coma scale total->3,0.0,88
Glascow coma scale verbal response->1 No Response,0.0,89
Glascow coma scale total->8,0.0,90
Glascow coma scale total->9,0.0,91
Glascow coma scale verbal response->1.0 ET/Trach,0.0,92
Glascow coma scale total->7,0.0,93
Glascow coma scale total->4,0.0,94
mask->Glascow coma scale total,0.0,95
mask->Capillary refill rate,0.0,96
