Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
mask->Bilirubin,0.0003753887002110886,19,0.0001860987376049387,27,-0.00018928996260614988,0.00018928996260614988,8
Fraction inspired oxygen,0.0007001898489420382,4,0.000849871433449463,3,0.0001496815845074248,0.0001496815845074248,-1
mask->Oxygen saturation,0.0006123658770629476,5,0.0007267208019210452,5,0.00011435492485809765,0.00011435492485809765,0
Creatinine,0.0008734294606194074,2,0.0009804355115201582,2,0.00010700605090075083,0.00010700605090075083,0
Prothrombin time,0.0005932859940263195,8,0.0006758100026322793,7,8.252400860595975e-05,8.252400860595975e-05,-1
Glascow coma scale eye opening->To Pain,0.00019545249723248998,27,0.00027018674207176775,22,7.473424483927778e-05,7.473424483927778e-05,-5
Glascow coma scale motor response->Obeys Commands,0.0010011932878046977,1,0.0010736179177703795,1,7.24246299656818e-05,7.24246299656818e-05,0
Glascow coma scale verbal response->Oriented,0.0006078120428770869,7,0.0006766145531954241,6,6.880251031833725e-05,6.880251031833725e-05,-1
Glascow coma scale verbal response->Confused,0.0003570349689900169,20,0.0002948759979033433,19,-6.215897108667362e-05,6.215897108667362e-05,-1
Height,9.21638387814266e-05,38,4.8887173672178596e-05,50,-4.327666510924801e-05,4.327666510924801e-05,12
mask->Glucose,0.0002719510390864751,21,0.00023293545653938744,24,-3.9015582547087654e-05,3.9015582547087654e-05,3
Weight,0.00040272837841816273,18,0.0004391070446085051,18,3.637866619034236e-05,3.637866619034236e-05,0
Bilirubin,0.0005512620784652807,13,0.0005189446342747001,14,-3.231744419058061e-05,3.231744419058061e-05,1
Glascow coma scale verbal response->No Response,2.4126205740127072e-05,52,5.389848563816393e-05,46,2.977227989803686e-05,2.977227989803686e-05,-6
Lactate,0.00042122556684518625,16,0.00045035539886199014,16,2.9129832016803895e-05,2.9129832016803895e-05,0
mask->Fraction inspired oxygen,0.00045726369687500786,15,0.0004842077134640758,15,2.6944016589067947e-05,2.6944016589067947e-05,0
Glascow coma scale eye opening->Spontaneously,0.0002508949969039498,23,0.0002776456589827873,21,2.6750662078837528e-05,2.6750662078837528e-05,-2
mask->Mean blood pressure,0.000216843456239538,26,0.0002405004412568831,23,2.3656985017345107e-05,2.3656985017345107e-05,-3
