Feature,Mean_Abs_SHAP,Rank
Creatinine,0.0013045546613703696,1
Glascow coma scale verbal response->Oriented,0.0007167327751022215,2
Temperature,0.0006945317215797142,3
Bilirubin,0.0006879983950788843,4
Heart Rate,0.0006000701090918208,5
Systolic blood pressure,0.0005848757010420524,6
Glascow coma scale verbal response->No Response-ETT,0.00057553563142189,7
Diastolic blood pressure,0.0005519735551490531,8
White blood cell count,0.0005257682299308986,9
mask->Fraction inspired oxygen,0.0004919509063344692,10
Weight,0.00047813213661145157,11
Fraction inspired oxygen,0.00046921018312198764,12
Glascow coma scale motor response->No response,0.0004637322540076015,13
Lactate,0.0004577724118340783,14
mask->Glucose,0.00043633544505793966,15
Glascow coma scale motor response->Obeys Commands,0.0004345470859008504,16
Sodium,0.00041001392322708607,17
Platelets,0.00036405801048341975,18
Potassium,0.00035749802186262373,19
mask->Glascow coma scale eye opening,0.0003480852492758905,20
mask->Temperature,0.0003441945441549649,21
Glascow coma scale motor response->Flex-withdraws,0.00032191454605007643,22
Prothrombin time,0.0003175286149189679,23
Glascow coma scale eye opening->To Pain,0.000313071146235345,24
Hemoglobin,0.0002986759137020491,25
mask->Hematocrit,0.0002835080526100831,26
Glascow coma scale eye opening->4 Spontaneously,0.0002565878823348698,27
mask->pH,0.0002469875636306405,28
mask->Glascow coma scale verbal response,0.0002441322444802184,29
Hematocrit,0.00023481999071683617,30
mask->Glascow coma scale motor response,0.00023199883681395968,31
Glascow coma scale eye opening->To Speech,0.00022517291926770692,32
Glascow coma scale verbal response->Confused,0.00022130114562817955,33
mask->Prothrombin time,0.0002173696543183062,34
mask->Sodium,0.00021444516318183565,35
Glascow coma scale eye opening->Spontaneously,0.00021409081627414247,36
Oxygen saturation,0.00021384642051887874,37
Glascow coma scale verbal response->Incomprehensible sounds,0.000202185934919669,38
mask->White blood cell count,0.00015141200326299973,39
mask->Lactate,0.00014720397818552528,40
Glascow coma scale motor response->Localizes Pain,0.00014314913729030507,41
mask->Hemoglobin,0.00014256628810312163,42
mask->Creatinine,0.0001392555397693865,43
Mean blood pressure,0.00013364979435585936,44
mask->Weight,0.00012311335720013638,45
mask->Mean blood pressure,0.00011407767339669438,46
mask->Diastolic blood pressure,0.00011326808647661233,47
mask->Potassium,0.00010939991068296375,48
mask->Bilirubin,9.47337211274571e-05,49
mask->Platelets,9.172041205822028e-05,50
mask->Systolic blood pressure,8.702141822017025e-05,51
Respiratory rate,7.789553180981554e-05,52
mask->Oxygen saturation,7.424908073632682e-05,53
mask->Heart Rate,7.145209438749129e-05,54
Height,7.127293056724284e-05,55
Glascow coma scale verbal response->No Response,7.069563826753548e-05,56
Glascow coma scale verbal response->Inappropriate Words,6.272075435949412e-05,57
Glucose,5.824053851620595e-05,58
mask->Respiratory rate,4.8074859314108586e-05,59
Glascow coma scale motor response->Abnormal extension,3.1573548645982416e-05,60
Glascow coma scale verbal response->5 Oriented,2.912250518619504e-05,61
Glascow coma scale motor response->6 Obeys Commands,2.3986712908466436e-05,62
Glascow coma scale motor response->Abnormal Flexion,4.884804880488988e-06,63
mask->Height,1.939749830519588e-06,64
pH,4.82277210013739e-08,65
Glascow coma scale total->14,0.0,66
Glascow coma scale total->12,0.0,67
Glascow coma scale total->13,0.0,68
Glascow coma scale total->10,0.0,69
Glascow coma scale total->11,0.0,70
Glascow coma scale motor response->2 Abnorm extensn,0.0,71
Glascow coma scale motor response->5 Localizes Pain,0.0,72
Glascow coma scale motor response->4 Flex-withdraws,0.0,73
Capillary refill rate->1.0,0.0,74
Capillary refill rate->0.0,0.0,75
Glascow coma scale eye opening->1 No Response,0.0,76
Glascow coma scale eye opening->None,0.0,77
Glascow coma scale eye opening->2 To pain,0.0,78
Glascow coma scale motor response->1 No Response,0.0,79
Glascow coma scale motor response->3 Abnorm flexion,0.0,80
Glascow coma scale eye opening->3 To speech,0.0,81
Glascow coma scale total->15,0.0,82
Glascow coma scale verbal response->2 Incomp sounds,0.0,83
Glascow coma scale total->6,0.0,84
Glascow coma scale verbal response->4 Confused,0.0,85
Glascow coma scale verbal response->3 Inapprop words,0.0,86
Glascow coma scale total->5,0.0,87
Glascow coma scale total->3,0.0,88
Glascow coma scale verbal response->1 No Response,0.0,89
Glascow coma scale total->8,0.0,90
Glascow coma scale total->9,0.0,91
Glascow coma scale verbal response->1.0 ET/Trach,0.0,92
Glascow coma scale total->7,0.0,93
Glascow coma scale total->4,0.0,94
mask->Glascow coma scale total,0.0,95
mask->Capillary refill rate,0.0,96
