Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Creatinine,0.0012006239889192018,1,0.0013045546613703696,1,0.00010393067245116779,0.00010393067245116779,0
Oxygen saturation,0.0001563350243436011,38,0.00021384642051887874,37,5.751139617527764e-05,5.751139617527764e-05,-1
Heart Rate,0.0005509715777608485,6,0.0006000701090918208,5,4.90985313309723e-05,4.90985313309723e-05,-1
Systolic blood pressure,0.0005440713891860491,7,0.0005848757010420524,6,4.080431185600334e-05,4.080431185600334e-05,-1
mask->Fraction inspired oxygen,0.00045183981897750896,10,0.0004919509063344692,10,4.011108735696022e-05,4.011108735696022e-05,0
Fraction inspired oxygen,0.0004305143277366166,15,0.00046921018312198764,12,3.8695855385371036e-05,3.8695855385371036e-05,-3
Temperature,0.0006567711718551579,4,0.0006945317215797142,3,3.776054972455631e-05,3.776054972455631e-05,-1
Bilirubin,0.0007225349505275386,2,0.0006879983950788843,4,-3.4536555448654244e-05,3.4536555448654244e-05,2
Potassium,0.0003247428141716486,22,0.00035749802186262373,19,3.275520769097513e-05,3.275520769097513e-05,-3
mask->Glucose,0.00040606987258599755,16,0.00043633544505793966,15,3.0265572471942107e-05,3.0265572471942107e-05,-1
Platelets,0.00033392477158151546,19,0.00036405801048341975,18,3.0133238901904286e-05,3.0133238901904286e-05,-1
Weight,0.000448532617613228,12,0.00047813213661145157,11,2.9599518998223574e-05,2.9599518998223574e-05,-1
Sodium,0.0003813648722481385,17,0.00041001392322708607,17,2.8649050978947575e-05,2.8649050978947575e-05,0
Prothrombin time,0.00028964983279396503,25,0.0003175286149189679,23,2.7878782125002844e-05,2.7878782125002844e-05,-2
mask->Glascow coma scale motor response,0.00020858272994123462,33,0.00023199883681395968,31,2.341610687272506e-05,2.341610687272506e-05,-2
Diastolic blood pressure,0.0005297137982445928,8,0.0005519735551490531,8,2.2259756904460283e-05,2.2259756904460283e-05,0
Glascow coma scale verbal response->No Response-ETT,0.0005552892649385181,5,0.00057553563142189,7,2.0246366483371884e-05,2.0246366483371884e-05,2
mask->Prothrombin time,0.0001971721309397167,37,0.0002173696543183062,34,2.0197523378589474e-05,2.0197523378589474e-05,-3
Glascow coma scale verbal response->Confused,0.00020179944901238238,34,0.00022130114562817955,33,1.9501696615797167e-05,1.9501696615797167e-05,-1
mask->Glascow coma scale verbal response,0.00022464692882501782,30,0.0002441322444802184,29,1.9485315655200567e-05,1.9485315655200567e-05,-1
mask->Glascow coma scale eye opening,0.00033105089367661285,21,0.0003480852492758905,20,1.7034355599277644e-05,1.7034355599277644e-05,-1
Lactate,0.00044144455269104,13,0.0004577724118340783,14,1.6327859143038296e-05,1.6327859143038296e-05,1
mask->Sodium,0.00019827951952259526,36,0.00021444516318183565,35,1.6165643659240387e-05,1.6165643659240387e-05,-1
Glascow coma scale motor response->Flex-withdraws,0.0003364112932243465,18,0.00032191454605007643,22,-1.4496747174270064e-05,1.4496747174270064e-05,4
Glascow coma scale motor response->No response,0.000449290401796562,11,0.0004637322540076015,13,1.4441852211039496e-05,1.4441852211039496e-05,2
mask->pH,0.00023330697511279917,28,0.0002469875636306405,28,1.3680588517841303e-05,1.3680588517841303e-05,0
Height,5.838421745403347e-05,57,7.127293056724284e-05,55,1.2888713113209375e-05,1.2888713113209375e-05,-2
Glascow coma scale motor response->Localizes Pain,0.00013069227141358859,43,0.00014314913729030507,41,1.2456865876716482e-05,1.2456865876716482e-05,-2
mask->Hematocrit,0.00027200701340756575,26,0.0002835080526100831,26,1.1501039202517342e-05,1.1501039202517342e-05,0
mask->Temperature,0.0003327663977218224,20,0.0003441945441549649,21,1.142814643314248e-05,1.142814643314248e-05,1
Respiratory rate,6.647228868415455e-05,55,7.789553180981554e-05,52,1.142324312566099e-05,1.142324312566099e-05,-3
Glascow coma scale eye opening->To Pain,0.00030328501413789537,23,0.000313071146235345,24,9.786132097449642e-06,9.786132097449642e-06,1
mask->White blood cell count,0.00014264052492217997,40,0.00015141200326299973,39,8.771478340819755e-06,8.771478340819755e-06,-1
Glascow coma scale eye opening->To Speech,0.0002168576531481615,31,0.00022517291926770692,32,8.315266119545431e-06,8.315266119545431e-06,1
mask->Potassium,0.00010169940800230759,48,0.00010939991068296375,48,7.700502680656158e-06,7.700502680656158e-06,0
mask->Hemoglobin,0.00013490885501758052,42,0.00014256628810312163,42,7.657433085541115e-06,7.657433085541115e-06,0
Mean blood pressure,0.0001260747995700455,45,0.00013364979435585936,44,7.574994785813856e-06,7.574994785813856e-06,-1
Glascow coma scale eye opening->4 Spontaneously,0.00026362949012645226,27,0.0002565878823348698,27,-7.041607791582474e-06,7.041607791582474e-06,0
Hematocrit,0.00022822353953055245,29,0.00023481999071683617,30,6.596451186283717e-06,6.596451186283717e-06,1
Glascow coma scale verbal response->5 Oriented,2.3869349337704476e-05,61,2.912250518619504e-05,61,5.253155848490565e-06,5.253155848490565e-06,0
Hemoglobin,0.0002934717704207168,24,0.0002986759137020491,25,5.204143281332301e-06,5.204143281332301e-06,1
mask->Platelets,8.681466645580241e-05,50,9.172041205822028e-05,50,4.905745602417868e-06,4.905745602417868e-06,0
Glascow coma scale eye opening->Spontaneously,0.0002095125381034272,32,0.00021409081627414247,36,4.578278170715258e-06,4.578278170715258e-06,4
Glucose,5.3962111433277125e-05,58,5.824053851620595e-05,58,4.278427082928825e-06,4.278427082928825e-06,0
mask->Creatinine,0.00013546685225894906,41,0.0001392555397693865,43,3.788687510437427e-06,3.788687510437427e-06,2
mask->Weight,0.00012652929389846257,44,0.00012311335720013638,45,-3.4159366983261836e-06,3.4159366983261836e-06,1
Glascow coma scale verbal response->No Response,7.384828425090381e-05,53,7.069563826753548e-05,56,-3.152645983368332e-06,3.152645983368332e-06,3
White blood cell count,0.0005228451732987939,9,0.0005257682299308986,9,2.923056632104658e-06,2.923056632104658e-06,0
Glascow coma scale motor response->Abnormal extension,2.9045286250797277e-05,60,3.1573548645982416e-05,60,2.5282623951851394e-06,2.5282623951851394e-06,0
Glascow coma scale motor response->6 Obeys Commands,2.1501440493142768e-05,62,2.3986712908466436e-05,62,2.4852724153236675e-06,2.4852724153236675e-06,0
Glascow coma scale motor response->Obeys Commands,0.00043236598760225696,14,0.0004345470859008504,16,2.1810982985934657e-06,2.1810982985934657e-06,2
mask->Lactate,0.00014542884582041953,39,0.00014720397818552528,40,1.7751323651057492e-06,1.7751323651057492e-06,1
mask->Respiratory rate,4.971971913711083e-05,59,4.8074859314108586e-05,59,-1.644859823002246e-06,1.644859823002246e-06,0
mask->Oxygen saturation,7.53962010393954e-05,52,7.424908073632682e-05,53,-1.147120303068581e-06,1.147120303068581e-06,1
mask->Heart Rate,7.252215532555478e-05,54,7.145209438749129e-05,54,-1.070060938063489e-06,1.070060938063489e-06,0
Glascow coma scale motor response->Abnormal Flexion,4.115672748624087e-06,63,4.884804880488988e-06,63,7.691321318649008e-07,7.691321318649008e-07,0
mask->Diastolic blood pressure,0.00011264566737812176,47,0.00011326808647661233,47,6.224190984905665e-07,6.224190984905665e-07,0
mask->Bilirubin,9.415486327812076e-05,49,9.47337211274571e-05,49,5.788578493363326e-07,5.788578493363326e-07,0
mask->Height,1.4412074213021597e-06,64,1.939749830519588e-06,64,4.985424092174285e-07,4.985424092174285e-07,0
Glascow coma scale verbal response->Inappropriate Words,6.228644307455437e-05,56,6.272075435949412e-05,57,4.3431128493974925e-07,4.3431128493974925e-07,1
mask->Systolic blood pressure,8.661431416427758e-05,51,8.702141822017025e-05,51,4.0710405589267095e-07,4.0710405589267095e-07,0
Glascow coma scale verbal response->Incomprehensible sounds,0.00020179197305115072,35,0.000202185934919669,38,3.939618685182733e-07,3.939618685182733e-07,3
mask->Mean blood pressure,0.00011437248133618835,46,0.00011407767339669438,46,-2.948079394939746e-07,2.948079394939746e-07,0
