Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.43538882834262954,1
Glascow coma scale motor response_last10%_min,0.2181611845922681,2
Glascow coma scale verbal response_full_mean,0.14854019656383083,3
Respiratory rate_last25%_mean,0.1338935628653134,4
Creatinine_last10%_min,0.11552624273363603,5
Glascow coma scale eye opening_last10%_min,0.1142979424143393,6
Glascow coma scale motor response_full_std,0.11222200735880031,7
Diastolic blood pressure_last10%_min,0.11130193268731309,8
Lactate_last10%_min,0.10231892708608012,9
Glascow coma scale eye opening_last10%_max,0.10167975653918723,10
White blood cell count_last10%_min,0.09566199401983541,11
Bilirubin_full_min,0.09131033071074326,12
Weight_full_min,0.08899257263957794,13
Glucose_full_min,0.08516602815497773,14
Temperature_last10%_min,0.08432035541885699,15
Prothrombin time_last10%_min,0.08381479255148216,16
Heart Rate_last10%_min,0.08351993963449812,17
Heart Rate_last10%_max,0.08304091644762833,18
Glascow coma scale motor response_full_max,0.08130723993154894,19
Potassium_last10%_min,0.08094546981683941,20
Glascow coma scale verbal response_full_max,0.07739431258443505,21
Glascow coma scale verbal response_full_std,0.07489379222917206,22
Fraction inspired oxygen_last10%_min,0.06923047231920698,23
Temperature_last25%_min,0.06922662674494258,24
Platelets_full_min,0.0679610165227889,25
Hemoglobin_full_std,0.0664510209737035,26
Diastolic blood pressure_last25%_min,0.060624687588711784,27
Hematocrit_full_max,0.056034258260083854,28
Fraction inspired oxygen_full_max,0.05479488169989562,29
Weight_full_mean,0.054178478641307454,30
White blood cell count_full_min,0.0529102662552805,31
Oxygen saturation_full_min,0.05155184927663078,32
Creatinine_full_min,0.05128288702656303,33
Glascow coma scale motor response_full_min,0.051241131381479996,34
White blood cell count_full_std,0.049176080225182654,35
Sodium_full_min,0.048857607733519375,36
Glascow coma scale motor response_full_mean,0.048287609477776466,37
Fraction inspired oxygen_last10%_max,0.047862390238087756,38
Lactate_full_min,0.04629528050357833,39
Systolic blood pressure_full_mean,0.04523960336184233,40
Prothrombin time_full_mean,0.04449727306766419,41
Diastolic blood pressure_full_min,0.043631953516828206,42
Respiratory rate_full_min,0.04281420763054023,43
Sodium_full_max,0.0413683231178507,44
Prothrombin time_full_min,0.041337189365522393,45
Sodium_full_mean,0.040259094567740114,46
Respiratory rate_last10%_mean,0.03964885039788521,47
Oxygen saturation_last10%_min,0.03934651201204268,48
Systolic blood pressure_last25%_min,0.037685884077146195,49
Potassium_full_min,0.03418807467684246,50
Prothrombin time_full_max,0.03294136601592913,51
Sodium_last10%_min,0.03192059266359226,52
Oxygen saturation_last25%_min,0.03050113317387818,53
Systolic blood pressure_last10%_std,0.02821666859626873,54
Glascow coma scale verbal response_last10%_std,0.02743861675624755,55
Glascow coma scale motor response_last10%_std,0.026877305184709595,56
Glascow coma scale eye opening_full_max,0.02682642663508907,57
Lactate_full_mean,0.0266252210005556,58
Systolic blood pressure_last10%_max,0.026083350842149786,59
Fraction inspired oxygen_last25%_max,0.025619950774161845,60
Systolic blood pressure_full_min,0.023377910056300806,61
Glascow coma scale eye opening_last25%_std,0.02301778123927152,62
Platelets_last25%_std,0.022668033433436836,63
Glascow coma scale verbal response_full_min,0.02238896103373569,64
Glascow coma scale eye opening_full_min,0.02181454713480028,65
Creatinine_full_std,0.020733949334858243,66
Hematocrit_last25%_std,0.020179417783546504,67
Fraction inspired oxygen_full_mean,0.02013723421533217,68
Potassium_full_mean,0.01929101093017407,69
White blood cell count_full_max,0.018751422758737996,70
Potassium_full_max,0.01718184049358835,71
Glascow coma scale eye opening_full_std,0.01699998486502423,72
Lactate_full_max,0.016133495903861386,73
Glascow coma scale eye opening_full_mean,0.015742813621823764,74
Prothrombin time_full_std,0.015429841668035068,75
Heart Rate_full_mean,0.014691511021565802,76
Lactate_full_std,0.014459555857466696,77
Hemoglobin_last25%_std,0.013844147421132325,78
Respiratory rate_last25%_min,0.013162742591822148,79
Glascow coma scale eye opening_last10%_std,0.012578959703603745,80
