Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.040547583231115514,1
Creatinine_last10%_min,0.013796448722671528,2
Platelets_last10%_min,0.012526634318809128,3
White blood cell count_last10%_min,0.010427942555519255,4
Glascow coma scale motor response_last25%_max,0.010203538355841719,5
Hemoglobin_full_max,0.009648125127606098,6
Potassium_last10%_min,0.009058682666139694,7
White blood cell count_full_min,0.008987983197626602,8
Diastolic blood pressure_last10%_min,0.008555311041949712,9
Respiratory rate_last25%_mean,0.00824257436435132,10
Bilirubin_full_min,0.0077730641954152505,11
Weight_full_min,0.005708968491481187,12
Potassium_full_min,0.005315257682702967,13
Sodium_full_min,0.005314928763315591,14
Fraction inspired oxygen_full_mean,0.0049493165190426045,15
Glascow coma scale motor response_last25%_min,0.004366265734657055,16
Lactate_last25%_min,0.003926082249976908,17
Fraction inspired oxygen_last10%_max,0.003863383622314757,18
Prothrombin time_last10%_min,0.0033790033768873514,19
Hemoglobin_full_mean,0.0032633573479179793,20
Oxygen saturation_full_min,0.002784181108979378,21
Glascow coma scale motor response_full_max,0.0027279967367146046,22
Lactate_full_min,0.0027145320919280806,23
Creatinine_full_max,0.0025079650266374254,24
Lactate_last10%_min,0.0024025970343169983,25
Sodium_full_std,0.002230787138134004,26
Bilirubin_full_std,0.0021727244630006088,27
Heart Rate_full_mean,0.0021110290206299773,28
Glascow coma scale motor response_last10%_max,0.002099309838499351,29
Heart Rate_last25%_mean,0.002087351726168658,30
Glascow coma scale verbal response_last10%_std,0.0020445911606630273,31
Glascow coma scale motor response_last10%_min,0.002039072772657918,32
Diastolic blood pressure_last25%_min,0.0020214219793766755,33
Diastolic blood pressure_full_min,0.001983880158410901,34
Glucose_full_min,0.001965098200712449,35
Glascow coma scale eye opening_last25%_min,0.0019153055011674708,36
Temperature_last10%_min,0.0019034397414731882,37
Glascow coma scale verbal response_full_min,0.0018513904606312546,38
Glascow coma scale eye opening_last10%_min,0.0018501959849409498,39
Platelets_full_mean,0.0017127121422408037,40
Diastolic blood pressure_full_max,0.0016814703544137293,41
Glascow coma scale eye opening_full_max,0.0016381857908403994,42
White blood cell count_full_max,0.0016113489399257636,43
Oxygen saturation_last10%_min,0.0015645305743841311,44
Hemoglobin_full_min,0.0015414519708706596,45
Diastolic blood pressure_last10%_mean,0.0015377706381802562,46
Temperature_last25%_min,0.0015059042840409828,47
Glascow coma scale motor response_last25%_std,0.0013818075491752266,48
Weight_full_mean,0.0013748798611926398,49
Oxygen saturation_last25%_min,0.0013266193435602066,50
Glascow coma scale motor response_full_mean,0.0012897089633423294,51
Platelets_last25%_std,0.0012534993409271673,52
Glascow coma scale motor response_full_std,0.001250037135570593,53
Glascow coma scale eye opening_full_mean,0.0012420689670236751,54
White blood cell count_full_std,0.0012311311410181194,55
Glascow coma scale motor response_full_min,0.0011606597527230268,56
Hemoglobin_full_std,0.0011533355389640918,57
Mean blood pressure_last10%_min,0.0011275432918460332,58
Systolic blood pressure_full_mean,0.0011100673619875534,59
Lactate_full_mean,0.0010647388368445277,60
Heart Rate_full_min,0.0010545568879957216,61
Diastolic blood pressure_full_mean,0.0010357773157081411,62
Systolic blood pressure_last25%_min,0.001023180257486859,63
Respiratory rate_last10%_mean,0.0010002520231826404,64
Glascow coma scale eye opening_full_std,0.0009870154093933443,65
Heart Rate_last10%_mean,0.0009753827619661434,66
Glascow coma scale verbal response_full_std,0.0009184294256440553,67
Sodium_full_max,0.0009052350520813135,68
Fraction inspired oxygen_last25%_min,0.0008875635076083057,69
Systolic blood pressure_last10%_max,0.0007996525658400231,70
Sodium_last10%_min,0.0007615633434060965,71
Respiratory rate_last25%_min,0.0007543159354360951,72
Systolic blood pressure_last10%_std,0.0006928942319045465,73
Hematocrit_last10%_min,0.0006639535555810082,74
Glascow coma scale eye opening_last10%_std,0.0006184907752985903,75
Hematocrit_full_min,0.0005915918332946653,76
Sodium_full_mean,0.0005773151618327342,77
Lactate_full_std,0.0005135016019444658,78
Glascow coma scale verbal response_full_mean,0.0004966743326324886,79
Potassium_full_std,0.0004779995454723566,80
Systolic blood pressure_last25%_mean,0.00046513926552667367,81
Respiratory rate_last10%_min,0.00045345894869773724,82
Lactate_last25%_std,0.00044915590717933737,83
Systolic blood pressure_last25%_std,0.0003909573640722992,84
Hematocrit_full_std,0.00037194974061661724,85
Potassium_full_max,0.00036743062609554235,86
Systolic blood pressure_last10%_mean,0.00035850250037864744,87
Systolic blood pressure_full_min,0.00031968504242249244,88
Mean blood pressure_last25%_min,0.00031211487892953506,89
Glascow coma scale motor response_last10%_std,0.00030293660232249246,90
Sodium_last25%_std,0.00025191671174441366,91
Platelets_full_max,0.0001856044380022221,92
Platelets_full_std,0.00018023447422497782,93
Heart Rate_last10%_std,0.00012891714103780664,94
Creatinine_full_mean,0.00012696377346559136,95
Fraction inspired oxygen_full_max,0.00011951075471183445,96
Glascow coma scale verbal response_full_max,0.00011773504758957671,97
Prothrombin time_full_min,0.00011326801430544875,98
Creatinine_full_std,0.00011084903970666265,99
Hemoglobin_last25%_std,0.00010328600053763682,100
Potassium_last25%_max,0.00010257948731795835,101
Potassium_full_mean,0.00010176589220381097,102
Lactate_last25%_max,9.757584230763113e-05,103
Fraction inspired oxygen_last10%_min,8.96597508316041e-05,104
Respiratory rate_last25%_max,8.354674740423742e-05,105
Glascow coma scale verbal response_last25%_std,7.299632368170898e-05,106
Systolic blood pressure_last10%_min,4.1298058889329275e-05,107
Glucose_last25%_max,0.0,108
Glucose_last25%_mean,0.0,109
Diastolic blood pressure_last10%_max,0.0,110
Creatinine_full_min,0.0,111
Fraction inspired oxygen_full_min,0.0,112
Glucose_last10%_std,0.0,113
Glucose_last10%_max,0.0,114
Glucose_last10%_mean,0.0,115
Glucose_last10%_min,0.0,116
Glucose_full_mean,0.0,117
Glucose_full_max,0.0,118
Glascow coma scale eye opening_last25%_std,0.0,119
Glascow coma scale eye opening_last25%_max,0.0,120
Diastolic blood pressure_last25%_max,0.0,121
Diastolic blood pressure_last25%_mean,0.0,122
Fraction inspired oxygen_last25%_max,0.0,123
Glascow coma scale eye opening_full_min,0.0,124
Glascow coma scale eye opening_last10%_max,0.0,125
Glucose_last25%_std,0.0,126
Respiratory rate_full_max,0.0,127
Respiratory rate_last10%_max,0.0,128
Prothrombin time_full_std,0.0,129
Prothrombin time_full_max,0.0,130
Prothrombin time_full_mean,0.0,131
Potassium_last25%_min,0.0,132
Platelets_last10%_std,0.0,133
Oxygen saturation_last10%_max,0.0,134
Platelets_full_min,0.0,135
Respiratory rate_full_min,0.0,136
Oxygen saturation_full_max,0.0,137
Oxygen saturation_last25%_max,0.0,138
Hematocrit_last10%_std,0.0,139
Lactate_full_max,0.0,140
Mean blood pressure_full_min,0.0,141
Heart Rate_full_max,0.0,142
Hematocrit_full_mean,0.0,143
Heart Rate_last25%_std,0.0,144
Hematocrit_full_max,0.0,145
Heart Rate_last10%_max,0.0,146
Heart Rate_last10%_min,0.0,147
Heart Rate_last25%_min,0.0,148
Heart Rate_last25%_max,0.0,149
Hematocrit_last25%_std,0.0,150
Height_full_min,0.0,151
Mean blood pressure_last10%_max,0.0,152
Temperature_full_min,0.0,153
Systolic blood pressure_full_max,0.0,154
Temperature_full_max,0.0,155
Systolic blood pressure_last25%_max,0.0,156
Sodium_last10%_std,0.0,157
Weight_last10%_std,0.0,158
Weight_full_max,0.0,159
Temperature_last10%_max,0.0,160
Temperature_last25%_max,0.0,161
Weight_last25%_std,0.0,162
White blood cell count_last10%_std,0.0,163
White blood cell count_last25%_std,0.0,164
pH_full_min,0.0,165
pH_full_max,0.0,166
pH_full_mean,0.0,167
pH_full_std,0.0,168
pH_last10%_min,0.0,169
pH_last10%_max,0.0,170
pH_last10%_mean,0.0,171
pH_last10%_std,0.0,172
pH_last25%_min,0.0,173
pH_last25%_std,0.0,174
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.0,175
ICU_Coronary Care Unit (CCU),0.0,176
ICU_Intensive Care Unit (ICU),0.0,177
ICU_Medical Intensive Care Unit (MICU),0.0,178
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0,179
ICU_Medicine,0.0,180
ICU_Neuro Intermediate,0.0,181
ICU_Neuro Stepdown,0.0,182
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.0,183
ICU_Neurology,0.0,184
ICU_PACU,0.0,185
ICU_Surgery/Trauma,0.0,186
ICU_Surgery/Vascular/Intermediate,0.0,187
ICU_Surgical Intensive Care Unit (SICU),0.0,188
ICU_Trauma SICU (TSICU),0.0,189
