Feature,Mean_Abs_SHAP,Rank
Glascow coma scale motor response_last10%_min,0.012901948131016541,1
Glascow coma scale motor response_last10%_max,0.01243141904486256,2
Glascow coma scale verbal response_last10%_min,0.011984593733095428,3
Glascow coma scale motor response_last25%_max,0.011172023369409822,4
Glascow coma scale motor response_last25%_min,0.010930554663397856,5
Oxygen saturation_last10%_max,0.010727182859010531,6
Creatinine_last10%_min,0.006941631255893218,7
Oxygen saturation_last25%_max,0.006755778886610062,8
Glascow coma scale eye opening_last10%_min,0.005781141793860428,9
Glascow coma scale motor response_full_max,0.005708305964773636,10
Glascow coma scale eye opening_last25%_max,0.005558670448210969,11
Prothrombin time_last10%_min,0.0050748045605438965,12
Creatinine_full_mean,0.004954843040064364,13
Glascow coma scale eye opening_last10%_max,0.004909589095059194,14
Prothrombin time_full_min,0.004462545531235875,15
Prothrombin time_full_mean,0.004377278982654482,16
Oxygen saturation_last10%_min,0.00425848864473134,17
Creatinine_full_min,0.004206759117842624,18
Oxygen saturation_last25%_min,0.004090381938859155,19
Creatinine_full_max,0.003938434303559574,20
Glascow coma scale verbal response_full_mean,0.0039198327169397,21
Oxygen saturation_full_max,0.0038928517695620392,22
Bilirubin_full_min,0.003879974798139858,23
Glascow coma scale motor response_full_mean,0.0036479624960272755,24
Glascow coma scale verbal response_full_max,0.0036190149249004985,25
Glascow coma scale eye opening_last25%_min,0.0033541383985463747,26
Respiratory rate_last25%_mean,0.003335737268889596,27
Prothrombin time_full_max,0.003332741475834342,28
Fraction inspired oxygen_last25%_min,0.0033169655169166413,29
Temperature_last25%_min,0.0033127544914532616,30
White blood cell count_last10%_min,0.0032319755159911662,31
Fraction inspired oxygen_last10%_max,0.003200070707770422,32
Fraction inspired oxygen_last10%_min,0.0031813723539375434,33
White blood cell count_full_min,0.0030273949293503095,34
Diastolic blood pressure_last10%_mean,0.002824178737458737,35
Glascow coma scale eye opening_full_max,0.0028054178057932396,36
Diastolic blood pressure_last25%_mean,0.0027895918256241204,37
Systolic blood pressure_last25%_mean,0.0027489527651017765,38
Glascow coma scale eye opening_full_mean,0.0027379367225546917,39
Heart Rate_last10%_mean,0.0026071336151719353,40
Systolic blood pressure_full_mean,0.0025906879934810543,41
Respiratory rate_last10%_mean,0.0025882960721097825,42
Weight_full_max,0.0025634149593099275,43
Weight_full_mean,0.0025613455193789726,44
Heart Rate_last25%_mean,0.0025440422280873696,45
Fraction inspired oxygen_last25%_max,0.0025361523165422363,46
Temperature_last10%_min,0.0025226212422826476,47
Oxygen saturation_full_min,0.0024749319721837893,48
Fraction inspired oxygen_full_mean,0.002411303814492437,49
Systolic blood pressure_last10%_mean,0.0023794133869249304,50
Systolic blood pressure_last25%_min,0.002265601152294296,51
Temperature_last25%_max,0.0022093067541674736,52
Hemoglobin_full_max,0.002140902465819655,53
Weight_full_min,0.0021372777666850726,54
Lactate_last10%_min,0.0020447407812327063,55
Lactate_last25%_min,0.0020380296709878163,56
Respiratory rate_full_max,0.0019891181226540542,57
Glucose_full_min,0.0019727901279535938,58
Respiratory rate_last25%_max,0.0019702567311121,59
Diastolic blood pressure_last10%_max,0.0019493148538303538,60
Lactate_last25%_max,0.001928236765887667,61
Systolic blood pressure_full_min,0.0019246628061675428,62
Systolic blood pressure_last10%_min,0.0019195096542073754,63
Fraction inspired oxygen_full_min,0.0018822772346432203,64
Platelets_last10%_min,0.001882216196878077,65
Heart Rate_last25%_max,0.0018771051002229905,66
Platelets_full_max,0.0018672534959406847,67
Diastolic blood pressure_last10%_min,0.0018657942899455405,68
Platelets_full_mean,0.0018562437882784447,69
Respiratory rate_last10%_min,0.0018149275520635481,70
Diastolic blood pressure_full_mean,0.0017844606908015443,71
Mean blood pressure_last25%_min,0.0017225199168877732,72
