Feature,Mean_Abs_SHAP,Rank
Glascow coma scale motor response_last10%_max,0.012719650663386676,1
Glascow coma scale motor response_last10%_min,0.012680299206708963,2
Glascow coma scale verbal response_last10%_min,0.012447073219851942,3
Glascow coma scale motor response_last25%_max,0.01127567040871881,4
Glascow coma scale motor response_last25%_min,0.011220893490685682,5
Creatinine_last10%_min,0.007433286610715102,6
Glascow coma scale motor response_full_max,0.006148113578146309,7
Glascow coma scale eye opening_last10%_min,0.005567165381834492,8
Glascow coma scale eye opening_last25%_max,0.005498806110371429,9
Prothrombin time_last10%_min,0.005397270661252363,10
Creatinine_full_mean,0.005349175913128783,11
Glascow coma scale eye opening_last10%_max,0.004935000993220031,12
Prothrombin time_full_min,0.004781716744961441,13
Prothrombin time_full_mean,0.004643801816150464,14
Creatinine_full_min,0.004507455749769788,15
Glascow coma scale verbal response_full_mean,0.004120799708562604,16
Creatinine_full_max,0.004034469302824043,17
Bilirubin_full_min,0.003958782175701266,18
Glascow coma scale verbal response_full_max,0.003883261564567616,19
Glascow coma scale motor response_full_mean,0.0038429335865110183,20
Prothrombin time_full_max,0.0034102576925598613,21
White blood cell count_last10%_min,0.003343708851065599,22
Respiratory rate_last25%_mean,0.003216643294573699,23
Glascow coma scale eye opening_last25%_min,0.0031356132373171744,24
Temperature_last25%_min,0.00308021210854484,25
White blood cell count_full_min,0.0030421426255216938,26
Glascow coma scale eye opening_full_max,0.002946703791218078,27
Diastolic blood pressure_last10%_mean,0.002944659311607323,28
Diastolic blood pressure_last25%_mean,0.0029184437201420234,29
Systolic blood pressure_last25%_mean,0.0028098914388372037,30
Systolic blood pressure_full_mean,0.00270684961270045,31
Temperature_last10%_min,0.002639295703003597,32
Weight_full_mean,0.0026199699354186,33
Glascow coma scale eye opening_full_mean,0.002612524444615618,34
Weight_full_max,0.002538658489727069,35
Systolic blood pressure_last10%_mean,0.0024242933657910746,36
Respiratory rate_last10%_mean,0.002368997936523303,37
Oxygen saturation_last25%_min,0.0023658188100241146,38
Systolic blood pressure_last25%_min,0.002355837973035422,39
