Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Oxygen saturation_last10%_max,0.0007551579400852413,138,0.010727182859010531,6,0.00997202491892529,0.00997202491892529,-132
Oxygen saturation_last25%_max,0.00044320555141193283,156,0.006755778886610062,8,0.006312573335198129,0.006312573335198129,-148
Oxygen saturation_full_max,0.0002460148128971908,164,0.0038928517695620392,22,0.0036468369566648486,0.0036468369566648486,-142
Oxygen saturation_last10%_min,0.0016378034058120766,69,0.00425848864473134,17,0.002620685238919263,0.002620685238919263,-52
Oxygen saturation_last25%_min,0.0023658188100241146,38,0.004090381938859155,19,0.0017245631288350404,0.0017245631288350404,-19
Fraction inspired oxygen_last25%_min,0.00208588669606163,48,0.0033169655169166413,29,0.0012310788208550112,0.0012310788208550112,-19
Fraction inspired oxygen_last10%_min,0.0020534693706756677,50,0.0031813723539375434,33,0.0011279029832618756,0.0011279029832618756,-17
Fraction inspired oxygen_last10%_max,0.0022766040690690116,43,0.003200070707770422,32,0.0009234666387014103,0.0009234666387014103,-11
Fraction inspired oxygen_full_min,0.0010338222929638077,117,0.0018822772346432203,64,0.0008484549416794126,0.0008484549416794126,-53
Fraction inspired oxygen_full_mean,0.001740686082175487,63,0.002411303814492437,49,0.00067061773231695,0.00067061773231695,-14
Respiratory rate_last25%_max,0.0013844397914721275,92,0.0019702567311121,59,0.0005858169396399727,0.0005858169396399727,-33
Fraction inspired oxygen_last25%_max,0.0019905857898618144,52,0.0025361523165422363,46,0.0005455665266804219,0.0005455665266804219,-6
Creatinine_last10%_min,0.007433286610715102,6,0.006941631255893218,7,-0.0004916553548218834,0.0004916553548218834,1
Glascow coma scale verbal response_last10%_min,0.012447073219851942,3,0.011984593733095428,3,-0.0004624794867565136,0.0004624794867565136,0
Heart Rate_last25%_max,0.0014285603785590638,88,0.0018771051002229905,66,0.0004485447216639267,0.0004485447216639267,-22
Glascow coma scale motor response_full_max,0.006148113578146309,7,0.005708305964773636,10,-0.0004398076133726725,0.0004398076133726725,3
Respiratory rate_last10%_max,0.001127705789780013,108,0.0015382429842990383,84,0.00041053719451902533,0.00041053719451902533,-24
Respiratory rate_full_max,0.001590950403038838,73,0.0019891181226540542,57,0.0003981677196152162,0.0003981677196152162,-16
Creatinine_full_mean,0.005349175913128783,11,0.004954843040064364,13,-0.0003943328730644192,0.0003943328730644192,2
Heart Rate_last10%_max,0.0013058364453825974,95,0.0016414069493664646,78,0.0003355705039838671,0.0003355705039838671,-17
Prothrombin time_last10%_min,0.005397270661252363,10,0.0050748045605438965,12,-0.0003224661007084663,0.0003224661007084663,2
Prothrombin time_full_min,0.004781716744961441,13,0.004462545531235875,15,-0.00031917121372556593,0.00031917121372556593,2
Creatinine_full_min,0.004507455749769788,15,0.004206759117842624,18,-0.0003006966319271647,0.0003006966319271647,3
Glascow coma scale motor response_last25%_min,0.011220893490685682,5,0.010930554663397856,5,-0.00029033882728782615,0.00029033882728782615,0
Glascow coma scale motor response_last10%_max,0.012719650663386676,1,0.01243141904486256,2,-0.0002882316185241155,0.0002882316185241155,1
Respiratory rate_last25%_min,0.0015746484351198881,78,0.0012897224260721247,101,-0.0002849260090477634,0.0002849260090477634,23
