Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Oxygen saturation_last10%_max,0.033744037,55,0.32737437,2,0.29363033,0.29363033,-53
Oxygen saturation_last10%_min,0.059854712,28,0.16337381,5,0.1035191,0.1035191,-23
Glascow coma scale verbal response_last10%_min,0.42213088,1,0.37232968,1,-0.0498012,0.0498012,0
Oxygen saturation_last25%_min,0.061202973,26,0.10807627,9,0.046873294,0.046873294,-17
Oxygen saturation_full_min,0.05260327,33,0.071235314,20,0.018632043,0.018632043,-13
Oxygen saturation_last25%_max,0.0014959795,173,0.017871639,101,0.016375659,0.016375659,-72
Fraction inspired oxygen_last10%_max,0.052004755,34,0.06815176,23,0.016147003,0.016147003,-11
Glascow coma scale motor response_last25%_min,0.13922778,4,0.1277613,7,-0.011466473,0.011466473,3
Weight_full_min,0.04126196,46,0.05155644,36,0.010294478,0.010294478,-10
Weight_full_max,0.088525064,9,0.09737502,11,0.008849956,0.008849956,2
Glascow coma scale eye opening_last25%_max,0.049723748,35,0.058367014,33,0.008643266,0.008643266,-2
Fraction inspired oxygen_last25%_max,0.018205123,95,0.026257543,75,0.00805242,0.00805242,-20
Creatinine_last10%_min,0.20271948,3,0.1959079,4,-0.006811574,0.006811574,1
Glascow coma scale eye opening_full_mean,0.03872136,49,0.04513757,45,0.006416209,0.006416209,-4
Fraction inspired oxygen_last10%_min,0.03878517,48,0.04507894,46,0.00629377,0.00629377,-2
Prothrombin time_last10%_min,0.09988036,8,0.09391898,12,-0.005961381,0.005961381,4
Respiratory rate_last10%_mean,0.022735503,82,0.028670758,68,0.0059352554,0.0059352554,-14
Bilirubin_full_min,0.06120579,25,0.05574381,34,-0.0054619797,0.0054619797,9
Temperature_last25%_max,0.022526806,83,0.027844653,71,0.0053178463,0.0053178463,-12
Heart Rate_last10%_max,0.0227471,81,0.02778437,72,0.0050372705,0.0050372705,-9
Glascow coma scale eye opening_last10%_min,0.06487056,21,0.05993442,29,-0.00493614,0.00493614,8
Heart Rate_last25%_mean,0.05414819,32,0.049272984,37,-0.0048752055,0.0048752055,5
