epoch;loss;seq_loss;single_loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1;val_seq_loss;val_single_loss
0;0.3214711844921112;0.3279757797718048;0.31511521339416504;0.88657486;0.5516666066560106;0.870309460995649;0.5346928624720219;0.9002207;0.68169475;0.97699165;0.31273362;0.8951005;0.5501064214083329;0.8728744612068966;0.2682264447212219;0.535;0.905898;0.6987952;0.9820402;0.29;0.2737518548965454;0.2627009153366089
1;0.29923516511917114;0.30282866954803467;0.29553329944610596;0.88844043;0.5634438497685768;0.8747719691128689;0.5370047346125093;0.9102849;0.64763457;0.96607643;0.39571393;0.89635676;0.5598704682769757;0.8774173850574711;0.2651870846748352;0.53;0.9134097;0.662037;0.9737787;0.3575;0.2676997482776642;0.26267412304878235
2;0.29430800676345825;0.2966298758983612;0.2918700575828552;0.8908147;0.5849123600812604;0.880823109573301;0.5522053326688263;0.9015376;0.723536;0.98072165;0.32020932;0.8991834;0.5941183107472555;0.8806770833333333;0.25404083728790283;0.545;0.9068385;0.75159234;0.98599136;0.295;0.25566551089286804;0.2524159252643585
3;0.288993239402771;0.29063019156455994;0.2872762084007263;0.88840646;0.5678935591321763;0.8739561940595965;0.5391131041355257;0.9093426;0.65119195;0.9672543;0.38798904;0.8994975;0.5743570425675284;0.8751858836206896;0.2636769115924835;0.5475;0.91370046;0.69417477;0.9773707;0.3575;0.26679566502571106;0.26055821776390076
4;0.29023751616477966;0.29239919781684875;0.2884869873523712;0.89084864;0.5975484721225413;0.88632826544325;0.5625777556606121;0.8983494;0.75595623;0.98511916;0.29254922;0.8982412;0.5813194081647911;0.8839691091954023;0.2643069624900818;0.545;0.9024869;0.796875;0.9906609;0.255;0.26630696654319763;0.26230722665786743
5;0.28479355573654175;0.28626224398612976;0.2834188938140869;0.8924089;0.594137294509311;0.8866135978796071;0.5594318464988787;0.9085945;0.69139737;0.9733794;0.3785198;0.9013819;0.5945697484517126;0.8900511853448275;0.2537667751312256;0.5475;0.91276735;0.7239583;0.98096263;0.3475;0.2554551064968109;0.25207847356796265
6;0.2816920876502991;0.28345468640327454;0.27996039390563965;0.89284986;0.5998933582800043;0.8861331860350168;0.554697233989534;0.9027076;0.7396184;0.9817818;0.3284326;0.8991834;0.5971255839091498;0.8873751795977011;0.25553321838378906;0.555;0.90603364;0.7615894;0.98706895;0.2875;0.2557922899723053;0.2552744746208191
7;0.2822764217853546;0.28388911485671997;0.28055474162101746;0.8943762;0.6085132480578268;0.890818266758912;0.5704330512692882;0.9090277;0.70858467;0.9753426;0.38051334;0.9001256;0.6096669026886886;0.8921039870689657;0.24609456956386566;0.5725;0.91154873;0.7180851;0.98096263;0.3375;0.24809406697750092;0.24409519135951996
8;0.27923470735549927;0.28076043725013733;0.27765071392059326;0.88928837;0.6162426503079435;0.8928867336873877;0.5708945925741341;0.8938034;0.7905353;0.9893989;0.25392476;0.89981157;0.611328919077202;0.8893669181034484;0.251141220331192;0.575;0.9015966;0.8521739;0.9938937;0.245;0.252575546503067;0.24970699846744537
9;0.2767660915851593;0.2793204188346863;0.2741423547267914;0.8929177;0.613360687162128;0.8900735435231079;0.5680119581464873;0.90213394;0.745977;0.9826456;0.32344878;0.9032663;0.6049279869386189;0.8842187500000002;0.2539372742176056;0.5575;0.90831137;0.80263156;0.98922414;0.305;0.25376760959625244;0.2541074752807617
