epoch;loss;seq_loss;single_loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1;val_seq_loss;val_single_loss
0;0.338077574968338;0.3510418236255646;0.325294554233551;0.8841327;0.5373348585496567;0.8649025761880313;0.5279023418036871;0.89311564;0.7083043;0.9835879;0.252928;0.8888191;0.5203072663094753;0.869165768678161;0.2867736518383026;0.5325;0.8978389;0.6769231;0.98491377;0.22;0.2996712625026703;0.27387604117393494
1;0.3133416771888733;0.3234112560749054;0.30327290296554565;0.8875246;0.5606885421505684;0.8740469949948779;0.5467231497632694;0.9036772;0.6705825;0.9735757;0.3413905;0.89698493;0.5557018824046476;0.8745519037356322;0.2687242925167084;0.5275;0.90987986;0.69148934;0.9791667;0.325;0.2783321440219879;0.2591164708137512
2;0.3032328486442566;0.3112418055534363;0.2952323257923126;0.88905096;0.5753101680532419;0.8776294125641784;0.5549464241216048;0.90109134;0.7049724;0.97903335;0.3179666;0.89792717;0.5748340267777524;0.880167025862069;0.264679491519928;0.5536159600997507;0.90590954;0.7419355;0.9856322;0.2875;0.2728109061717987;0.2565479576587677
3;0.29912710189819336;0.3066417872905731;0.29151737689971924;0.89115393;0.5886811050051673;0.8842464041415834;0.5629980079681275;0.90305644;0.7152034;0.97911185;0.33291802;0.90169597;0.5837979213042591;0.8838155531609195;0.2608899176120758;0.5525672371638142;0.9092415;0.76363635;0.98599136;0.315;0.2680072784423828;0.2537728250026703
4;0.2962988018989563;0.30359798669815063;0.2896409034729004;0.89193404;0.5901645138771459;0.8836079406501488;0.5581858958385248;0.90185755;0.73534435;0.9817425;0.32195365;0.89981157;0.5880762331505973;0.883270474137931;0.26154977083206177;0.555;0.90743804;0.754717;0.98599136;0.3;0.2662962079048157;0.2568035423755646
5;0.29309114813804626;0.29985034465789795;0.2862387001514435;0.89115393;0.5970434140726666;0.8899494327678634;0.5722111553784861;0.9032316;0.7138298;0.9788763;0.33441317;0.90169597;0.605166903530457;0.8890759698275863;0.25344449281692505;0.5575;0.90897053;0.76687115;0.9863506;0.3125;0.2587384879589081;0.24815048277378082
6;0.2903682291507721;0.2969297766685486;0.2837331295013428;0.8915949;0.5964169007662529;0.8907555362813991;0.5706454024420633;0.90217036;0.72808486;0.9808787;0.32494393;0.9026382;0.6014396424200202;0.890237966954023;0.25414153933525085;0.56;0.9082508;0.7922078;0.9885057;0.305;0.25947490334510803;0.2488081157207489
7;0.2895244061946869;0.29512444138526917;0.2838175296783447;0.8910183;0.6028976460750862;0.891722328244975;0.5691158156911582;0.9024884;0.7181025;0.9797008;0.3281834;0.8985553;0.596415905850583;0.8925161637931033;0.25768253207206726;0.5525;0.90677685;0.7421384;0.985273;0.295;0.26164695620536804;0.2537182867527008
8;0.289194256067276;0.29572731256484985;0.2825823426246643;0.89278203;0.6008828633003434;0.8913026460383666;0.5719621513944223;0.90457016;0.72280335;0.9791904;0.34438077;0.9038945;0.6039102935911383;0.8918372844827586;0.25078412890434265;0.5679012345679012;0.91080904;0.7797619;0.9867098;0.3275;0.2545606195926666;0.24700748920440674
9;0.28727349638938904;0.29269731044769287;0.28180480003356934;0.89366394;0.6112113001716446;0.8956928793310703;0.5752366716492276;0.90416217;0.73704106;0.9808787;0.34014454;0.9004397;0.6122802876900016;0.8956043462643678;0.2490522712469101;0.585;0.9069614;0.77124184;0.9874282;0.295;0.2535552978515625;0.24454878270626068
10;0.2846909761428833;0.29095131158828735;0.2783898115158081;0.8943423;0.6118745623574671;0.8943522434650503;0.5811113879890356;0.90596396;0.73025644;0.97934747;0.35484675;0.9004397;0.6252645160080934;0.8940966235632183;0.2481093406677246;0.575;0.9077686;0.7610063;0.9863506;0.3025;0.25335216522216797;0.24286620318889618
11;0.2844661474227905;0.29083094000816345;0.27806007862091064;0.89393526;0.6178608879125029;0.8958530736862627;0.5833540991776726;0.9056282;0.7281153;0.9792689;0.35235485;0.89981157;0.6163680765490978;0.8945056573275862;0.24758006632328033;0.5654320987654321;0.9077076;0.7515528;0.9856322;0.3025;0.252765953540802;0.24239425361156464
12;0.28493162989616394;0.29110851883888245;0.2786932587623596;0.8948511;0.6187542394666582;0.8964139104743383;0.57847533632287;0.909194;0.7124244;0.9757352;0.38151008;0.90201;0.6202384184192842;0.8956330818965518;0.24625609815120697;0.5625;0.912;0.73913044;0.98275864;0.34;0.2506728172302246;0.24183909595012665
13;0.28201693296432495;0.2875015139579773;0.27642378211021423;0.8953599;0.6192055831048409;0.896394924512923;0.5818589583852479;0.91156137;0.7027972;0.9733009;0.40069774;0.90232414;0.6196614350809072;0.8932983117816093;0.24517931044101715;0.5785536159600998;0.91368353;0.72820514;0.98096263;0.355;0.24827782809734344;0.24208082258701324
14;0.27957502007484436;0.28473731875419617;0.27433452010154724;0.8947154;0.6230480563125218;0.8971355824732992;0.5849196538936959;0.9060015;0.7343992;0.97977936;0.35484675;0.9004397;0.614558855092608;0.8932309626436782;0.24825260043144226;0.5696517412935324;0.9083085;0.75460124;0.9856322;0.3075;0.2518450915813446;0.24466021358966827
15;0.28133776783943176;0.28698495030403137;0.27589288353919983;0.8941388;0.624268176515389;0.8989479370498118;0.5895838524794418;0.9041814;0.7429194;0.98146766;0.33989534;0.90232414;0.6229641349619045;0.8958755387931034;0.24633632600307465;0.575;0.90849024;0.7834395;0.98778737;0.3075;0.24974580109119415;0.24292683601379395
16;0.28321194648742676;0.28800442814826965;0.2783094048500061;0.89583474;0.624512742562015;0.8994710807606638;0.586095190630451;0.9112743;0.70914745;0.97428244;0.39795664;0.9026382;0.6198997225563674;0.8959788074712643;0.24517126381397247;0.5785536159600998;0.9142666;0.72727275;0.98060346;0.36;0.24873505532741547;0.24160781502723694
