Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Lactate,0.00018283478568630247,16,0.0002665515136568497,11,8.371672797054724e-05,8.371672797054724e-05,-5
White blood cell count,0.00021608979074550164,12,0.0002917317861727058,8,7.564199542720417e-05,7.564199542720417e-05,-4
Heart Rate,0.0002120229127637164,13,0.00028603920627052885,9,7.401629350681243e-05,7.401629350681243e-05,-4
Glascow coma scale motor response->Obeys Commands,0.0004305378712016916,2,0.0004810783038602462,2,5.054043265855456e-05,5.054043265855456e-05,0
mask->Temperature,7.986625707255434e-05,26,4.6467014477306426e-05,38,-3.339924259524791e-05,3.339924259524791e-05,12
Glascow coma scale verbal response->Oriented,0.00042135909880078575,3,0.00045418419965379393,3,3.282510085300818e-05,3.282510085300818e-05,0
Temperature,0.00041009366469529055,4,0.0004406185071700911,4,3.052484247480057e-05,3.052484247480057e-05,0
Hemoglobin,0.00011876052298253318,23,0.00014765553938562046,20,2.8895016403087276e-05,2.8895016403087276e-05,-3
Glascow coma scale verbal response->No Response-ETT,0.0003053605089385051,6,0.00032965429760527373,6,2.4293788666768603e-05,2.4293788666768603e-05,0
Creatinine,0.0005376311913000442,1,0.0005609286865225274,1,2.3297495222483278e-05,2.3297495222483278e-05,0
Systolic blood pressure,0.0002330662568956463,10,0.00025416311983335327,12,2.1096862937706958e-05,2.1096862937706958e-05,2
mask->Glucose,0.0002082398564793549,14,0.0001944011027607193,15,-1.3838753718635585e-05,1.3838753718635585e-05,1
Diastolic blood pressure,0.00011773996497799563,24,0.00013004474592282378,24,1.2304780944828156e-05,1.2304780944828156e-05,0
Weight,0.00026918389942443075,8,0.00027992446153113587,10,1.0740562106705117e-05,1.0740562106705117e-05,2
mask->pH,0.00014621424814365762,19,0.00013707663696840234,22,-9.13761117525528e-06,9.13761117525528e-06,3
Glascow coma scale eye opening->To Pain,0.00017110659667251223,17,0.00017864300683848543,17,7.5364101659731975e-06,7.5364101659731975e-06,0
Bilirubin,0.0002456005684764215,9,0.00023827364023147285,13,-7.326928244948643e-06,7.326928244948643e-06,4
Glascow coma scale eye opening->To Speech,0.00023028296171447287,11,0.00023699098122556257,14,6.708019511089702e-06,6.708019511089702e-06,3
mask->Hemoglobin,2.9910050300784296e-05,42,3.6462683280752614e-05,40,6.552632979968317e-06,6.552632979968317e-06,-2
Platelets,0.00013528411753722076,21,0.00014182062619807058,21,6.536508660849816e-06,6.536508660849816e-06,0
Glascow coma scale motor response->Localizes Pain,6.0924612516950634e-05,30,6.689372119789685e-05,29,5.9691086809462174e-06,5.9691086809462174e-06,-1
Prothrombin time,5.05622132413359e-05,36,5.6158060545505526e-05,32,5.595847304169626e-06,5.595847304169626e-06,-4
mask->Glascow coma scale motor response,6.86916793973129e-05,29,7.426033867198542e-05,27,5.568659274672518e-06,5.568659274672518e-06,-2
Glascow coma scale motor response->Abnormal extension,1.6633161585823445e-05,47,2.0673525825419133e-05,46,4.040364239595688e-06,4.040364239595688e-06,-1
Glascow coma scale motor response->Flex-withdraws,8.961342774181423e-05,25,9.356268662953492e-05,25,3.949258887720695e-06,3.949258887720695e-06,0
mask->Creatinine,3.896277883228908e-05,39,4.272638250683998e-05,39,3.7636036745509037e-06,3.7636036745509037e-06,0
Glascow coma scale verbal response->Incomprehensible sounds,5.5965964226909644e-05,32,5.9123779343277063e-05,31,3.157815116367419e-06,3.157815116367419e-06,-1
Glascow coma scale motor response->No response,5.083002898883161e-05,35,5.398465793008748e-05,34,3.154628941255871e-06,3.154628941255871e-06,-1
mask->Glascow coma scale eye opening,0.00014562245819065158,20,0.00014852776289833594,19,2.905304707684364e-06,2.905304707684364e-06,-1
Glascow coma scale verbal response->Confused,4.751122199257246e-05,37,5.0374090570356976e-05,36,2.8628685777845126e-06,2.8628685777845126e-06,-1
Potassium,0.00016650099879891495,18,0.0001692634090076008,18,2.7624102086858517e-06,2.7624102086858517e-06,0
Glascow coma scale verbal response->Inappropriate Words,3.224754590724438e-05,40,3.49762151845575e-05,41,2.72866927731312e-06,2.72866927731312e-06,1
mask->Diastolic blood pressure,2.0109379199247177e-05,45,2.246060586290734e-05,45,2.3512266636601634e-06,2.3512266636601634e-06,0
mask->White blood cell count,5.246393771927844e-05,34,5.47756291147142e-05,33,2.311691395435755e-06,2.311691395435755e-06,-1
mask->Fraction inspired oxygen,0.0003692280326153473,5,0.00036710877363082606,5,-2.119258984521245e-06,2.119258984521245e-06,0
mask->Glascow coma scale verbal response,5.9872525835383894e-05,31,6.194527938260196e-05,30,2.0727535472180695e-06,2.0727535472180695e-06,-1
Glascow coma scale eye opening->Spontaneously,0.00013038718403212202,22,0.0001324178697167514,23,2.0306856846293887e-06,2.0306856846293887e-06,1
mask->Prothrombin time,2.2548079828710508e-05,44,2.4417849185068316e-05,44,1.8697693563578084e-06,1.8697693563578084e-06,0
Glascow coma scale eye opening->4 Spontaneously,7.15776907064028e-05,28,7.339776168245623e-05,28,1.820070976053437e-06,1.820070976053437e-06,0
Height,7.142157228626616e-06,51,8.503297266082235e-06,51,1.3611400374556189e-06,1.3611400374556189e-06,0
Sodium,0.00019032873305471288,15,0.0001915549108644236,16,1.2261778097107264e-06,1.2261778097107264e-06,1
mask->Bilirubin,1.3070667798234347e-05,48,1.4205613391953306e-05,48,1.1349455937189586e-06,1.1349455937189586e-06,0
Glascow coma scale verbal response->No Response,4.590227446350759e-05,38,4.6961383974871274e-05,37,1.0591095113636863e-06,1.0591095113636863e-06,-1
Fraction inspired oxygen,0.0002962256640814246,7,0.00029522435065216753,7,-1.0013134292570893e-06,1.0013134292570893e-06,0
mask->Weight,1.802963249014724e-05,46,1.8720742971418177e-05,47,6.911104812709356e-07,6.911104812709356e-07,1
mask->Platelets,1.1877598834144749e-05,49,1.2467907731685429e-05,49,5.903088975406803e-07,5.903088975406803e-07,0
mask->Mean blood pressure,7.061673246515793e-06,52,6.5812699729569904e-06,52,-4.804032735588029e-07,4.804032735588029e-07,0
mask->Sodium,7.638159866849259e-05,27,7.608228507443274e-05,26,-2.993135940598503e-07,2.993135940598503e-07,-1
mask->Systolic blood pressure,3.431379863023492e-06,55,3.7281938728422052e-06,55,2.968140098187134e-07,2.968140098187134e-07,0
Hematocrit,5.3593379733370846e-05,33,5.3351816049828567e-05,35,-2.4156368354227983e-07,2.4156368354227983e-07,2
