Feature,Mean_Abs_SHAP_Reference,Mean_Abs_SHAP_Perturbed,Rank_Reference,Rank_Perturbed,SHAP_Change
Lactate,0.00018283478568630247,0.0002665515136568497,16,11,8.371672797054724e-05
White blood cell count,0.00021608979074550164,0.0002917317861727058,12,8,7.564199542720417e-05
Heart Rate,0.0002120229127637164,0.00028603920627052885,13,9,7.401629350681243e-05
Glascow coma scale motor response->Obeys Commands,0.0004305378712016916,0.0004810783038602462,2,2,5.054043265855456e-05
Glascow coma scale verbal response->Oriented,0.00042135909880078575,0.00045418419965379393,3,3,3.282510085300818e-05
Temperature,0.00041009366469529055,0.0004406185071700911,4,4,3.052484247480057e-05
Hemoglobin,0.00011876052298253318,0.00014765553938562046,23,20,2.8895016403087276e-05
Glascow coma scale verbal response->No Response-ETT,0.0003053605089385051,0.00032965429760527373,6,6,2.4293788666768603e-05
Creatinine,0.0005376311913000442,0.0005609286865225274,1,1,2.3297495222483278e-05
Systolic blood pressure,0.0002330662568956463,0.00025416311983335327,10,12,2.1096862937706958e-05
