Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Lactate,0.00025207778235292633,10,0.00037547707647319083,4,0.0001233992941202645,0.0001233992941202645,-6
Heart Rate,0.00020194706876344097,14,0.00025047433568352643,11,4.852726692008546e-05,4.852726692008546e-05,-3
Creatinine,0.0003213779273489262,6,0.00036782829407524013,6,4.645036672631394e-05,4.645036672631394e-05,0
Bilirubin,0.00041400238309886997,4,0.0003690564078643094,5,-4.4945975234560545e-05,4.4945975234560545e-05,1
mask->Temperature,8.802003499751312e-05,26,4.7008622614516795e-05,40,-4.1011412382996326e-05,4.1011412382996326e-05,14
White blood cell count,0.0002795830776574421,7,0.0003106776141058605,8,3.109453644841841e-05,3.109453644841841e-05,1
Glascow coma scale eye opening->4 Spontaneously,0.00018735244710005113,16,0.00016678696379097402,20,-2.0565483309077117e-05,2.0565483309077117e-05,4
Temperature,0.0004892019216325335,3,0.0004720626173192288,3,-1.71393043133047e-05,1.71393043133047e-05,0
Fraction inspired oxygen,0.0002772347070311857,8,0.00026105002604094515,10,-1.6184680990240577e-05,1.6184680990240577e-05,2
Hemoglobin,0.00017081976826315514,19,0.00018571536625471433,16,1.4895597991559196e-05,1.4895597991559196e-05,-3
Weight,0.0002713484639073936,9,0.0002845552375559427,9,1.3206773648549123e-05,1.3206773648549123e-05,0
mask->Glascow coma scale eye opening,0.0003222986542164088,5,0.00031098992131433256,7,-1.1308732902076235e-05,1.1308732902076235e-05,2
Glascow coma scale motor response->Obeys Commands,0.0005880835394570523,1,0.0005986260815975992,1,1.0542542140546968e-05,1.0542542140546968e-05,0
mask->Hemoglobin,4.11810632069605e-05,41,5.110890455355427e-05,38,9.927841346593768e-06,9.927841346593768e-06,-3
mask->Glascow coma scale motor response,7.886744631017563e-05,28,8.76541248250694e-05,26,8.786678514893773e-06,8.786678514893773e-06,-2
Glascow coma scale verbal response->Oriented,0.0005375811072844169,2,0.000529789581608298,2,-7.791525676118893e-06,7.791525676118893e-06,0
mask->Hematocrit,4.3386206367710864e-05,40,5.0878432855033504e-05,39,7.492226487322639e-06,7.492226487322639e-06,-1
