Feature,Mean_Abs_SHAP_Reference,Mean_Abs_SHAP_Perturbed,Rank_Reference,Rank_Perturbed,SHAP_Change
Lactate,0.00025207778235292633,0.00037547707647319083,10,4,0.0001233992941202645
Heart Rate,0.00020194706876344097,0.00025047433568352643,14,11,4.852726692008546e-05
Creatinine,0.0003213779273489262,0.00036782829407524013,6,6,4.645036672631394e-05
White blood cell count,0.0002795830776574421,0.0003106776141058605,7,8,3.109453644841841e-05
Hemoglobin,0.00017081976826315514,0.00018571536625471433,19,16,1.4895597991559196e-05
Weight,0.0002713484639073936,0.0002845552375559427,9,9,1.3206773648549123e-05
Glascow coma scale motor response->Obeys Commands,0.0005880835394570523,0.0005986260815975992,1,1,1.0542542140546968e-05
mask->Hemoglobin,4.11810632069605e-05,5.110890455355427e-05,41,38,9.927841346593768e-06
mask->Glascow coma scale motor response,7.886744631017563e-05,8.76541248250694e-05,28,26,8.786678514893773e-06
mask->Hematocrit,4.3386206367710864e-05,5.0878432855033504e-05,40,39,7.492226487322639e-06
