Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Temperature,0.00040366700571336123,6,0.000793167588107185,1,0.0003895005823938238,0.0003895005823938238,-5
Bilirubin,0.0010068785476760823,1,0.0007683470956226124,2,-0.0002385314520534699,0.0002385314520534699,1
White blood cell count,0.0003224106026971247,18,0.00047329786413825755,6,0.00015088726144113284,0.00015088726144113284,-12
Lactate,0.0003675844368440397,14,0.00048590166128250104,5,0.00011831722443846136,0.00011831722443846136,-9
Heart Rate,0.0003426025035669396,17,0.0004585258925416728,7,0.00011592338897473315,0.00011592338897473315,-10
Glascow coma scale motor response->Flex-withdraws,0.00039567395103434023,9,0.0002898570155457717,20,-0.00010581693548856856,0.00010581693548856856,11
Glascow coma scale eye opening->To Pain,0.000373002097280401,13,0.00030173140751173797,19,-7.127068976866305e-05,7.127068976866305e-05,6
mask->Bilirubin,0.00014339335046314552,39,7.260270111305312e-05,52,-7.07906493500924e-05,7.07906493500924e-05,13
Creatinine,0.0005689739047430501,2,0.0006310273030142719,3,6.205339827122184e-05,6.205339827122184e-05,1
Glascow coma scale verbal response->Oriented,0.000534219638186122,3,0.0005822977246188039,4,4.8078086432681985e-05,4.8078086432681985e-05,1
mask->Fraction inspired oxygen,0.00040513532139212124,5,0.0003574365708792519,12,-4.7698750512869344e-05,4.7698750512869344e-05,7
Fraction inspired oxygen,0.00039712664219283773,8,0.00035328190726834286,13,-4.384473492449487e-05,4.384473492449487e-05,5
Diastolic blood pressure,0.0003772733897098357,12,0.0003387510469286255,14,-3.852234278121019e-05,3.852234278121019e-05,2
mask->pH,0.0002294770361602988,27,0.00019254307027154674,33,-3.693396588875207e-05,3.693396588875207e-05,6
Glascow coma scale eye opening->To Speech,0.00027735382485713186,21,0.00024476122555323025,25,-3.2592599303901606e-05,3.2592599303901606e-05,4
mask->Hemoglobin,0.00015015256322012816,37,0.0001187280473752024,41,-3.1424515844925765e-05,3.1424515844925765e-05,4
Glascow coma scale verbal response->No Response-ETT,0.0004135980930297478,4,0.00044497133659584967,8,3.137324356610187e-05,3.137324356610187e-05,4
Glascow coma scale motor response->Localizes Pain,0.00020878134686828716,29,0.00023953991319361527,26,3.075856632532811e-05,3.075856632532811e-05,-3
Sodium,0.00020777160912050915,30,0.00023655085275629947,27,2.8779243635790325e-05,2.8779243635790325e-05,-3
Weight,0.00034865677022878063,15,0.00032079446428846006,17,-2.7862305940320575e-05,2.7862305940320575e-05,2
Hematocrit,0.00019657372478706987,31,0.0002238578244404225,29,2.7284099653352632e-05,2.7284099653352632e-05,-2
Prothrombin time,0.00017899969569153148,35,0.00020359810194669383,32,2.4598406255162348e-05,2.4598406255162348e-05,-3
mask->Prothrombin time,0.00024483938280010157,25,0.0002203267332307357,30,-2.4512649569365878e-05,2.4512649569365878e-05,5
mask->Hematocrit,0.00019477716864121136,32,0.0002184051149577207,31,2.3627946316509335e-05,2.3627946316509335e-05,-1
Systolic blood pressure,0.00038930480993947534,11,0.00036747002921999763,11,-2.183478071947771e-05,2.183478071947771e-05,0
Glascow coma scale eye opening->Spontaneously,0.00016801706605970208,36,0.00018591399138120432,35,1.7896925321502248e-05,1.7896925321502248e-05,-1
Glascow coma scale verbal response->No Response,8.550529143686753e-05,49,0.00010313075687051685,44,1.7625465433649312e-05,1.7625465433649312e-05,-5
Platelets,0.0003071182366651968,19,0.0003235508397788856,16,1.64326031136888e-05,1.64326031136888e-05,-3
mask->Lactate,0.00012252600981289968,42,0.00010725156121196992,43,-1.5274448600929763e-05,1.5274448600929763e-05,1
mask->Glucose,0.00029691018478329484,20,0.00031018088576846364,18,1.3270700985168796e-05,1.3270700985168796e-05,-2
Glascow coma scale verbal response->Inappropriate Words,4.320683457644461e-05,56,5.622967312675688e-05,54,1.3022838550312275e-05,1.3022838550312275e-05,-2
Hemoglobin,0.00024169749324662911,26,0.00025442912019132193,23,1.2731626944692813e-05,1.2731626944692813e-05,-3
mask->Diastolic blood pressure,8.077007279047342e-05,51,9.22409561160436e-05,48,1.147088332557017e-05,1.147088332557017e-05,-3
Glascow coma scale eye opening->4 Spontaneously,0.00014538533969196395,38,0.00015633784248918054,37,1.0952502797216594e-05,1.0952502797216594e-05,-1
mask->Glascow coma scale motor response,0.0002616945959641518,22,0.00027260739322032437,21,1.0912797256172559e-05,1.0912797256172559e-05,-1
Mean blood pressure,0.00010756468581900528,44,9.77855309073004e-05,47,-9.779154911704885e-06,9.779154911704885e-06,3
Glascow coma scale motor response->Abnormal extension,3.0484326892639136e-05,59,3.970789423542588e-05,58,9.223567342786743e-06,9.223567342786743e-06,-1
mask->Platelets,9.67121277277643e-05,48,8.788453818620335e-05,50,-8.827589541560943e-06,8.827589541560943e-06,2
mask->Glascow coma scale verbal response,0.0003467571559327054,16,0.00033849233975925835,15,-8.264816173447038e-06,8.264816173447038e-06,-1
Respiratory rate,4.71065324221355e-05,54,5.3956658335143395e-05,55,6.850125913007895e-06,6.850125913007895e-06,1
mask->Mean blood pressure,8.154382104829999e-05,50,8.807743452807135e-05,49,6.533613479771364e-06,6.533613479771364e-06,-1
mask->Heart Rate,4.246849916091209e-05,57,4.895433720168529e-05,57,6.4858380407732e-06,6.4858380407732e-06,0
Height,0.00025059070385732314,23,0.00025704642348358786,22,6.455719626264711e-06,6.455719626264711e-06,-1
mask->Oxygen saturation,4.6159434220521555e-05,55,5.244433829193686e-05,56,6.284904071415302e-06,6.284904071415302e-06,1
Glascow coma scale verbal response->Incomprehensible sounds,0.00011481661237210218,43,0.00012055574960703049,40,5.739137234928303e-06,5.739137234928303e-06,-3
Glascow coma scale motor response->No response,0.00012577871815872175,41,0.0001313467966870555,38,5.56807852833375e-06,5.56807852833375e-06,-3
mask->Temperature,0.00022671643283353268,28,0.00023204609508032363,28,5.3296622467909505e-06,5.3296622467909505e-06,0
mask->Respiratory rate,2.8654516772060023e-05,60,3.3498095713160884e-05,60,4.843578941100861e-06,4.843578941100861e-06,0
mask->Sodium,0.00019061203456942794,33,0.00018626700973594867,34,-4.345024833479267e-06,4.345024833479267e-06,1
mask->Potassium,0.00010580606848951568,46,0.00010162715504276856,45,-4.178913446747115e-06,4.178913446747115e-06,-1
mask->White blood cell count,0.00012606580814041816,40,0.0001222121991891408,39,-3.853608951277348e-06,3.853608951277348e-06,-1
Potassium,0.0002478641028041578,24,0.0002508649592226577,24,3.0008564184998837e-06,3.0008564184998837e-06,0
Glascow coma scale motor response->Obeys Commands,0.00039473227648786024,10,0.0003919397492223283,10,-2.7925272655319588e-06,2.7925272655319588e-06,0
Glascow coma scale verbal response->5 Oriented,1.3507179586289924e-05,62,1.5610677707366498e-05,62,2.103498121076574e-06,2.103498121076574e-06,0
mask->Glascow coma scale eye opening,0.0004023450833258864,7,0.00040441896124816817,9,2.0738779222817527e-06,2.0738779222817527e-06,2
mask->Creatinine,0.00010722056629018077,45,0.00010927024971953981,42,2.0496834293590378e-06,2.0496834293590378e-06,-3
mask->Systolic blood pressure,7.305898536488501e-05,53,7.127494120101382e-05,53,-1.7840441638711907e-06,1.7840441638711907e-06,0
Oxygen saturation,7.553264539819064e-05,52,7.40554484120302e-05,51,-1.4771969861604423e-06,1.4771969861604423e-06,-1
Glascow coma scale motor response->6 Obeys Commands,1.6287163749577732e-05,61,1.7677952546640517e-05,61,1.3907887970627848e-06,1.3907887970627848e-06,0
Glascow coma scale verbal response->Confused,0.000180262993049089,34,0.00017969705499390105,36,-5.659380551879486e-07,5.659380551879486e-07,2
mask->Height,3.0204896999800706e-06,64,2.6083829302973408e-06,64,-4.1210676968272987e-07,4.1210676968272987e-07,0
mask->Weight,9.8761118996194e-05,47,9.915492642528362e-05,46,3.938074290896204e-07,3.938074290896204e-07,-1
Glascow coma scale motor response->Abnormal Flexion,1.0210592172775804e-05,63,1.044069304849867e-05,63,2.30100875722866e-07,2.30100875722866e-07,0
Glucose,3.903646406697571e-05,58,3.923452244537879e-05,59,1.9805837840308462e-07,1.9805837840308462e-07,1
pH,2.498036680774102e-08,65,2.6978955482264646e-08,65,1.9985886745236244e-09,1.9985886745236244e-09,0
Glascow coma scale total->14,0.0,66,0.0,66,0.0,0.0,0
Glascow coma scale total->12,0.0,67,0.0,67,0.0,0.0,0
Glascow coma scale total->13,0.0,68,0.0,68,0.0,0.0,0
Glascow coma scale total->10,0.0,69,0.0,69,0.0,0.0,0
Glascow coma scale total->11,0.0,70,0.0,70,0.0,0.0,0
