Feature,Mean_Abs_SHAP_Reference,Mean_Abs_SHAP_Perturbed,Rank_Reference,Rank_Perturbed,SHAP_Change
Temperature,0.00040366700571336123,0.000793167588107185,6,1,0.0003895005823938238
White blood cell count,0.0003224106026971247,0.00047329786413825755,18,6,0.00015088726144113284
Lactate,0.0003675844368440397,0.00048590166128250104,14,5,0.00011831722443846136
Heart Rate,0.0003426025035669396,0.0004585258925416728,17,7,0.00011592338897473315
Creatinine,0.0005689739047430501,0.0006310273030142719,2,3,6.205339827122184e-05
Glascow coma scale verbal response->Oriented,0.000534219638186122,0.0005822977246188039,3,4,4.8078086432681985e-05
Glascow coma scale verbal response->No Response-ETT,0.0004135980930297478,0.00044497133659584967,4,8,3.137324356610187e-05
Glascow coma scale motor response->Localizes Pain,0.00020878134686828716,0.00023953991319361527,29,26,3.075856632532811e-05
Sodium,0.00020777160912050915,0.00023655085275629947,30,27,2.8779243635790325e-05
Hematocrit,0.00019657372478706987,0.0002238578244404225,31,29,2.7284099653352632e-05
