Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.4002496618538094,1
Temperature_last10%_min,0.15666198117889402,2
Glascow coma scale motor response_last10%_min,0.15092125013594382,3
Respiratory rate_last25%_mean,0.14453100694233376,4
Glascow coma scale verbal response_full_mean,0.13972082433273228,5
Temperature_last25%_min,0.13501878430210074,6
White blood cell count_last10%_min,0.11952792874209402,7
Diastolic blood pressure_last10%_min,0.11190663945827486,8
Glascow coma scale eye opening_last10%_min,0.10744697416495581,9
Heart Rate_last10%_min,0.10270788411636678,10
Glascow coma scale motor response_full_std,0.09901581606438861,11
Heart Rate_last10%_max,0.09451801642407633,12
Lactate_last10%_min,0.09126698298911005,13
Glascow coma scale verbal response_full_std,0.08695906188079633,14
Glascow coma scale eye opening_last10%_max,0.0852028922055029,15
Fraction inspired oxygen_last10%_min,0.08161991569103363,16
Weight_full_min,0.080070405637297,17
Potassium_last10%_min,0.07560789742526276,18
Hemoglobin_full_std,0.0726717888113293,19
Glucose_full_min,0.07253206230706906,20
Glascow coma scale verbal response_full_max,0.06986573386535042,21
Creatinine_last10%_min,0.066986181125127,22
Bilirubin_full_min,0.06678677507560385,23
White blood cell count_full_min,0.06408927065548414,24
Platelets_full_min,0.06145494415548555,25
Diastolic blood pressure_last25%_min,0.060419632814538424,26
White blood cell count_full_std,0.05936251957912513,27
Hematocrit_full_max,0.057283872232259433,28
Fraction inspired oxygen_last10%_max,0.051077241176673865,29
Glascow coma scale motor response_full_min,0.048630587851331016,30
Prothrombin time_last10%_min,0.04828670106851493,31
Weight_full_mean,0.048169628072286697,32
Systolic blood pressure_full_mean,0.04758939488738956,33
Respiratory rate_full_min,0.04653184314301718,34
Sodium_full_min,0.0456033715156256,35
Respiratory rate_last10%_mean,0.043184055776628566,36
Fraction inspired oxygen_full_max,0.04306745554226568,37
Diastolic blood pressure_full_min,0.0413692471129096,38
Glascow coma scale motor response_full_max,0.04019884657401995,39
Systolic blood pressure_last25%_min,0.03993229829889638,40
Sodium_full_max,0.03870051353715978,41
Sodium_full_mean,0.03720936298892718,42
Lactate_full_min,0.03719813974290263,43
Glascow coma scale motor response_full_mean,0.034034690957776836,44
Potassium_full_min,0.03271160209808726,45
Prothrombin time_full_mean,0.031656791825638825,46
Sodium_last10%_min,0.02942102046015263,47
Oxygen saturation_last10%_min,0.029391388826777654,48
Systolic blood pressure_last10%_std,0.028663231536900657,49
Fraction inspired oxygen_last25%_max,0.027171984435238054,50
Creatinine_full_min,0.02717173772758896,51
Glascow coma scale verbal response_last10%_std,0.027072458883060244,52
Prothrombin time_full_max,0.026213320942459827,53
Systolic blood pressure_last10%_max,0.02609654408130805,54
Systolic blood pressure_full_min,0.025791314181784576,55
Oxygen saturation_full_min,0.025377492323708502,56
Glascow coma scale eye opening_last25%_std,0.025193790379616714,57
Prothrombin time_full_min,0.024844434054741845,58
Lactate_full_mean,0.02317663312876511,59
White blood cell count_full_max,0.021761500375198698,60
Oxygen saturation_last25%_min,0.021546817840813633,61
Glascow coma scale verbal response_full_min,0.021086988815439488,62
