Feature,Mean_Abs_SHAP_Reference,Mean_Abs_SHAP_Perturbed,Rank_Reference,Rank_Perturbed,SHAP_Change
Temperature_last10%_min,0.07531440746339077,0.15666198117889402,18,2,0.08134757371550325
Temperature_last25%_min,0.06374407807758779,0.13501878430210074,23,6,0.07127470622451294
White blood cell count_last10%_min,0.08361780527932997,0.11952792874209402,11,7,0.03591012346276405
Respiratory rate_last25%_mean,0.1175808976724633,0.14453100694233376,4,4,0.02695010926987046
White blood cell count_full_min,0.044079379593839126,0.06408927065548414,35,24,0.020009891061645017
Heart Rate_last10%_min,0.0859879914690717,0.10270788411636678,9,10,0.01671989264729508
Heart Rate_last10%_max,0.07831014040331208,0.09451801642407633,14,12,0.016207876020764247
Lactate_last10%_min,0.07651601020135677,0.09126698298911005,16,13,0.01475097278775328
White blood cell count_full_std,0.048156104078825694,0.05936251957912513,31,27,0.011206415500299438
Respiratory rate_last10%_mean,0.035026937165338036,0.043184055776628566,42,36,0.00815711861129053
