Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.030988192526928818,1
Respiratory rate_last25%_mean,0.010325614523385502,2
White blood cell count_last10%_min,0.010086743076582683,3
Temperature_last25%_min,0.006185069825414745,4
White blood cell count_full_min,0.006037394623355357,5
Glascow coma scale motor response_last25%_max,0.005327709068983935,6
Diastolic blood pressure_last10%_min,0.004764004717892168,7
Hemoglobin_full_max,0.0046096439359377215,8
Systolic blood pressure_full_mean,0.003976731560290821,9
Platelets_last10%_min,0.003771124267329116,10
Temperature_last10%_min,0.0035417327467236396,11
Glascow coma scale verbal response_full_mean,0.003267669657864963,12
Potassium_last10%_min,0.0029814956149380747,13
Weight_full_min,0.002977548278684211,14
Creatinine_last10%_min,0.002962183781455069,15
Heart Rate_full_mean,0.0023993042182637956,16
Bilirubin_full_std,0.002388328744997388,17
Fraction inspired oxygen_last10%_max,0.002373315776986991,18
Temperature_full_min,0.0023547879496584627,19
Hematocrit_last10%_min,0.0022292918007424957,20
Sodium_full_std,0.0022148977558493297,21
Mean blood pressure_last10%_min,0.0019808494701631933,22
Platelets_full_mean,0.0019260480711851449,23
Lactate_last25%_min,0.0017853626014888058,24
Sodium_full_min,0.001758555252006016,25
Glascow coma scale motor response_last10%_max,0.001555951466723583,26
Diastolic blood pressure_last25%_min,0.0015278853313814376,27
White blood cell count_full_std,0.0015126892341354723,28
Bilirubin_full_min,0.0015075889919919222,29
Hemoglobin_full_mean,0.0015056185534696167,30
Prothrombin time_last10%_min,0.0014014749836624455,31
Glascow coma scale motor response_full_max,0.0013930815561505523,32
Glascow coma scale motor response_last25%_min,0.0013678992758800648,33
Respiratory rate_last10%_mean,0.0012734472034064176,34
Sodium_full_max,0.0012499813535737912,35
Oxygen saturation_last10%_min,0.0011996664402361935,36
Glucose_full_min,0.0011464180852527998,37
Lactate_last10%_min,0.0011293869666256192,38
Glascow coma scale eye opening_full_std,0.0010776706774768422,39
Glascow coma scale eye opening_last10%_min,0.0010603806917344513,40
Glascow coma scale eye opening_full_mean,0.000994903233453861,41
