Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.030131173655931865,1
Hemoglobin_full_max,0.006667083564319248,2
Respiratory rate_last25%_mean,0.0066011568944694295,3
Glascow coma scale motor response_last25%_max,0.006267834266874767,4
White blood cell count_last10%_min,0.00624695146455944,5
Diastolic blood pressure_last10%_min,0.005181880366425176,6
Systolic blood pressure_full_mean,0.0041366843690656295,7
Platelets_last10%_min,0.003260667685986451,8
Creatinine_last10%_min,0.003168627608428784,9
White blood cell count_full_min,0.0030613295823977587,10
Glascow coma scale verbal response_full_mean,0.002999339954924389,11
Fraction inspired oxygen_last10%_max,0.0028141507192583405,12
Potassium_last10%_min,0.0026313169440182987,13
Weight_full_min,0.0025991903393046806,14
Hemoglobin_full_std,0.0025771482022784596,15
Glascow coma scale motor response_last25%_min,0.0023787284562739384,16
Bilirubin_full_std,0.0023686707380174868,17
Sodium_full_std,0.002367061199526307,18
Hemoglobin_full_mean,0.0021655606932259445,19
Sodium_full_min,0.002024471420219798,20
Glascow coma scale motor response_last10%_max,0.001974145498491229,21
Glascow coma scale motor response_full_max,0.001928354113909283,22
Bilirubin_full_min,0.0018772744292710752,23
Lactate_last25%_min,0.0017835709690696554,24
Sodium_full_max,0.0017077537036515062,25
Potassium_full_min,0.0016601391856961357,26
Glucose_full_min,0.0015501578274233175,27
Prothrombin time_last10%_min,0.0014792538023451604,28
Diastolic blood pressure_last25%_min,0.0014121993645073816,29
Fraction inspired oxygen_full_mean,0.0014046744160764405,30
Platelets_full_mean,0.0013818778829904578,31
Glascow coma scale eye opening_last10%_min,0.0013797971600584002,32
Heart Rate_full_mean,0.0013733034446754006,33
Glascow coma scale eye opening_full_mean,0.001316879081976839,34
Temperature_full_min,0.0012325192744080402,35
Hematocrit_last10%_min,0.0011747156414719962,36
Temperature_last10%_min,0.0011381877773308866,37
Temperature_last25%_min,0.0010830002269121301,38
Lactate_last10%_min,0.0010110162175268832,39
Potassium_full_mean,0.0009316995419180372,40
Diastolic blood pressure_last10%_mean,0.0009294084912525865,41
