Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Temperature_last25%_min,0.0010830002269121301,38,0.006185069825414745,4,0.0051020695985026145,0.0051020695985026145,-34
White blood cell count_last10%_min,0.00624695146455944,5,0.010086743076582683,3,0.0038397916120232432,0.0038397916120232432,-2
Respiratory rate_last25%_mean,0.0066011568944694295,3,0.010325614523385502,2,0.0037244576289160725,0.0037244576289160725,-1
White blood cell count_full_min,0.0030613295823977587,10,0.006037394623355357,5,0.002976065040957598,0.002976065040957598,-5
Temperature_last10%_min,0.0011381877773308866,37,0.0035417327467236396,11,0.002403544969392753,0.002403544969392753,-26
Hemoglobin_full_max,0.006667083564319248,2,0.0046096439359377215,8,-0.002057439628381527,0.002057439628381527,6
Hemoglobin_full_std,0.0025771482022784596,15,0.0008973915795198842,46,-0.0016797566227585753,0.0016797566227585753,31
Mean blood pressure_last10%_min,0.0008151511416200338,47,0.0019808494701631933,22,0.0011656983285431594,0.0011656983285431594,-25
Temperature_full_min,0.0012325192744080402,35,0.0023547879496584627,19,0.0011222686752504225,0.0011222686752504225,-16
Potassium_full_min,0.0016601391856961357,26,0.0005514597398820629,66,-0.0011086794458140727,0.0011086794458140727,40
Hematocrit_last10%_min,0.0011747156414719962,36,0.0022292918007424957,20,0.0010545761592704996,0.0010545761592704996,-16
Heart Rate_full_mean,0.0013733034446754006,33,0.0023993042182637956,16,0.001026000773588395,0.001026000773588395,-17
Glascow coma scale motor response_last25%_min,0.0023787284562739384,16,0.0013678992758800648,33,-0.0010108291803938736,0.0010108291803938736,17
White blood cell count_full_std,0.0005479016104374381,57,0.0015126892341354723,28,0.0009647876236980342,0.0009647876236980342,-29
Respiratory rate_last10%_mean,0.00031658002300374757,78,0.0012734472034064176,34,0.00095686718040267,0.00095686718040267,-44
Glascow coma scale motor response_last25%_max,0.006267834266874767,4,0.005327709068983935,6,-0.0009401251978908322,0.0009401251978908322,2
Glascow coma scale verbal response_last10%_min,0.030131173655931865,1,0.030988192526928818,1,0.0008570188709969527,0.0008570188709969527,0
Glascow coma scale eye opening_full_std,0.000391151065710401,72,0.0010776706774768422,39,0.0006865196117664411,0.0006865196117664411,-33
Lactate_last25%_std,0.00017276445405007328,89,0.0008541376082210563,48,0.000681373154170983,0.000681373154170983,-41
Oxygen saturation_last10%_min,0.0005207398625873097,59,0.0011996664402361935,36,0.0006789265776488837,0.0006789265776488837,-23
Hemoglobin_full_mean,0.0021655606932259445,19,0.0015056185534696167,30,-0.0006599421397563278,0.0006599421397563278,11
Platelets_full_mean,0.0013818778829904578,31,0.0019260480711851449,23,0.0005441701881946871,0.0005441701881946871,-8
Glascow coma scale motor response_full_max,0.001928354113909283,22,0.0013930815561505523,32,-0.0005352725577587307,0.0005352725577587307,10
Sodium_last25%_std,0.0005181243385373869,60,0.0,156,-0.0005181243385373869,0.0005181243385373869,96
Fraction inspired oxygen_full_mean,0.0014046744160764405,30,0.0008903554070279285,47,-0.000514319009048512,0.000514319009048512,17
Platelets_last10%_min,0.003260667685986451,8,0.003771124267329116,10,0.0005104565813426653,0.0005104565813426653,2
Glascow coma scale eye opening_last10%_std,0.0005065989005814087,61,0.0009717511792164441,42,0.0004651522786350353,0.0004651522786350353,-19
Potassium_full_mean,0.0009316995419180372,40,0.0004671278125504037,72,-0.00046457172936763345,0.00046457172936763345,32
Hematocrit_full_min,0.0004716880143543155,64,0.0009332752804913462,43,0.0004615872661370307,0.0004615872661370307,-21
Sodium_full_max,0.0017077537036515062,25,0.0012499813535737912,35,-0.00045777235007771503,0.00045777235007771503,10
Fraction inspired oxygen_last10%_max,0.0028141507192583405,12,0.002373315776986991,18,-0.00044083494227134925,0.00044083494227134925,6
Glascow coma scale motor response_last10%_max,0.001974145498491229,21,0.001555951466723583,26,-0.0004181940317676458,0.0004181940317676458,5
Diastolic blood pressure_last10%_min,0.005181880366425176,6,0.004764004717892168,7,-0.0004178756485330075,0.0004178756485330075,1
Glucose_full_min,0.0015501578274233175,27,0.0011464180852527998,37,-0.0004037397421705177,0.0004037397421705177,10
Lactate_full_mean,0.0004264100557672678,69,0.0008082872482630924,51,0.00038187719249582454,0.00038187719249582454,-18
Weight_full_min,0.0025991903393046806,14,0.002977548278684211,14,0.0003783579393795305,0.0003783579393795305,0
Bilirubin_full_min,0.0018772744292710752,23,0.0015075889919919222,29,-0.000369685437279153,0.000369685437279153,6
Potassium_last10%_min,0.0026313169440182987,13,0.0029814956149380747,13,0.00035017867091977593,0.00035017867091977593,0
Hematocrit_full_max,0.0003820867117250165,75,5.094750969465969e-05,103,-0.0003311392020303568,0.0003311392020303568,28
Prothrombin time_full_mean,0.0008687661982842358,42,0.0005435528312834058,68,-0.00032521336700083,0.00032521336700083,26
Glascow coma scale eye opening_full_mean,0.001316879081976839,34,0.000994903233453861,41,-0.00032197584852297796,0.00032197584852297796,7
Glascow coma scale eye opening_last10%_min,0.0013797971600584002,32,0.0010603806917344513,40,-0.00031941646832394895,0.00031941646832394895,8
Lactate_full_min,0.0,136,0.00031003792845348335,83,0.00031003792845348335,0.00031003792845348335,-53
Systolic blood pressure_last10%_min,0.0002987765314084626,80,0.000598535215885366,62,0.0002997586844769034,0.0002997586844769034,-18
Fraction inspired oxygen_full_max,8.143671529668377e-05,95,0.0003670227210756108,79,0.00028558600577892703,0.00028558600577892703,-16
White blood cell count_full_max,7.294208547291151e-05,98,0.0003541060419442766,81,0.0002811639564713651,0.0002811639564713651,-17
Glascow coma scale verbal response_full_min,0.0008220655681084957,46,0.0005463415462498019,67,-0.00027572402185869376,0.00027572402185869376,21
Glascow coma scale verbal response_full_mean,0.002999339954924389,11,0.003267669657864963,12,0.0002683297029405741,0.0002683297029405741,1
Sodium_full_min,0.002024471420219798,20,0.001758555252006016,25,-0.00026591616821378204,0.00026591616821378204,5
Heart Rate_last10%_std,0.0008547119802678597,43,0.0005898292766028122,63,-0.0002648827036650475,0.0002648827036650475,20
Potassium_last25%_min,0.0004554467206762174,66,0.0007130562360778672,53,0.0002576095154016498,0.0002576095154016498,-13
