Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.010748539931417478,1
Glascow coma scale motor response_last10%_max,0.0091505732648469,2
Glascow coma scale motor response_last10%_min,0.008942345821754884,3
Glascow coma scale motor response_last25%_min,0.008276968732337707,4
Glascow coma scale motor response_last25%_max,0.008246485938021818,5
Glascow coma scale eye opening_last10%_min,0.006190868498086171,6
Glascow coma scale eye opening_last25%_max,0.005355345100997053,7
Glascow coma scale eye opening_last10%_max,0.005141895825673201,8
Creatinine_last10%_min,0.004654820862538293,9
Glascow coma scale verbal response_full_mean,0.00445880278455068,10
Glascow coma scale motor response_full_max,0.004382060979443689,11
Glascow coma scale verbal response_full_max,0.0036270010016283914,12
White blood cell count_last10%_min,0.0035373887343202264,13
Creatinine_full_mean,0.003474824399233065,14
Glascow coma scale eye opening_last25%_min,0.003329240195903669,15
Glascow coma scale eye opening_full_max,0.00324031712816547,16
Respiratory rate_last25%_mean,0.0031724427312067186,17
Prothrombin time_full_min,0.002962254830700195,18
Prothrombin time_last10%_min,0.002884472796662274,19
White blood cell count_full_min,0.002877299661337892,20
Prothrombin time_full_mean,0.0028393913606167684,21
Heart Rate_last25%_mean,0.002733961027224931,22
Creatinine_full_min,0.0027165423145120832,23
Bilirubin_full_min,0.0027012094307420492,24
Glascow coma scale eye opening_full_mean,0.0026705226620505184,25
Prothrombin time_full_max,0.0026216319531797982,26
Creatinine_full_max,0.0026138250373650665,27
Glascow coma scale motor response_full_mean,0.0025755116636322884,28
Diastolic blood pressure_last10%_mean,0.0025671605436811086,29
Fraction inspired oxygen_last10%_max,0.0023977434728534794,30
Diastolic blood pressure_last25%_mean,0.00231219874135962,31
Respiratory rate_last10%_mean,0.0023067095455110084,32
Fraction inspired oxygen_last10%_min,0.0022446336290250788,33
Hemoglobin_full_max,0.002197680537716484,34
Fraction inspired oxygen_last25%_min,0.002159195133858297,35
Heart Rate_last10%_mean,0.0020541944468991592,36
Hematocrit_full_max,0.0018501360078004296,37
Respiratory rate_last10%_min,0.0018224504741681743,38
Hemoglobin_full_mean,0.0017914889560804316,39
Diastolic blood pressure_last10%_max,0.0017892797473338887,40
Weight_full_max,0.0017832386036732949,41
Fraction inspired oxygen_last25%_max,0.0017190527810568886,42
Systolic blood pressure_last25%_mean,0.0016682924757658011,43
Fraction inspired oxygen_full_mean,0.0016458616981052496,44
Glucose_full_min,0.001633109294082839,45
Diastolic blood pressure_last10%_min,0.0015949625378158777,46
Systolic blood pressure_full_mean,0.0015897510963678262,47
Systolic blood pressure_last25%_min,0.0015865308286376893,48
Weight_full_mean,0.001575340435308913,49
Heart Rate_last25%_max,0.0015594838216840626,50
Heart Rate_full_mean,0.001523504335665352,51
Lactate_last10%_min,0.0015206404723889012,52
Respiratory rate_full_max,0.0015182247684575425,53
Systolic blood pressure_last10%_mean,0.0015141295784903328,54
Hematocrit_full_mean,0.0014952667107758979,55
Temperature_last25%_min,0.0014904490959379894,56
Heart Rate_full_max,0.0014792769488714507,57
Hematocrit_full_std,0.0014614972745356904,58
Glascow coma scale eye opening_last10%_std,0.0014286503584746662,59
Respiratory rate_last25%_min,0.001428494425213558,60
Systolic blood pressure_last10%_min,0.0014118458711316695,61
Platelets_full_max,0.0014098183319791798,62
Lactate_last25%_min,0.001401394496797212,63
Glucose_last25%_mean,0.00139686129869637,64
Glucose_last10%_min,0.0013953351823211095,65
Respiratory rate_last25%_max,0.0013939593350537525,66
Systolic blood pressure_full_min,0.001392706699638241,67
Glascow coma scale verbal response_full_std,0.0013870053631167007,68
Heart Rate_last10%_max,0.0013819519337008909,69
Weight_full_min,0.0013685726381512202,70
Diastolic blood pressure_last25%_min,0.0013503770797022151,71
Platelets_full_min,0.001345791147855589,72
Oxygen saturation_full_min,0.0013416083516678888,73
Mean blood pressure_last10%_min,0.001340656647723074,74
Fraction inspired oxygen_full_min,0.0013266739843153317,75
Bilirubin_full_std,0.001319431079318535,76
Glucose_last10%_mean,0.0013162849868261716,77
White blood cell count_full_max,0.0013027823893278388,78
Oxygen saturation_last25%_min,0.0012999587281059242,79
Diastolic blood pressure_last25%_max,0.0012835160705419164,80
Lactate_last25%_max,0.0012713422794093253,81
Heart Rate_last10%_min,0.0012553402299463,82
Heart Rate_last25%_min,0.0012436490975538182,83
Glascow coma scale motor response_full_min,0.0012423177513273544,84
pH_full_mean,0.0012403694127840737,85
Diastolic blood pressure_full_mean,0.0012329582424561855,86
Glascow coma scale eye opening_full_min,0.0012308917024804527,87
Platelets_full_mean,0.0012146366779351154,88
Glascow coma scale eye opening_full_std,0.001200082119438891,89
Mean blood pressure_last25%_min,0.0011941482718414828,90
Heart Rate_full_min,0.0011802806936636984,91
Hemoglobin_full_std,0.0011629735643609294,92
Mean blood pressure_full_min,0.001152750787406721,93
Platelets_last10%_min,0.0011509817047204076,94
Glucose_full_mean,0.0011502707032967354,95
Sodium_full_max,0.001149618442853497,96
Respiratory rate_last10%_max,0.0011492766076916514,97
pH_last10%_max,0.001072121827423858,98
Glascow coma scale motor response_full_std,0.0010645359116229088,99
Glascow coma scale eye opening_last25%_std,0.0010281597860817252,100
Diastolic blood pressure_full_min,0.0010272298840433437,101
Mean blood pressure_last10%_max,0.0010216609661505055,102
Oxygen saturation_last10%_min,0.0010146589915051793,103
Systolic blood pressure_last10%_max,0.0010001108986311,104
Glucose_last10%_max,0.0009742665333417353,105
Respiratory rate_full_min,0.0009658203166317644,106
Temperature_full_min,0.0009656598144540649,107
Temperature_last10%_min,0.0009611683506351737,108
Temperature_full_max,0.000952692508385854,109
Platelets_full_std,0.0009123836814999127,110
Temperature_last25%_max,0.0009110801866456169,111
Lactate_full_min,0.0008853075412294221,112
Hematocrit_last10%_min,0.0008763973284388288,113
Sodium_full_mean,0.0008745667875378537,114
Systolic blood pressure_last25%_max,0.0008650611650285517,115
Potassium_full_mean,0.0008575502811655605,116
Sodium_last10%_min,0.0008412915190228695,117
pH_last25%_min,0.000837856411735267,118
White blood cell count_full_std,0.0008346567149728692,119
pH_full_min,0.0008145288632980699,120
Oxygen saturation_last10%_max,0.0008144016193171273,121
pH_last10%_min,0.0008121107265816181,122
Temperature_last10%_max,0.0007805653929771913,123
pH_full_max,0.0007755054752122453,124
pH_last10%_mean,0.0007743388817643994,125
Potassium_last25%_max,0.0007709812999622562,126
Systolic blood pressure_full_max,0.0007681484314316765,127
Creatinine_full_std,0.000752748759664249,128
White blood cell count_last25%_std,0.0007486156221385424,129
Hemoglobin_full_min,0.0007346745925972592,130
Sodium_full_min,0.0007246199371591153,131
Systolic blood pressure_last10%_std,0.0007236801531676527,132
Prothrombin time_full_std,0.0007094866359140512,133
Potassium_last10%_min,0.000706839550860776,134
Hematocrit_full_min,0.0006978498471154176,135
Potassium_last25%_min,0.0006666234933543719,136
Systolic blood pressure_last25%_std,0.0006618467090158312,137
Glucose_last25%_max,0.0006580531624053654,138
Heart Rate_last25%_std,0.000655923880821527,139
Diastolic blood pressure_full_max,0.0006415210175103891,140
Potassium_full_min,0.000632849593983135,141
Glascow coma scale motor response_last25%_std,0.0006206184687885476,142
Fraction inspired oxygen_full_max,0.0006107513764468265,143
Lactate_full_mean,0.0006031224573121632,144
Heart Rate_last10%_std,0.000597225357325974,145
Potassium_full_std,0.0005867162548035494,146
Sodium_full_std,0.0005766625178683823,147
Glascow coma scale verbal response_full_min,0.0005628733725385779,148
Potassium_full_max,0.0005148180656348342,149
Lactate_full_max,0.0004973626225118445,150
Glucose_last25%_std,0.0004916572563485808,151
Glucose_full_max,0.00047777732581901205,152
Glascow coma scale verbal response_last25%_std,0.0004707057401649991,153
pH_full_std,0.0004623554024214726,154
Platelets_last25%_std,0.00035652390125662903,155
Lactate_full_std,0.0003564532363579085,156
Sodium_last25%_std,0.00035162769240295596,157
Oxygen saturation_last25%_max,0.0003503121969157937,158
pH_last25%_std,0.00033678287398744593,159
Hemoglobin_last25%_std,0.0002888398999180037,160
pH_last10%_std,0.000271306979834672,161
Glucose_last10%_std,0.00023559306575393426,162
Oxygen saturation_full_max,0.00021536811595003488,163
Sodium_last10%_std,0.00021310856195194832,164
Hematocrit_last25%_std,0.00019248870578471893,165
Lactate_last25%_std,0.0001916599383870571,166
Weight_last25%_std,0.00018583618405632383,167
Glascow coma scale verbal response_last10%_std,0.0001600528438282517,168
Weight_last10%_std,0.0001518767276076628,169
Glascow coma scale motor response_last10%_std,0.000146087557738301,170
Platelets_last10%_std,9.559239332440117e-05,171
Height_full_min,5.810954118597373e-05,172
White blood cell count_last10%_std,4.378419673901491e-05,173
Hematocrit_last10%_std,3.3138827927948726e-05,174
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.0,175
ICU_Coronary Care Unit (CCU),0.0,176
ICU_Intensive Care Unit (ICU),0.0,177
ICU_Medical Intensive Care Unit (MICU),0.0,178
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0,179
ICU_Medicine,0.0,180
ICU_Neuro Intermediate,0.0,181
ICU_Neuro Stepdown,0.0,182
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.0,183
ICU_Neurology,0.0,184
ICU_PACU,0.0,185
ICU_Surgery/Trauma,0.0,186
ICU_Surgery/Vascular/Intermediate,0.0,187
ICU_Surgical Intensive Care Unit (SICU),0.0,188
ICU_Trauma SICU (TSICU),0.0,189
