Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
White blood cell count_last10%_min,0.0022717650115905014,26,0.0035373887343202264,13,0.001265623722729725,0.001265623722729725,-13
White blood cell count_full_min,0.0018133080194379261,32,0.002877299661337892,20,0.0010639916418999657,0.0010639916418999657,-12
Respiratory rate_last25%_mean,0.002212693889786341,28,0.0031724427312067186,17,0.0009597488414203777,0.0009597488414203777,-11
Hematocrit_full_max,0.000950938549984393,101,0.0018501360078004296,37,0.0008991974578160366,0.0008991974578160366,-64
Hemoglobin_full_max,0.0013255092576359478,55,0.002197680537716484,34,0.000872171280080536,0.000872171280080536,-21
Heart Rate_last25%_mean,0.0019030535551284328,30,0.002733961027224931,22,0.0008309074720964983,0.0008309074720964983,-8
Respiratory rate_last10%_mean,0.0015370245536925127,44,0.0023067095455110084,32,0.0007696849918184957,0.0007696849918184957,-12
Hematocrit_full_mean,0.0008194226195833717,114,0.0014952667107758979,55,0.0006758440911925262,0.0006758440911925262,-59
Hemoglobin_full_mean,0.001138200487255395,82,0.0017914889560804316,39,0.0006532884688250367,0.0006532884688250367,-43
Heart Rate_last10%_mean,0.001419070276215137,49,0.0020541944468991592,36,0.0006351241706840222,0.0006351241706840222,-13
Respiratory rate_last10%_min,0.0012365043643494786,69,0.0018224504741681743,38,0.0005859461098186958,0.0005859461098186958,-31
Heart Rate_full_mean,0.0009468968139036341,103,0.001523504335665352,51,0.000576607521761718,0.000576607521761718,-52
Fraction inspired oxygen_last25%_min,0.0016858794150513582,36,0.002159195133858297,35,0.00047331571880693864,0.00047331571880693864,-1
Heart Rate_last10%_max,0.0009246640637334125,105,0.0013819519337008909,69,0.0004572878699674784,0.0004572878699674784,-36
Heart Rate_last25%_min,0.0007915410866866407,117,0.0012436490975538182,83,0.0004521080108671775,0.0004521080108671775,-34
Heart Rate_last10%_min,0.0008411443511402591,111,0.0012553402299463,82,0.000414195878806041,0.000414195878806041,-29
Respiratory rate_last25%_min,0.0010358324092853487,92,0.001428494425213558,60,0.0003926620159282093,0.0003926620159282093,-32
Heart Rate_full_max,0.0010896693939430593,86,0.0014792769488714507,57,0.00038960755492839136,0.00038960755492839136,-29
Heart Rate_last25%_max,0.0011941399782581287,76,0.0015594838216840626,50,0.0003653438434259339,0.0003653438434259339,-26
Temperature_last10%_min,0.0013245585762295124,56,0.0009611683506351737,108,-0.0003633902255943388,0.0003633902255943388,52
Fraction inspired oxygen_last10%_min,0.0018976144036799948,31,0.0022446336290250788,33,0.000347019225345084,0.000347019225345084,2
Fraction inspired oxygen_full_min,0.0009842348416627907,98,0.0013266739843153317,75,0.000342439142652541,0.000342439142652541,-23
Heart Rate_full_min,0.0008414569132367443,110,0.0011802806936636984,91,0.0003388237804269541,0.0003388237804269541,-19
Lactate_last25%_min,0.001065618811865736,88,0.001401394496797212,63,0.00033577568493147586,0.00033577568493147586,-25
White blood cell count_full_max,0.0009697157105799109,99,0.0013027823893278388,78,0.0003330666787479279,0.0003330666787479279,-21
