Feature,Mean_Abs_SHAP_Reference,Mean_Abs_SHAP_Perturbed,Rank_Reference,Rank_Perturbed,SHAP_Change
White blood cell count_last10%_min,0.0022717650115905014,0.0035373887343202264,26,13,0.001265623722729725
White blood cell count_full_min,0.0018133080194379261,0.002877299661337892,32,20,0.0010639916418999657
Respiratory rate_last25%_mean,0.002212693889786341,0.0031724427312067186,28,17,0.0009597488414203777
Hematocrit_full_max,0.000950938549984393,0.0018501360078004296,101,37,0.0008991974578160366
Hemoglobin_full_max,0.0013255092576359478,0.002197680537716484,55,34,0.000872171280080536
Heart Rate_last25%_mean,0.0019030535551284328,0.002733961027224931,30,22,0.0008309074720964983
Respiratory rate_last10%_mean,0.0015370245536925127,0.0023067095455110084,44,32,0.0007696849918184957
Hematocrit_full_mean,0.0008194226195833717,0.0014952667107758979,114,55,0.0006758440911925262
Hemoglobin_full_mean,0.001138200487255395,0.0017914889560804316,82,39,0.0006532884688250367
Heart Rate_last10%_mean,0.001419070276215137,0.0020541944468991592,49,36,0.0006351241706840222
