Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Temperature_full_min,0.08267109,9,0.14374793,4,0.061076835,0.061076835,-5
Temperature_full_max,0.07069186,15,0.099975355,9,0.029283494,0.029283494,-6
Heart Rate_last10%_mean,0.06510174,19,0.0855205,12,0.020418756,0.020418756,-7
Hemoglobin_full_max,0.07173109,14,0.088208936,10,0.016477846,0.016477846,-4
Temperature_last10%_max,0.020013498,89,0.035285506,53,0.015272008,0.015272008,-36
Heart Rate_full_mean,0.031266678,61,0.04197575,41,0.010709073,0.010709073,-20
Heart Rate_last10%_min,0.022746548,79,0.015605204,103,-0.0071413442,0.0071413442,24
Systolic blood pressure_full_mean,0.05198934,31,0.05905477,24,0.0070654303,0.0070654303,-7
White blood cell count_full_min,0.06360842,20,0.0705465,15,0.0069380775,0.0069380775,-5
Respiratory rate_full_max,0.041527748,43,0.034910757,54,-0.006616991,0.006616991,11
Glucose_last25%_std,0.06310307,21,0.06944213,17,0.0063390583,0.0063390583,-4
Heart Rate_last25%_max,0.0315796,59,0.037580192,48,0.0060005933,0.0060005933,-11
Respiratory rate_last10%_mean,0.02097276,84,0.026644805,73,0.005672045,0.005672045,-11
Glascow coma scale verbal response_full_max,0.024756158,74,0.030398304,64,0.005642146,0.005642146,-10
Oxygen saturation_full_min,0.044455543,40,0.03961643,43,-0.004839115,0.004839115,3
Lactate_last10%_min,0.046707388,38,0.04194098,42,-0.0047664084,0.0047664084,4
Glascow coma scale verbal response_full_std,0.04783464,36,0.043102987,40,-0.0047316514,0.0047316514,4
Temperature_last25%_min,0.072694145,13,0.06800531,18,-0.0046888366,0.0046888366,5
Systolic blood pressure_full_min,0.03883713,45,0.034198157,57,-0.0046389736,0.0046389736,12
Glascow coma scale verbal response_last10%_min,0.44603974,1,0.44147927,1,-0.0045604706,0.0045604706,0
Hematocrit_last10%_min,0.032120228,57,0.036560673,50,0.0044404455,0.0044404455,-7
Hematocrit_full_max,0.009468061,137,0.013742116,111,0.0042740554,0.0042740554,-26
Glascow coma scale eye opening_last10%_max,0.06661472,17,0.06240618,22,-0.0042085387,0.0042085387,5
Heart Rate_full_max,0.026702596,70,0.030883899,63,0.004181303,0.004181303,-7
Glascow coma scale motor response_full_std,0.07390526,12,0.07013096,16,-0.0037743002,0.0037743002,4
Glascow coma scale motor response_last25%_max,0.10892684,6,0.10516235,7,-0.0037644878,0.0037644878,1
Hemoglobin_full_mean,0.0288581,65,0.02517712,76,-0.0036809798,0.0036809798,11
Hematocrit_full_std,0.03367016,53,0.03715872,49,0.0034885593,0.0034885593,-4
Diastolic blood pressure_last10%_mean,0.06690996,16,0.06345255,21,-0.0034574121,0.0034574121,5
Heart Rate_last25%_std,0.018839013,94,0.015546065,104,-0.003292948,0.003292948,10
Fraction inspired oxygen_full_max,0.015102889,104,0.01832134,94,0.0032184515,0.0032184515,-10
Heart Rate_last25%_min,0.022598106,80,0.019422555,88,-0.003175551,0.003175551,8
White blood cell count_full_std,0.023897938,75,0.026933286,72,0.003035348,0.003035348,-3
Diastolic blood pressure_last25%_mean,0.0625979,22,0.065432854,20,0.0028349534,0.0028349534,-2
Systolic blood pressure_last25%_min,0.03144296,60,0.034214854,56,0.0027718954,0.0027718954,-4
pH_last10%_std,0.02119584,83,0.018514805,92,-0.0026810355,0.0026810355,9
Glascow coma scale eye opening_last10%_std,0.03181266,58,0.02936464,69,-0.0024480205,0.0024480205,11
Glascow coma scale motor response_last25%_min,0.13523284,4,0.13757095,5,0.0023381114,0.0023381114,1
Heart Rate_last10%_max,0.020526942,86,0.022854874,78,0.002327932,0.002327932,-8
Weight_full_mean,0.060405158,23,0.05807818,25,-0.0023269765,0.0023269765,2
Fraction inspired oxygen_last10%_max,0.048941605,34,0.051254928,32,0.0023133233,0.0023133233,-2
