Feature,MeanAbsSHAP
Creatinine,0.0015996321239327093
Glascow coma scale verbal response->Oriented,0.0007157793706202635
Glascow coma scale motor response->Obeys Commands,0.0006758824973841151
White blood cell count,0.0006592580299649081
Lactate,0.000652203576119302
Glascow coma scale motor response->No response,0.0006483240234795503
Temperature,0.0006116538333684337
Fraction inspired oxygen,0.000579752255352358
Diastolic blood pressure,0.000575307296778016
Potassium,0.0005648003121959056
Glascow coma scale verbal response->No Response-ETT,0.0005563563851807118
mask->Fraction inspired oxygen,0.0005133465917016955
Systolic blood pressure,0.0004809325123770471
Weight,0.0004333010077126999
Heart Rate,0.0004323679077896288
mask->Glascow coma scale eye opening,0.00041568901615275325
mask->Hematocrit,0.00038288851213504874
mask->Glucose,0.0003811304251479641
Bilirubin,0.00034038190391502796
Glascow coma scale eye opening->Spontaneously,0.00033431372196151486
mask->Temperature,0.0003298869251318289
Sodium,0.00031144034099578056
Platelets,0.0003112122207464287
Glascow coma scale eye opening->To Pain,0.0002946728566248523
Glascow coma scale eye opening->4 Spontaneously,0.0002842012295343375
mask->pH,0.00026293684435289323
Hemoglobin,0.00024908807718348135
mask->Glascow coma scale verbal response,0.0002346622759190255
Glascow coma scale eye opening->To Speech,0.00021859225545110218
Prothrombin time,0.00021421355408889823
Glascow coma scale verbal response->Confused,0.0002111699878156544
mask->Prothrombin time,0.00020500049614624632
mask->Glascow coma scale motor response,0.0002046004881306285
Glascow coma scale motor response->Flex-withdraws,0.00017022883562811596
Hematocrit,0.0001696501249511608
mask->Lactate,0.00016226665765720942
mask->Sodium,0.00014968624458587928
mask->White blood cell count,0.00013904700624290463
mask->Hemoglobin,0.00013442237693270026
Mean blood pressure,0.00013410185820308173
mask->Weight,0.00013362472433798322
mask->Platelets,0.00013185732412536103
Oxygen saturation,0.00012935937001627254
mask->Creatinine,0.00012929129025240582
mask->Potassium,0.0001284549586253573
Glascow coma scale motor response->Localizes Pain,0.000126437326081345
mask->Mean blood pressure,0.00012630731802533549
mask->Bilirubin,0.00012222005065136505
mask->Oxygen saturation,0.00011850329492084393
mask->Diastolic blood pressure,0.00011670251329571333
mask->Systolic blood pressure,9.412968747596895e-05
mask->Heart Rate,7.796168507287197e-05
mask->Respiratory rate,7.627575610867387e-05
Respiratory rate,6.67267184254361e-05
Glascow coma scale motor response->Abnormal Flexion,6.096168656712623e-05
Glascow coma scale verbal response->No Response,5.5022625697456516e-05
Glascow coma scale verbal response->Incomprehensible sounds,3.830003470587447e-05
Glucose,3.698091702132938e-05
Glascow coma scale verbal response->5 Oriented,3.665511657935309e-05
Glascow coma scale motor response->6 Obeys Commands,3.3619780126797896e-05
Glascow coma scale verbal response->Inappropriate Words,2.3808988780787225e-05
Glascow coma scale motor response->Abnormal extension,1.935624204634223e-06
mask->Height,1.3330503376588846e-06
pH,1.7815111034546454e-08
Glascow coma scale total->14,0.0
Glascow coma scale total->15,0.0
Glascow coma scale total->12,0.0
Glascow coma scale total->13,0.0
Glascow coma scale total->10,0.0
Glascow coma scale total->11,0.0
Glascow coma scale motor response->2 Abnorm extensn,0.0
Glascow coma scale motor response->5 Localizes Pain,0.0
Glascow coma scale motor response->4 Flex-withdraws,0.0
Capillary refill rate->1.0,0.0
Capillary refill rate->0.0,0.0
Glascow coma scale eye opening->1 No Response,0.0
Glascow coma scale eye opening->None,0.0
Glascow coma scale eye opening->2 To pain,0.0
Glascow coma scale motor response->1 No Response,0.0
Glascow coma scale motor response->3 Abnorm flexion,0.0
Glascow coma scale eye opening->3 To speech,0.0
Glascow coma scale verbal response->3 Inapprop words,0.0
Glascow coma scale verbal response->4 Confused,0.0
Height,0.0
Glascow coma scale total->7,0.0
Glascow coma scale verbal response->2 Incomp sounds,0.0
Glascow coma scale total->5,0.0
Glascow coma scale total->3,0.0
Glascow coma scale verbal response->1 No Response,0.0
Glascow coma scale total->8,0.0
Glascow coma scale total->9,0.0
Glascow coma scale total->6,0.0
Glascow coma scale verbal response->1.0 ET/Trach,0.0
Glascow coma scale total->4,0.0
mask->Glascow coma scale total,0.0
mask->Capillary refill rate,0.0
