Feature,Reference,HighCreatinine,ReferenceRank,HighRank,SHAP_change
Creatinine,8.110367108566992e-05,0.0015996321239327093,38.0,1.0,0.0015185284528470393
Lactate,0.0002559874967773945,0.000652203576119302,9.0,5.0,0.00039621607934190746
Potassium,0.0001774026603738812,0.0005648003121959056,20.0,10.0,0.00038739765182202435
Glascow coma scale motor response->No response,0.00026176513907862965,0.0006483240234795503,8.0,6.0,0.0003865588844009206
Glascow coma scale motor response->Obeys Commands,0.000307207214570262,0.0006758824973841151,7.0,3.0,0.00036867528281385307
White blood cell count,0.00031667601234580716,0.0006592580299649081,6.0,4.0,0.0003425820176191009
Diastolic blood pressure,0.00023473249111618077,0.000575307296778016,13.0,9.0,0.00034057480566183516
Glascow coma scale verbal response->Oriented,0.00038929445953817947,0.0007157793706202635,1.0,2.0,0.000326484911082084
Systolic blood pressure,0.00020099167038763058,0.0004809325123770471,17.0,13.0,0.0002799408419894165
Temperature,0.00037000027464798984,0.0006116538333684337,2.0,7.0,0.00024165355872044386
Fraction inspired oxygen,0.0003513224530460324,0.000579752255352358,5.0,8.0,0.0002284298023063256
mask->Glascow coma scale eye opening,0.00020274232879025856,0.00041568901615275325,16.0,16.0,0.00021294668736249469
mask->Glucose,0.0001783679220217223,0.0003811304251479641,19.0,18.0,0.0002027625031262418
mask->Temperature,0.00013130606836313363,0.0003298869251318289,28.0,21.0,0.00019858085676869526
Heart Rate,0.000243252048943573,0.0004323679077896288,12.0,15.0,0.0001891158588460558
Weight,0.0002445448365843057,0.0004333010077126999,11.0,14.0,0.00018875617112839422
Glascow coma scale verbal response->No Response-ETT,0.00036777450026222847,0.0005563563851807118,3.0,11.0,0.00018858188491848333
Bilirubin,0.0001756533825868462,0.00034038190391502796,21.0,19.0,0.00016472852132818177
Sodium,0.00015644500053708062,0.00031144034099578056,23.0,22.0,0.00015499534045869994
mask->Fraction inspired oxygen,0.00036624138809640625,0.0005133465917016955,4.0,12.0,0.00014710520360528923
Glascow coma scale eye opening->4 Spontaneously,0.00014888602564248118,0.0002842012295343375,24.0,25.0,0.0001353152038918563
Glascow coma scale eye opening->Spontaneously,0.00020437129274096058,0.00033431372196151486,15.0,20.0,0.00012994242922055428
mask->Hematocrit,0.00025334911395157386,0.00038288851213504874,10.0,17.0,0.00012953939818347487
Platelets,0.00018644978054467695,0.0003112122207464287,18.0,23.0,0.00012476244020175173
mask->pH,0.0001435332911332755,0.00026293684435289323,25.0,26.0,0.00011940355321961773
mask->Glascow coma scale verbal response,0.00011694448642701546,0.0002346622759190255,30.0,28.0,0.00011771778949201005
mask->Prothrombin time,9.2680385454271e-05,0.00020500049614624632,33.0,32.0,0.00011232011069197532
mask->Glascow coma scale motor response,0.00010809999981322332,0.0002046004881306285,32.0,33.0,9.650048831740516e-05
mask->Sodium,5.723880567352758e-05,0.00014968624458587928,47.0,37.0,9.24474389123517e-05
mask->Lactate,7.059781943087762e-05,0.00016226665765720942,40.0,36.0,9.16688382263318e-05
Glascow coma scale eye opening->To Pain,0.00020448056938734806,0.0002946728566248523,14.0,24.0,9.019228723750427e-05
Hemoglobin,0.00015957897461561787,0.00024908807718348135,22.0,27.0,8.950910256786348e-05
Glascow coma scale eye opening->To Speech,0.00013157317175691973,0.00021859225545110218,27.0,29.0,8.701908369418245e-05
Glascow coma scale verbal response->Confused,0.00013074473462108106,0.0002111699878156544,29.0,31.0,8.042525319457334e-05
Hematocrit,9.041399107727083e-05,0.0001696501249511608,34.0,35.0,7.923613387388997e-05
Oxygen saturation,5.1552069141174947e-05,0.00012935937001627254,50.0,43.0,7.780730087509759e-05
Prothrombin time,0.0001432287275058227,0.00021421355408889823,26.0,30.0,7.098482658307554e-05
mask->Weight,6.350535179044432e-05,0.00013362472433798322,42.0,41.0,7.01193725475389e-05
mask->Creatinine,6.02980365213474e-05,0.00012929129025240582,46.0,44.0,6.899325373105842e-05
Mean blood pressure,6.562585477749406e-05,0.00013410185820308173,41.0,40.0,6.847600342558767e-05
