Feature,Mean_Abs_SHAP,Rank
mask->Fraction inspired oxygen,0.0006169936818930448,1
Creatinine,0.0005461948671615693,2
Glascow coma scale verbal response->Oriented,0.0005383331285937413,3
Temperature,0.0005110581484221536,4
Bilirubin,0.0005092489597620542,5
White blood cell count,0.00046424996307920473,6
Glascow coma scale motor response->Obeys Commands,0.0004074976188037286,7
Heart Rate,0.0003891867187773383,8
Weight,0.0003573722198876324,9
Glascow coma scale verbal response->No Response-ETT,0.0003417704232215583,10
Diastolic blood pressure,0.0003332854965434414,11
Lactate,0.00032612457374006827,12
Fraction inspired oxygen,0.0002736532893665424,13
Glascow coma scale eye opening->To Speech,0.00026869604504982104,14
Potassium,0.00025816281602520735,15
Hemoglobin,0.00021703312981785026,16
mask->pH,0.00021263495255134193,17
Glascow coma scale eye opening->Spontaneously,0.00017222653158468273,18
Systolic blood pressure,0.00015436097251342017,19
Glascow coma scale eye opening->To Pain,0.00015144110751966384,20
Prothrombin time,0.00013926643445217509,21
mask->Temperature,0.00013167563210405575,22
Glascow coma scale verbal response->Confused,0.0001211015866082595,23
Glascow coma scale motor response->Abnormal Flexion,0.00011388563262570983,24
Glascow coma scale motor response->No response,0.00010521574815293506,25
Hematocrit,0.00010140554800727105,26
Platelets,0.00010014148189015822,27
mask->Glascow coma scale verbal response,9.359401354753771e-05,28
Sodium,9.08969600687278e-05,29
mask->Glascow coma scale eye opening,8.954374642764373e-05,30
mask->Hematocrit,7.96566572203533e-05,31
mask->Bilirubin,7.038076977330402e-05,32
mask->Creatinine,6.197512566725166e-05,33
Glascow coma scale verbal response->No Response,5.801497379102442e-05,34
mask->Oxygen saturation,5.698250621809879e-05,35
Glascow coma scale verbal response->5 Oriented,5.155667934199452e-05,36
mask->Prothrombin time,4.911327523517232e-05,37
mask->Weight,4.314702716286233e-05,38
mask->Diastolic blood pressure,4.2429212505335225e-05,39
mask->Sodium,4.0023074479463103e-05,40
mask->Potassium,3.221878246861681e-05,41
mask->White blood cell count,3.173701253127622e-05,42
mask->Lactate,3.044763970879716e-05,43
mask->Glascow coma scale motor response,2.8587270513448582e-05,44
mask->Glucose,2.2151550684200902e-05,45
mask->Heart Rate,1.711835367098572e-05,46
mask->Platelets,1.0015060710464227e-05,47
Glascow coma scale motor response->Localizes Pain,8.042482643747337e-06,48
mask->Mean blood pressure,6.259449914461715e-06,49
mask->Hemoglobin,6.167177806996419e-06,50
Oxygen saturation,4.791469210178867e-06,51
Glascow coma scale motor response->Abnormal extension,4.50558899558473e-06,52
mask->Systolic blood pressure,3.362350008576503e-06,53
Mean blood pressure,5.820936096647702e-07,54
mask->Respiratory rate,4.3357373976467466e-07,55
Glucose,3.0259697476555283e-07,56
Glascow coma scale motor response->6 Obeys Commands,3.927296455472074e-08,57
Respiratory rate,1.9006420537942194e-08,58
pH,1.72198848930041e-08,59
Glascow coma scale eye opening->4 Spontaneously,6.737073313574833e-09,60
Capillary refill rate->1.0,0.0,61
Glascow coma scale eye opening->3 To speech,0.0,62
Glascow coma scale motor response->1 No Response,0.0,63
Glascow coma scale motor response->3 Abnorm flexion,0.0,64
Glascow coma scale total->14,0.0,65
Glascow coma scale total->15,0.0,66
Glascow coma scale total->12,0.0,67
Glascow coma scale total->13,0.0,68
Glascow coma scale total->10,0.0,69
Glascow coma scale total->11,0.0,70
Glascow coma scale motor response->2 Abnorm extensn,0.0,71
Glascow coma scale motor response->5 Localizes Pain,0.0,72
Glascow coma scale motor response->Flex-withdraws,0.0,73
Glascow coma scale motor response->4 Flex-withdraws,0.0,74
Capillary refill rate->0.0,0.0,75
Glascow coma scale eye opening->1 No Response,0.0,76
Glascow coma scale eye opening->None,0.0,77
Glascow coma scale eye opening->2 To pain,0.0,78
Glascow coma scale verbal response->1.0 ET/Trach,0.0,79
Glascow coma scale verbal response->Inappropriate Words,0.0,80
Glascow coma scale verbal response->3 Inapprop words,0.0,81
Glascow coma scale verbal response->2 Incomp sounds,0.0,82
Glascow coma scale verbal response->4 Confused,0.0,83
Height,0.0,84
Glascow coma scale total->7,0.0,85
Glascow coma scale total->3,0.0,86
Glascow coma scale total->4,0.0,87
Glascow coma scale total->5,0.0,88
Glascow coma scale verbal response->1 No Response,0.0,89
Glascow coma scale total->8,0.0,90
Glascow coma scale total->9,0.0,91
Glascow coma scale total->6,0.0,92
Glascow coma scale verbal response->Incomprehensible sounds,0.0,93
mask->Capillary refill rate,0.0,94
mask->Glascow coma scale total,0.0,95
mask->Height,0.0,96
