Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Fraction inspired oxygen,0.0003211706719234542,15,0.0011625373461060828,1,0.0008413666741826286,0.0008413666741826286,-14
Glascow coma scale motor response->Obeys Commands,0.00021666985444058023,22,0.0008701404250322729,3,0.0006534705705916927,0.0006534705705916927,-19
Glascow coma scale verbal response->No Response-ETT,0.00023602234298690424,21,0.0007704017533849653,5,0.000534379410398061,0.000534379410398061,-16
Lactate,0.0003555513646511817,13,0.0006948949625846216,8,0.00033934359793343994,0.00033934359793343994,-5
mask->pH,0.0005588005959476542,4,0.0008503059819978363,4,0.0002915053860501821,0.0002915053860501821,0
Weight,0.0003773920441002924,11,0.0006375197243025015,10,0.00026012768020220904,0.00026012768020220904,-1
Glascow coma scale verbal response->Oriented,0.0004684170626108634,7,0.0006935468633133679,9,0.00022512980070250454,0.00022512980070250454,2
mask->Glucose,9.633226080965062e-05,29,0.0003139204658571807,20,0.0002175882050475301,0.0002175882050475301,-9
White blood cell count,0.0005292878701065836,5,0.0007222844904641719,7,0.0001929966203575883,0.0001929966203575883,2
Heart Rate,0.0003122511551296142,16,0.000492715988417105,15,0.0001804648332874908,0.0001804648332874908,-1
Bilirubin,0.0002915651688003118,17,0.00045588509861326675,17,0.00016431992981295494,0.00016431992981295494,0
mask->Mean blood pressure,0.00011736804131956546,27,0.00027235662211047454,24,0.00015498858079090907,0.00015498858079090907,-3
mask->Glascow coma scale eye opening,6.321176703629009e-05,35,0.0002140099437562376,27,0.00015079817671994752,0.00015079817671994752,-8
mask->Hematocrit,6.335247520465141e-05,34,0.0002059805200077151,28,0.00014262804480306366,0.00014262804480306366,-6
Creatinine,0.000995940333651409,1,0.0011351089355757208,2,0.00013916860192431167,0.00013916860192431167,1
mask->Oxygen saturation,0.00017180756332037342,24,0.0003072725986050173,21,0.0001354650352846439,0.0001354650352846439,-3
Prothrombin time,0.00042689849462351027,8,0.0005581280106005704,13,0.00013122951597706014,0.00013122951597706014,5
Diastolic blood pressure,0.00038908384256706915,10,0.0004990644613546191,14,0.00010998061878754998,0.00010998061878754998,4
Glascow coma scale motor response->No response,1.3934216902658677e-05,50,0.00012132678419597591,33,0.00010739256729331723,0.00010739256729331723,-17
Glascow coma scale eye opening->4 Spontaneously,1.4247200830652673e-05,49,0.00011905938995395715,34,0.00010481218912330447,0.00010481218912330447,-15
Glascow coma scale eye opening->To Pain,0.00010071673051659976,28,0.0002005302795667376,29,9.981354905013785e-05,9.981354905013785e-05,1
mask->Fraction inspired oxygen,0.0004840428861516403,6,0.0005788521304023849,12,9.480924425074458e-05,9.480924425074458e-05,6
Systolic blood pressure,0.0003980427047643786,9,0.000488387871559121,16,9.034516679474233e-05,9.034516679474233e-05,7
mask->Bilirubin,7.17344930293684e-05,31,0.00014722453345541008,32,7.549004042604168e-05,7.549004042604168e-05,1
Glascow coma scale motor response->Abnormal Flexion,1.6228883531891707e-05,47,8.835179188321376e-05,39,7.212290835132204e-05,7.212290835132204e-05,-8
mask->Prothrombin time,0.00012706712831588677,26,0.00019888113233905848,30,7.18140040231717e-05,7.18140040231717e-05,4
mask->Weight,1.9391390608625158e-05,44,8.783128415296455e-05,40,6.843989354433939e-05,6.843989354433939e-05,-4
Glascow coma scale motor response->Flex-withdraws,0.0,73,5.887695109280925e-05,45,5.887695109280925e-05,5.887695109280925e-05,-28
Glascow coma scale eye opening->Spontaneously,0.00019937480384193406,23,0.00025391843646643965,26,5.454363262450559e-05,5.454363262450559e-05,3
Temperature,0.0005837393394427237,3,0.0006336083339483722,11,4.986899450564852e-05,4.986899450564852e-05,8
mask->Glascow coma scale verbal response,6.552039141372035e-05,33,0.00011538867363423688,35,4.986828222051653e-05,4.986828222051653e-05,2
Glascow coma scale motor response->Localizes Pain,1.4501743062117937e-05,48,6.432323989385801e-05,43,4.982149683174007e-05,4.982149683174007e-05,-5
mask->Lactate,5.56446763820162e-05,36,0.00010261334909507239,37,4.696867271305619e-05,4.696867271305619e-05,1
mask->Temperature,0.0001449491608110698,25,0.00018895030566468943,31,4.400114485361963e-05,4.400114485361963e-05,6
Platelets,0.00024578776667490604,20,0.0002871497833302409,23,4.1362016655334855e-05,4.1362016655334855e-05,3
mask->Creatinine,6.670419935111601e-05,32,0.0001076687310588079,36,4.0964531707691896e-05,4.0964531707691896e-05,4
mask->Diastolic blood pressure,4.838583049977529e-05,37,7.82786246112673e-05,41,2.989279411149201e-05,2.989279411149201e-05,4
mask->Potassium,3.851345321249274e-05,39,6.490254749807411e-05,42,2.638909428558137e-05,2.638909428558137e-05,3
mask->Glascow coma scale motor response,1.6406184787853366e-05,46,4.2653701252571195e-05,49,2.624751646471783e-05,2.624751646471783e-05,3
mask->Hemoglobin,3.503457639745984e-05,40,6.083003179253366e-05,44,2.5795455395073816e-05,2.5795455395073816e-05,4
Hemoglobin,0.00028139000507844495,18,0.000302463002359166,22,2.1072997280721076e-05,2.1072997280721076e-05,4
mask->White blood cell count,2.5740507015427812e-05,42,4.661747417490925e-05,48,2.0876967159481437e-05,2.0876967159481437e-05,6
mask->Platelets,2.9726793217936995e-05,41,5.034735496681912e-05,47,2.0620561748882124e-05,2.0620561748882124e-05,6
Glascow coma scale verbal response->Confused,0.0003597996639297681,12,0.000379423096523559,18,1.9623432593790892e-05,1.9623432593790892e-05,6
