Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Creatinine,0.0005263097947716844,3,0.0012838955289700036,1,0.0007575857341983192,0.0007575857341983192,-2
Fraction inspired oxygen,0.0002215015288445716,20,0.0007763338562453096,2,0.000554832327400738,0.000554832327400738,-18
Weight,0.0002833924891857853,13,0.0007026805559397435,5,0.0004192880667539582,0.0004192880667539582,-8
Bilirubin,0.0003056663949894419,12,0.0006853419544551616,6,0.00037967555946571974,0.00037967555946571974,-6
Glascow coma scale verbal response->Oriented,0.0003737321496237141,7,0.0007038911297950334,4,0.0003301589801713193,0.0003301589801713193,-3
Lactate,0.0003063280482034969,11,0.0006327332114482257,8,0.0003264051632447288,0.0003264051632447288,-3
Glascow coma scale motor response->Flex-withdraws,0.0,73,0.000314824322409019,26,0.000314824322409019,0.000314824322409019,-47
Glascow coma scale verbal response->No Response-ETT,0.00031734308986521855,10,0.000575179597769,10,0.0002578365079037814,0.0002578365079037814,0
Heart Rate,0.0003876247934873511,6,0.0006307145957916683,9,0.00024308980230431716,0.00024308980230431716,3
Glascow coma scale motor response->Obeys Commands,0.00016748098256487895,29,0.0004038941954953681,17,0.00023641321293048917,0.00023641321293048917,-12
mask->Glucose,0.00023914318281169263,16,0.00046070535594568347,15,0.00022156217313399083,0.00022156217313399083,-1
mask->Glascow coma scale eye opening,0.00023988219247503089,15,0.00045814543074473933,16,0.00021826323826970844,0.00021826323826970844,1
mask->Glascow coma scale verbal response,0.00013156051497817956,32,0.00034171939086933574,22,0.00021015887589115618,0.00021015887589115618,-10
mask->Temperature,0.00018942220912887553,21,0.0003844166298460274,20,0.00019499442071715186,0.00019499442071715186,-1
Diastolic blood pressure,0.0003462147189927782,8,0.0005239028827792162,12,0.00017768816378643798,0.00017768816378643798,4
Glascow coma scale motor response->Localizes Pain,8.486886595939028e-05,40,0.0002614833221675515,31,0.00017661445620816121,0.00017661445620816121,-9
Platelets,0.0003963908673687566,5,0.0005668826643685198,11,0.00017049179699976322,0.00017049179699976322,6
Hematocrit,0.00016781107634068111,28,0.0003379362198292649,24,0.0001701251434885838,0.0001701251434885838,-4
mask->Glascow coma scale motor response,0.00017275265443454182,26,0.00034100731325512317,23,0.00016825465882058135,0.00016825465882058135,-3
mask->pH,0.0001176023583093766,34,0.00028235366332734693,29,0.00016475130501797034,0.00016475130501797034,-5
Systolic blood pressure,0.00034057635228677737,9,0.0005052078492498865,14,0.0001646314969631091,0.0001646314969631091,5
Potassium,0.00023862660320827326,17,0.0003999918770844735,18,0.00016136527387620024,0.00016136527387620024,1
Glascow coma scale motor response->No response,0.0001831842855645675,24,0.0003371115947788461,25,0.0001539273092142786,0.0001539273092142786,1
Sodium,0.00022968161355017003,18,0.0003752310938716468,21,0.00014554948032147676,0.00014554948032147676,3
Glascow coma scale eye opening->Spontaneously,0.0001118847184533552,35,0.0002567236154595598,34,0.0001448388970062046,0.0001448388970062046,-1
Glascow coma scale eye opening->4 Spontaneously,5.015489452731004e-06,59,0.00013932660167621216,44,0.00013431111222348115,0.00013431111222348115,-15
Glascow coma scale eye opening->To Pain,0.00017172152588310988,27,0.00030522802988362704,27,0.00013350650400051716,0.00013350650400051716,0
mask->Hematocrit,0.0001258418342563979,33,0.00025931032609227835,33,0.00013346849183588046,0.00013346849183588046,0
mask->Sodium,0.00010671861346520651,37,0.00023969023775926465,35,0.00013297162429405814,0.00013297162429405814,-2
Hemoglobin,0.0002665107818299761,14,0.00039047533753057233,19,0.00012396455570059622,0.00012396455570059622,5
Oxygen saturation,5.227801808826057e-05,45,0.00015469414738586171,39,0.00010241612929760114,0.00010241612929760114,-6
Glascow coma scale eye opening->To Speech,0.00018913766332904203,22,0.0002902397351950078,28,0.00010110207186596578,0.00010110207186596578,6
White blood cell count,0.00041802984551735366,4,0.000516773906487932,13,9.874406097057836e-05,9.874406097057836e-05,9
mask->Lactate,0.0001772313170356199,25,0.0002604154400234947,32,8.31841229878748e-05,8.31841229878748e-05,7
Temperature,0.0006045968319149905,2,0.0006776774379687911,7,7.308060605380068e-05,7.308060605380068e-05,5
Prothrombin time,0.0001418673546351575,31,0.00021481011944160077,37,7.294276480644327e-05,7.294276480644327e-05,6
mask->Prothrombin time,0.0001463037469647747,30,0.0002173648287621832,36,7.10610817974085e-05,7.10610817974085e-05,6
mask->Hemoglobin,8.04264307598057e-05,41,0.0001429119382778664,42,6.248550751806068e-05,6.248550751806068e-05,1
mask->Mean blood pressure,4.154187854797422e-05,50,0.00010038021717898694,48,5.883833863101272e-05,5.883833863101272e-05,-2
mask->Diastolic blood pressure,4.665726111928355e-05,48,0.00010374992719655844,47,5.709266607727489e-05,5.709266607727489e-05,-1
mask->Fraction inspired oxygen,0.0006754566354766567,1,0.0007280763694685297,3,5.261973399187298e-05,5.261973399187298e-05,2
mask->Platelets,4.2427071212181035e-05,49,9.43826745299653e-05,49,5.195560331778426e-05,5.195560331778426e-05,0
mask->Potassium,9.187219023546097e-05,39,0.00014029797881475348,43,4.842578857929251e-05,4.842578857929251e-05,4
mask->White blood cell count,9.975484596426535e-05,38,0.00014784152490758627,41,4.8086678943320916e-05,4.8086678943320916e-05,3
mask->Weight,7.168312006638663e-05,43,0.00011765786407428128,45,4.597474400789466e-05,4.597474400789466e-05,2
mask->Heart Rate,2.0812879471954203e-05,54,6.409827392773478e-05,54,4.3285394455780576e-05,4.3285394455780576e-05,0
mask->Creatinine,0.00011073753173462819,36,0.0001529845516142116,40,4.2247019879583416e-05,4.2247019879583416e-05,4
mask->Systolic blood pressure,4.008288512758658e-05,52,8.209553956197895e-05,51,4.201265443439237e-05,4.201265443439237e-05,-1
Glascow coma scale verbal response->Confused,0.00022530693500808497,19,0.00026554560804363693,30,4.023867303555196e-05,4.023867303555196e-05,11
Mean blood pressure,7.399512453762544e-05,42,0.00010907370028028616,46,3.507857574266072e-05,3.507857574266072e-05,4
mask->Oxygen saturation,3.045228284581647e-05,53,6.146764943162112e-05,56,3.1015366585804654e-05,3.1015366585804654e-05,3
mask->Respiratory rate,7.939181313728245e-06,57,3.821144437636666e-05,57,3.0272263062638415e-05,3.0272263062638415e-05,0
Respiratory rate,5.066261690919172e-05,46,8.079369867655283e-05,52,3.0131081767361118e-05,3.0131081767361118e-05,6
Glucose,4.02409424686237e-05,51,6.35763370858848e-05,55,2.3335394617261102e-05,2.3335394617261102e-05,4
Glascow coma scale verbal response->No Response,4.7088995211227075e-05,47,6.613488352417818e-05,53,1.9045888312951102e-05,1.9045888312951102e-05,6
mask->Bilirubin,6.998923488511129e-05,44,8.87932944486384e-05,50,1.8804059563527116e-05,1.8804059563527116e-05,6
