Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Fraction inspired oxygen,0.00026834905785803426,20,0.0009652251094544062,2,0.0006968760515963718,0.0006968760515963718,-18
Glascow coma scale verbal response->No Response-ETT,0.0003447714448130708,13,0.0007258945211020655,4,0.0003811230762889947,0.0003811230762889947,-9
Glascow coma scale motor response->Obeys Commands,0.00024931468679609454,21,0.0005803812001300073,10,0.0003310665133339128,0.0003310665133339128,-11
Glascow coma scale verbal response->Oriented,0.0004185514505656555,10,0.000662156854158396,7,0.00024360540359274054,0.00024360540359274054,-3
Lactate,0.0004747169066700696,8,0.0006524146640448449,8,0.00017769775737477524,0.00017769775737477524,0
Glascow coma scale motor response->No response,0.0003338074018206072,14,0.0005022992496291703,15,0.0001684918478085631,0.0001684918478085631,1
Glascow coma scale motor response->Flex-withdraws,0.0,73,0.0001518351945533425,40,0.0001518351945533425,0.0001518351945533425,-33
Glascow coma scale eye opening->4 Spontaneously,3.1202423482075874e-05,53,0.00017335404263658206,36,0.00014215161915450618,0.00014215161915450618,-17
mask->Glucose,0.0002189131334103885,26,0.00036059586538347426,19,0.00014168273197308576,0.00014168273197308576,-7
Glascow coma scale eye opening->Spontaneously,0.00022001265464558124,25,0.0003585471908387864,20,0.00013853453619320518,0.00013853453619320518,-5
Creatinine,0.0008573963115003617,1,0.000989207833365228,1,0.00013181152186486622,0.00013181152186486622,0
Potassium,0.00040961107745379386,11,0.0005389158383855079,11,0.00012930476093171402,0.00012930476093171402,0
Diastolic blood pressure,0.0003873989777262684,12,0.0005151022536493717,14,0.00012770327592310333,0.00012770327592310333,2
Glascow coma scale eye opening->To Pain,0.00020235129672124447,29,0.0003258630508981852,22,0.00012351175417694074,0.00012351175417694074,-7
mask->Hematocrit,0.00023333136012168392,22,0.00035480993755391415,21,0.00012147857743223024,0.00012147857743223024,-1
mask->Glascow coma scale eye opening,0.00033060128753398623,15,0.00045012746950616966,16,0.00011952618197218342,0.00011952618197218342,1
Systolic blood pressure,0.00030427186255574574,17,0.0004136541732913342,17,0.00010938231073558846,0.00010938231073558846,0
mask->Glascow coma scale verbal response,0.000138767473940149,37,0.00023426726677748874,30,9.549979283733975e-05,9.549979283733975e-05,-7
mask->pH,0.00018839767268286067,31,0.0002831086827402414,26,9.471101005738075e-05,9.471101005738075e-05,-5
Glascow coma scale motor response->Localizes Pain,5.81979487596603e-05,46,0.00014836513313050415,41,9.016718437084385e-05,9.016718437084385e-05,-5
mask->Fraction inspired oxygen,0.0006383106541387295,3,0.0007265759573645828,3,8.82653032258533e-05,8.82653032258533e-05,0
Glascow coma scale motor response->Abnormal Flexion,7.437711341390004e-05,43,0.00016098813120775434,39,8.66110177938543e-05,8.66110177938543e-05,-4
